LDEV_Rnd_Write_Hit_X508-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:F3 X"
"1","2014/04/01 17:28",78
"2","2014/04/01 17:33",91
"3","2014/04/01 17:38",64
"4","2014/04/01 17:43",48
"5","2014/04/01 17:48",48
"6","2014/04/01 17:53",78
"7","2014/04/01 17:58",77
"8","2014/04/01 18:03",72
"9","2014/04/01 18:08",57
"10","2014/04/01 18:13",56
"11","2014/04/01 18:18",63
"12","2014/04/01 18:23",80
"13","2014/04/01 18:28",55
"14","2014/04/01 18:33",58
"15","2014/04/01 18:38",44
"16","2014/04/01 18:43",66
"17","2014/04/01 18:48",51
"18","2014/04/01 18:53",50
"19","2014/04/01 18:58",36
"20","2014/04/01 19:03",85
"21","2014/04/01 19:08",50
"22","2014/04/01 19:13",97
"23","2014/04/01 19:18",28
"24","2014/04/01 19:23",95
"25","2014/04/01 19:28",94
"26","2014/04/01 19:33",37
"27","2014/04/01 19:38",55
"28","2014/04/01 19:43",48
"29","2014/04/01 19:48",24
"30","2014/04/01 19:53",21
"31","2014/04/01 19:58",15
"32","2014/04/01 20:03",87
"33","2014/04/01 20:08",63
"34","2014/04/01 20:13",50
"35","2014/04/01 20:18",18
"36","2014/04/01 20:23",43
"37","2014/04/01 20:28",35
"38","2014/04/01 20:33",45
"39","2014/04/01 20:38",23
"40","2014/04/01 20:43",46
"41","2014/04/01 20:48",42
"42","2014/04/01 20:53",52
"43","2014/04/01 20:58",0
"44","2014/04/01 21:03",92
"45","2014/04/01 21:08",59
"46","2014/04/01 21:13",48
"47","2014/04/01 21:18",51
"48","2014/04/01 21:23",40
"49","2014/04/01 21:28",44
"50","2014/04/01 21:33",64
"51","2014/04/01 21:38",34
"52","2014/04/01 21:43",64
"53","2014/04/01 21:48",63
"54","2014/04/01 21:53",73
"55","2014/04/01 21:58",47
"56","2014/04/01 22:03",91
"57","2014/04/01 22:08",55
"58","2014/04/01 22:13",85
"59","2014/04/01 22:18",89
"60","2014/04/01 22:23",63
"61","2014/04/01 22:28",50
"62","2014/04/01 22:33",65
"63","2014/04/01 22:38",56
"64","2014/04/01 22:43",47
"65","2014/04/01 22:48",80
"66","2014/04/01 22:53",81
"67","2014/04/01 22:58",83
"68","2014/04/01 23:03",76
"69","2014/04/01 23:08",77
"70","2014/04/01 23:13",78
"71","2014/04/01 23:18",80
"72","2014/04/01 23:23",78
"73","2014/04/01 23:28",83
"74","2014/04/01 23:33",79
"75","2014/04/01 23:38",81
"76","2014/04/01 23:43",79
"77","2014/04/01 23:48",82
"78","2014/04/01 23:53",78
"79","2014/04/01 23:58",79
"80","2014/04/02 00:03",47
"81","2014/04/02 00:08",61
"82","2014/04/02 00:13",65
"83","2014/04/02 00:18",51
"84","2014/04/02 00:23",60
"85","2014/04/02 00:28",65
"86","2014/04/02 00:33",81
"87","2014/04/02 00:38",61
"88","2014/04/02 00:43",54
"89","2014/04/02 00:48",17
"90","2014/04/02 00:53",71
"91","2014/04/02 00:58",70
"92","2014/04/02 01:03",48
"93","2014/04/02 01:08",52
"94","2014/04/02 01:13",51
"95","2014/04/02 01:18",74
"96","2014/04/02 01:23",34
