LDEV_Rnd_Write_Hit_X613-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:7E X"
"1","2014/04/01 17:28",58
"2","2014/04/01 17:33",26
"3","2014/04/01 17:38",44
"4","2014/04/01 17:43",45
"5","2014/04/01 17:48",63
"6","2014/04/01 17:53",84
"7","2014/04/01 17:58",70
"8","2014/04/01 18:03",63
"9","2014/04/01 18:08",44
"10","2014/04/01 18:13",47
"11","2014/04/01 18:18",62
"12","2014/04/01 18:23",66
"13","2014/04/01 18:28",62
"14","2014/04/01 18:33",87
"15","2014/04/01 18:38",60
"16","2014/04/01 18:43",47
"17","2014/04/01 18:48",67
"18","2014/04/01 18:53",73
"19","2014/04/01 18:58",85
"20","2014/04/01 19:03",94
"21","2014/04/01 19:08",45
"22","2014/04/01 19:13",39
"23","2014/04/01 19:18",98
"24","2014/04/01 19:23",55
"25","2014/04/01 19:28",56
"26","2014/04/01 19:33",83
"27","2014/04/01 19:38",50
"28","2014/04/01 19:43",20
"29","2014/04/01 19:48",28
"30","2014/04/01 19:53",27
"31","2014/04/01 19:58",52
"32","2014/04/01 20:03",34
"33","2014/04/01 20:08",41
"34","2014/04/01 20:13",60
"35","2014/04/01 20:18",78
"36","2014/04/01 20:23",89
"37","2014/04/01 20:28",63
"38","2014/04/01 20:33",80
"39","2014/04/01 20:38",88
"40","2014/04/01 20:43",79
"41","2014/04/01 20:48",46
"42","2014/04/01 20:53",60
"43","2014/04/01 20:58",79
"44","2014/04/01 21:03",50
"45","2014/04/01 21:08",31
"46","2014/04/01 21:13",12
"47","2014/04/01 21:18",86
"48","2014/04/01 21:23",31
"49","2014/04/01 21:28",8
"50","2014/04/01 21:33",9
"51","2014/04/01 21:38",6
"52","2014/04/01 21:43",37
"53","2014/04/01 21:48",31
"54","2014/04/01 21:53",33
"55","2014/04/01 21:58",37
"56","2014/04/01 22:03",90
"57","2014/04/01 22:08",50
"58","2014/04/01 22:13",63
"59","2014/04/01 22:18",82
"60","2014/04/01 22:23",77
"61","2014/04/01 22:28",86
"62","2014/04/01 22:33",90
"63","2014/04/01 22:38",91
"64","2014/04/01 22:43",60
"65","2014/04/01 22:48",59
"66","2014/04/01 22:53",93
"67","2014/04/01 22:58",81
"68","2014/04/01 23:03",81
"69","2014/04/01 23:08",76
"70","2014/04/01 23:13",81
"71","2014/04/01 23:18",85
"72","2014/04/01 23:23",80
"73","2014/04/01 23:28",83
"74","2014/04/01 23:33",80
"75","2014/04/01 23:38",81
"76","2014/04/01 23:43",86
"77","2014/04/01 23:48",76
"78","2014/04/01 23:53",78
"79","2014/04/01 23:58",80
"80","2014/04/02 00:03",75
"81","2014/04/02 00:08",75
"82","2014/04/02 00:13",84
"83","2014/04/02 00:18",84
"84","2014/04/02 00:23",83
"85","2014/04/02 00:28",82
"86","2014/04/02 00:33",81
"87","2014/04/02 00:38",84
"88","2014/04/02 00:43",77
"89","2014/04/02 00:48",74
"90","2014/04/02 00:53",84
"91","2014/04/02 00:58",55
"92","2014/04/02 01:03",48
"93","2014/04/02 01:08",41
"94","2014/04/02 01:13",63
"95","2014/04/02 01:18",88
"96","2014/04/02 01:23",67
