LDEV_Rnd_Write_Hit_X649-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:77 X"
"1","2014/04/01 17:28",93
"2","2014/04/01 17:33",64
"3","2014/04/01 17:38",40
"4","2014/04/01 17:43",69
"5","2014/04/01 17:48",73
"6","2014/04/01 17:53",79
"7","2014/04/01 17:58",81
"8","2014/04/01 18:03",46
"9","2014/04/01 18:08",51
"10","2014/04/01 18:13",64
"11","2014/04/01 18:18",40
"12","2014/04/01 18:23",27
"13","2014/04/01 18:28",37
"14","2014/04/01 18:33",92
"15","2014/04/01 18:38",25
"16","2014/04/01 18:43",64
"17","2014/04/01 18:48",47
"18","2014/04/01 18:53",73
"19","2014/04/01 18:58",85
"20","2014/04/01 19:03",36
"21","2014/04/01 19:08",54
"22","2014/04/01 19:13",63
"23","2014/04/01 19:18",47
"24","2014/04/01 19:23",76
"25","2014/04/01 19:28",91
"26","2014/04/01 19:33",96
"27","2014/04/01 19:38",90
"28","2014/04/01 19:43",28
"29","2014/04/01 19:48",54
"30","2014/04/01 19:53",29
"31","2014/04/01 19:58",52
"32","2014/04/01 20:03",58
"33","2014/04/01 20:08",63
"34","2014/04/01 20:13",80
"35","2014/04/01 20:18",41
"36","2014/04/01 20:23",41
"37","2014/04/01 20:28",72
"38","2014/04/01 20:33",42
"39","2014/04/01 20:38",49
"40","2014/04/01 20:43",48
"41","2014/04/01 20:48",44
"42","2014/04/01 20:53",44
"43","2014/04/01 20:58",33
"44","2014/04/01 21:03",59
"45","2014/04/01 21:08",45
"46","2014/04/01 21:13",23
"47","2014/04/01 21:18",20
"48","2014/04/01 21:23",12
"49","2014/04/01 21:28",10
"50","2014/04/01 21:33",26
"51","2014/04/01 21:38",66
"52","2014/04/01 21:43",93
"53","2014/04/01 21:48",94
"54","2014/04/01 21:53",96
"55","2014/04/01 21:58",94
"56","2014/04/01 22:03",72
"57","2014/04/01 22:08",51
"58","2014/04/01 22:13",45
"59","2014/04/01 22:18",64
"60","2014/04/01 22:23",42
"61","2014/04/01 22:28",81
"62","2014/04/01 22:33",68
"63","2014/04/01 22:38",90
"64","2014/04/01 22:43",39
"65","2014/04/01 22:48",57
"66","2014/04/01 22:53",90
"67","2014/04/01 22:58",65
"68","2014/04/01 23:03",80
"69","2014/04/01 23:08",67
"70","2014/04/01 23:13",77
"71","2014/04/01 23:18",80
"72","2014/04/01 23:23",82
"73","2014/04/01 23:28",84
"74","2014/04/01 23:33",85
"75","2014/04/01 23:38",83
"76","2014/04/01 23:43",87
"77","2014/04/01 23:48",74
"78","2014/04/01 23:53",73
"79","2014/04/01 23:58",80
"80","2014/04/02 00:03",78
"81","2014/04/02 00:08",74
"82","2014/04/02 00:13",85
"83","2014/04/02 00:18",79
"84","2014/04/02 00:23",80
"85","2014/04/02 00:28",81
"86","2014/04/02 00:33",78
"87","2014/04/02 00:38",79
"88","2014/04/02 00:43",77
"89","2014/04/02 00:48",77
"90","2014/04/02 00:53",83
"91","2014/04/02 00:58",69
"92","2014/04/02 01:03",54
"93","2014/04/02 01:08",50
"94","2014/04/02 01:13",45
"95","2014/04/02 01:18",37
"96","2014/04/02 01:23",52
