LDEV_Rnd_Write_Hit_X671-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:6B X"
"1","2014/04/01 17:28",41
"2","2014/04/01 17:33",46
"3","2014/04/01 17:38",52
"4","2014/04/01 17:43",29
"5","2014/04/01 17:48",36
"6","2014/04/01 17:53",25
"7","2014/04/01 17:58",57
"8","2014/04/01 18:03",95
"9","2014/04/01 18:08",67
"10","2014/04/01 18:13",95
"11","2014/04/01 18:18",92
"12","2014/04/01 18:23",84
"13","2014/04/01 18:28",94
"14","2014/04/01 18:33",92
"15","2014/04/01 18:38",71
"16","2014/04/01 18:43",67
"17","2014/04/01 18:48",83
"18","2014/04/01 18:53",72
"19","2014/04/01 18:58",76
"20","2014/04/01 19:03",91
"21","2014/04/01 19:08",60
"22","2014/04/01 19:13",63
"23","2014/04/01 19:18",61
"24","2014/04/01 19:23",94
"25","2014/04/01 19:28",77
"26","2014/04/01 19:33",71
"27","2014/04/01 19:38",64
"28","2014/04/01 19:43",47
"29","2014/04/01 19:48",60
"30","2014/04/01 19:53",28
"31","2014/04/01 19:58",42
"32","2014/04/01 20:03",43
"33","2014/04/01 20:08",48
"34","2014/04/01 20:13",67
"35","2014/04/01 20:18",57
"36","2014/04/01 20:23",78
"37","2014/04/01 20:28",76
"38","2014/04/01 20:33",66
"39","2014/04/01 20:38",43
"40","2014/04/01 20:43",45
"41","2014/04/01 20:48",46
"42","2014/04/01 20:53",33
"43","2014/04/01 20:58",34
"44","2014/04/01 21:03",44
"45","2014/04/01 21:08",36
"46","2014/04/01 21:13",12
"47","2014/04/01 21:18",20
"48","2014/04/01 21:23",5
"49","2014/04/01 21:28",31
"50","2014/04/01 21:33",87
"51","2014/04/01 21:38",44
"52","2014/04/01 21:43",50
"53","2014/04/01 21:48",89
"54","2014/04/01 21:53",96
"55","2014/04/01 21:58",95
"56","2014/04/01 22:03",96
"57","2014/04/01 22:08",79
"58","2014/04/01 22:13",84
"59","2014/04/01 22:18",72
"60","2014/04/01 22:23",75
"61","2014/04/01 22:28",88
"62","2014/04/01 22:33",91
"63","2014/04/01 22:38",81
"64","2014/04/01 22:43",92
"65","2014/04/01 22:48",82
"66","2014/04/01 22:53",90
"67","2014/04/01 22:58",52
"68","2014/04/01 23:03",76
"69","2014/04/01 23:08",67
"70","2014/04/01 23:13",79
"71","2014/04/01 23:18",76
"72","2014/04/01 23:23",81
"73","2014/04/01 23:28",80
"74","2014/04/01 23:33",82
"75","2014/04/01 23:38",81
"76","2014/04/01 23:43",85
"77","2014/04/01 23:48",74
"78","2014/04/01 23:53",76
"79","2014/04/01 23:58",79
"80","2014/04/02 00:03",74
"81","2014/04/02 00:08",77
"82","2014/04/02 00:13",86
"83","2014/04/02 00:18",82
"84","2014/04/02 00:23",77
"85","2014/04/02 00:28",80
"86","2014/04/02 00:33",81
"87","2014/04/02 00:38",79
"88","2014/04/02 00:43",80
"89","2014/04/02 00:48",74
"90","2014/04/02 00:53",83
"91","2014/04/02 00:58",55
"92","2014/04/02 01:03",72
"93","2014/04/02 01:08",46
"94","2014/04/02 01:13",41
"95","2014/04/02 01:18",33
"96","2014/04/02 01:23",49
