LDEV_Rnd_Write_Hit_X687-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:2F X"
"1","2014/04/01 17:28",68
"2","2014/04/01 17:33",95
"3","2014/04/01 17:38",55
"4","2014/04/01 17:43",93
"5","2014/04/01 17:48",70
"6","2014/04/01 17:53",51
"7","2014/04/01 17:58",69
"8","2014/04/01 18:03",94
"9","2014/04/01 18:08",48
"10","2014/04/01 18:13",85
"11","2014/04/01 18:18",63
"12","2014/04/01 18:23",44
"13","2014/04/01 18:28",65
"14","2014/04/01 18:33",91
"15","2014/04/01 18:38",56
"16","2014/04/01 18:43",76
"17","2014/04/01 18:48",79
"18","2014/04/01 18:53",53
"19","2014/04/01 18:58",85
"20","2014/04/01 19:03",92
"21","2014/04/01 19:08",52
"22","2014/04/01 19:13",76
"23","2014/04/01 19:18",65
"24","2014/04/01 19:23",38
"25","2014/04/01 19:28",68
"26","2014/04/01 19:33",92
"27","2014/04/01 19:38",60
"28","2014/04/01 19:43",24
"29","2014/04/01 19:48",33
"30","2014/04/01 19:53",27
"31","2014/04/01 19:58",60
"32","2014/04/01 20:03",77
"33","2014/04/01 20:08",47
"34","2014/04/01 20:13",74
"35","2014/04/01 20:18",66
"36","2014/04/01 20:23",38
"37","2014/04/01 20:28",52
"38","2014/04/01 20:33",79
"39","2014/04/01 20:38",42
"40","2014/04/01 20:43",56
"41","2014/04/01 20:48",47
"42","2014/04/01 20:53",63
"43","2014/04/01 20:58",70
"44","2014/04/01 21:03",62
"45","2014/04/01 21:08",35
"46","2014/04/01 21:13",29
"47","2014/04/01 21:18",51
"48","2014/04/01 21:23",10
"49","2014/04/01 21:28",22
"50","2014/04/01 21:33",74
"51","2014/04/01 21:38",67
"52","2014/04/01 21:43",90
"53","2014/04/01 21:48",81
"54","2014/04/01 21:53",40
"55","2014/04/01 21:58",84
"56","2014/04/01 22:03",94
"57","2014/04/01 22:08",50
"58","2014/04/01 22:13",74
"59","2014/04/01 22:18",55
"60","2014/04/01 22:23",40
"61","2014/04/01 22:28",84
"62","2014/04/01 22:33",88
"63","2014/04/01 22:38",68
"64","2014/04/01 22:43",66
"65","2014/04/01 22:48",43
"66","2014/04/01 22:53",89
"67","2014/04/01 22:58",57
"68","2014/04/01 23:03",81
"69","2014/04/01 23:08",72
"70","2014/04/01 23:13",79
"71","2014/04/01 23:18",79
"72","2014/04/01 23:23",81
"73","2014/04/01 23:28",84
"74","2014/04/01 23:33",85
"75","2014/04/01 23:38",83
"76","2014/04/01 23:43",85
"77","2014/04/01 23:48",77
"78","2014/04/01 23:53",76
"79","2014/04/01 23:58",79
"80","2014/04/02 00:03",78
"81","2014/04/02 00:08",72
"82","2014/04/02 00:13",82
"83","2014/04/02 00:18",79
"84","2014/04/02 00:23",80
"85","2014/04/02 00:28",80
"86","2014/04/02 00:33",82
"87","2014/04/02 00:38",81
"88","2014/04/02 00:43",79
"89","2014/04/02 00:48",77
"90","2014/04/02 00:53",83
"91","2014/04/02 00:58",49
"92","2014/04/02 01:03",54
"93","2014/04/02 01:08",46
"94","2014/04/02 01:13",44
"95","2014/04/02 01:18",60
"96","2014/04/02 01:23",54
