LDEV_Rnd_Write_Hit_X69-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:5A:FE X"
"1","2014/04/01 17:28",88
"2","2014/04/01 17:33",71
"3","2014/04/01 17:38",67
"4","2014/04/01 17:43",92
"5","2014/04/01 17:48",72
"6","2014/04/01 17:53",72
"7","2014/04/01 17:58",87
"8","2014/04/01 18:03",78
"9","2014/04/01 18:08",78
"10","2014/04/01 18:13",88
"11","2014/04/01 18:18",78
"12","2014/04/01 18:23",78
"13","2014/04/01 18:28",88
"14","2014/04/01 18:33",75
"15","2014/04/01 18:38",76
"16","2014/04/01 18:43",93
"17","2014/04/01 18:48",81
"18","2014/04/01 18:53",87
"19","2014/04/01 18:58",72
"20","2014/04/01 19:03",75
"21","2014/04/01 19:08",71
"22","2014/04/01 19:13",90
"23","2014/04/01 19:18",76
"24","2014/04/01 19:23",87
"25","2014/04/01 19:28",71
"26","2014/04/01 19:33",74
"27","2014/04/01 19:38",90
"28","2014/04/01 19:43",77
"29","2014/04/01 19:48",78
"30","2014/04/01 19:53",90
"31","2014/04/01 19:58",76
"32","2014/04/01 20:03",81
"33","2014/04/01 20:08",88
"34","2014/04/01 20:13",80
"35","2014/04/01 20:18",74
"36","2014/04/01 20:23",85
"37","2014/04/01 20:28",72
"38","2014/04/01 20:33",87
"39","2014/04/01 20:38",70
"40","2014/04/01 20:43",70
"41","2014/04/01 20:48",87
"42","2014/04/01 20:53",73
"43","2014/04/01 20:58",74
"44","2014/04/01 21:03",90
"45","2014/04/01 21:08",68
"46","2014/04/01 21:13",69
"47","2014/04/01 21:18",88
"48","2014/04/01 21:23",65
"49","2014/04/01 21:28",88
"50","2014/04/01 21:33",74
"51","2014/04/01 21:38",70
"52","2014/04/01 21:43",89
"53","2014/04/01 21:48",76
"54","2014/04/01 21:53",70
"55","2014/04/01 21:58",86
"56","2014/04/01 22:03",73
"57","2014/04/01 22:08",66
"58","2014/04/01 22:13",79
"59","2014/04/01 22:18",65
"60","2014/04/01 22:23",69
"61","2014/04/01 22:28",83
"62","2014/04/01 22:33",65
"63","2014/04/01 22:38",81
"64","2014/04/01 22:43",65
"65","2014/04/01 22:48",62
"66","2014/04/01 22:53",78
"67","2014/04/01 22:58",65
"68","2014/04/01 23:03",83
"69","2014/04/01 23:08",66
"70","2014/04/01 23:13",59
"71","2014/04/01 23:18",66
"72","2014/04/01 23:23",78
"73","2014/04/01 23:28",95
"74","2014/04/01 23:33",57
"75","2014/04/01 23:38",64
"76","2014/04/01 23:43",81
"77","2014/04/01 23:48",82
"78","2014/04/01 23:53",58
"79","2014/04/01 23:58",83
"80","2014/04/02 00:03",68
"81","2014/04/02 00:08",58
"82","2014/04/02 00:13",79
"83","2014/04/02 00:18",55
"84","2014/04/02 00:23",75
"85","2014/04/02 00:28",56
"86","2014/04/02 00:33",58
"87","2014/04/02 00:38",77
"88","2014/04/02 00:43",56
"89","2014/04/02 00:48",81
"90","2014/04/02 00:53",53
"91","2014/04/02 00:58",76
"92","2014/04/02 01:03",66
"93","2014/04/02 01:08",56
"94","2014/04/02 01:13",82
"95","2014/04/02 01:18",50
"96","2014/04/02 01:23",67
