LDEV_Rnd_Write_Hit_X71-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:5A:D9 X"
"1","2014/04/01 17:28",62
"2","2014/04/01 17:33",65
"3","2014/04/01 17:38",69
"4","2014/04/01 17:43",72
"5","2014/04/01 17:48",69
"6","2014/04/01 17:53",67
"7","2014/04/01 17:58",67
"8","2014/04/01 18:03",92
"9","2014/04/01 18:08",38
"10","2014/04/01 18:13",46
"11","2014/04/01 18:18",84
"12","2014/04/01 18:23",63
"13","2014/04/01 18:28",49
"14","2014/04/01 18:33",58
"15","2014/04/01 18:38",58
"16","2014/04/01 18:43",60
"17","2014/04/01 18:48",66
"18","2014/04/01 18:53",52
"19","2014/04/01 18:58",59
"20","2014/04/01 19:03",87
"21","2014/04/01 19:08",34
"22","2014/04/01 19:13",64
"23","2014/04/01 19:18",37
"24","2014/04/01 19:23",48
"25","2014/04/01 19:28",60
"26","2014/04/01 19:33",40
"27","2014/04/01 19:38",52
"28","2014/04/01 19:43",44
"29","2014/04/01 19:48",55
"30","2014/04/01 19:53",16
"31","2014/04/01 19:58",31
"32","2014/04/01 20:03",85
"33","2014/04/01 20:08",37
"34","2014/04/01 20:13",55
"35","2014/04/01 20:18",64
"36","2014/04/01 20:23",66
"37","2014/04/01 20:28",53
"38","2014/04/01 20:33",41
"39","2014/04/01 20:38",46
"40","2014/04/01 20:43",57
"41","2014/04/01 20:48",62
"42","2014/04/01 20:53",55
"43","2014/04/01 20:58",48
"44","2014/04/01 21:03",89
"45","2014/04/01 21:08",40
"46","2014/04/01 21:13",35
"47","2014/04/01 21:18",37
"48","2014/04/01 21:23",37
"49","2014/04/01 21:28",33
"50","2014/04/01 21:33",51
"51","2014/04/01 21:38",43
"52","2014/04/01 21:43",49
"53","2014/04/01 21:48",42
"54","2014/04/01 21:53",42
"55","2014/04/01 21:58",48
"56","2014/04/01 22:03",89
"57","2014/04/01 22:08",32
"58","2014/04/01 22:13",27
"59","2014/04/01 22:18",37
"60","2014/04/01 22:23",39
"61","2014/04/01 22:28",41
"62","2014/04/01 22:33",43
"63","2014/04/01 22:38",15
"64","2014/04/01 22:43",35
"65","2014/04/01 22:48",35
"66","2014/04/01 22:53",38
"67","2014/04/01 22:58",18
"68","2014/04/01 23:03",88
"69","2014/04/01 23:08",71
"70","2014/04/01 23:13",99
"71","2014/04/01 23:18",70
"72","2014/04/01 23:23",70
"73","2014/04/01 23:28",47
"74","2014/04/01 23:33",62
"75","2014/04/01 23:38",63
"76","2014/04/01 23:43",26
"77","2014/04/01 23:48",63
"78","2014/04/01 23:53",52
"79","2014/04/01 23:58",30
"80","2014/04/02 00:03",90
"81","2014/04/02 00:08",28
"82","2014/04/02 00:13",44
"83","2014/04/02 00:18",24
"84","2014/04/02 00:23",39
"85","2014/04/02 00:28",26
"86","2014/04/02 00:33",20
"87","2014/04/02 00:38",33
"88","2014/04/02 00:43",26
"89","2014/04/02 00:48",46
"90","2014/04/02 00:53",28
"91","2014/04/02 00:58",48
"92","2014/04/02 01:03",89
"93","2014/04/02 01:08",32
"94","2014/04/02 01:13",29
"95","2014/04/02 01:18",36
"96","2014/04/02 01:23",52
