LDEV_Rnd_Write_IOPS_1-12.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:00:DD","00:00:DF","00:00:E0","00:00:E6","00:00:E7","00:00:E8","00:00:E9","00:00:EA","00:00:EB","00:00:EC","00:00:ED","00:00:EE","00:00:EF","00:20:16","00:20:17"
"1","2014/04/01 17:28",0,0,0,0,0,0,0,0,0,0,0,4,1,10,4
"2","2014/04/01 17:33",0,0,0,0,0,0,0,0,0,0,0,6,1,10,4
"3","2014/04/01 17:38",0,0,0,0,0,0,0,0,0,0,0,5,1,10,4
"4","2014/04/01 17:43",0,0,0,0,0,0,0,0,0,0,0,4,1,8,4
"5","2014/04/01 17:48",0,0,0,0,0,0,0,0,0,0,0,5,1,10,4
"6","2014/04/01 17:53",0,0,0,0,0,0,0,0,0,0,0,4,1,10,4
"7","2014/04/01 17:58",0,0,0,0,0,0,0,0,0,0,0,4,1,10,4
"8","2014/04/01 18:03",0,0,0,0,0,0,0,0,0,0,0,5,1,9,5
"9","2014/04/01 18:08",0,0,0,0,0,0,0,0,0,0,0,4,1,10,5
"10","2014/04/01 18:13",0,0,0,0,0,0,0,0,0,0,0,4,1,10,5
"11","2014/04/01 18:18",0,0,0,0,0,0,0,0,0,0,0,5,1,10,4
"12","2014/04/01 18:23",0,0,0,0,0,0,0,0,0,0,0,4,1,9,4
"13","2014/04/01 18:28",0,0,0,0,0,0,0,0,0,0,0,4,1,11,4
"14","2014/04/01 18:33",0,0,0,0,0,0,0,0,0,0,0,4,1,10,4
"15","2014/04/01 18:38",0,0,0,0,0,0,0,0,0,0,0,4,1,9,4
"16","2014/04/01 18:43",0,0,0,0,0,0,0,0,0,0,0,5,1,10,4
"17","2014/04/01 18:48",0,0,0,0,0,0,0,0,0,0,0,4,1,10,3
"18","2014/04/01 18:53",0,0,0,0,0,0,0,0,0,0,0,4,1,10,5
"19","2014/04/01 18:58",0,0,0,0,0,0,0,0,0,0,0,4,1,9,5
"20","2014/04/01 19:03",28,2,0,0,0,0,0,0,0,0,0,5,1,10,6
"21","2014/04/01 19:08",2,31,22,0,0,0,0,0,0,0,0,6,1,10,4
"22","2014/04/01 19:13",0,0,0,0,0,0,0,0,0,0,0,5,1,10,4
"23","2014/04/01 19:18",0,0,0,0,0,0,0,0,0,0,0,6,1,9,4
"24","2014/04/01 19:23",0,0,0,0,0,0,0,0,0,0,0,4,1,10,4
"25","2014/04/01 19:28",0,0,0,0,0,1,0,0,0,0,0,4,1,9,4
"26","2014/04/01 19:33",2,0,0,0,0,0,0,0,0,0,0,5,1,9,3
"27","2014/04/01 19:38",0,0,0,0,0,0,0,0,0,0,0,5,1,10,4
"28","2014/04/01 19:43",0,0,0,0,0,0,0,0,0,0,0,5,1,9,5
"29","2014/04/01 19:48",0,0,0,0,0,0,0,0,0,0,0,5,1,9,6
"30","2014/04/01 19:53",0,0,0,0,0,0,0,0,0,0,0,4,1,10,6
"31","2014/04/01 19:58",0,0,0,0,0,0,0,0,0,0,0,4,1,9,3
"32","2014/04/01 20:03",0,0,0,0,0,0,0,0,0,0,0,4,2,10,4
"33","2014/04/01 20:08",0,0,0,0,0,0,0,0,0,0,0,4,1,10,5
"34","2014/04/01 20:13",0,0,0,0,0,0,0,0,0,0,0,5,2,10,3
"35","2014/04/01 20:18",0,0,0,0,0,0,0,0,0,0,0,4,2,10,4
"36","2014/04/01 20:23",0,0,0,0,0,0,0,0,0,0,0,4,2,11,4
"37","2014/04/01 20:28",0,0,0,0,0,0,0,0,0,0,0,4,4,11,4
"38","2014/04/01 20:33",0,0,0,0,0,0,0,0,0,0,0,5,1,10,5
"39","2014/04/01 20:38",0,0,0,0,0,0,0,0,0,0,0,4,1,10,6
"40","2014/04/01 20:43",0,0,0,0,0,0,0,0,0,0,0,4,1,10,6
"41","2014/04/01 20:48",0,0,0,0,0,0,0,0,0,0,0,5,1,11,4
"42","2014/04/01 20:53",0,0,0,0,0,0,0,0,0,0,0,4,1,10,4
"43","2014/04/01 20:58",0,0,0,0,0,0,0,0,0,0,0,4,1,10,4
"44","2014/04/01 21:03",0,0,0,0,0,0,0,0,0,0,0,4,1,10,4
"45","2014/04/01 21:08",0,0,0,0,0,0,0,0,0,0,0,6,1,10,4
