LDEV_Rnd_Write_IOPS_X205-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:2C:06 X"
"1","2014/04/01 17:28",4
"2","2014/04/01 17:33",7
"3","2014/04/01 17:38",6
"4","2014/04/01 17:43",4
"5","2014/04/01 17:48",6
"6","2014/04/01 17:53",7
"7","2014/04/01 17:58",5
"8","2014/04/01 18:03",6
"9","2014/04/01 18:08",8
"10","2014/04/01 18:13",5
"11","2014/04/01 18:18",6
"12","2014/04/01 18:23",6
"13","2014/04/01 18:28",5
"14","2014/04/01 18:33",7
"15","2014/04/01 18:38",8
"16","2014/04/01 18:43",4
"17","2014/04/01 18:48",7
"18","2014/04/01 18:53",5
"19","2014/04/01 18:58",5
"20","2014/04/01 19:03",6
"21","2014/04/01 19:08",8
"22","2014/04/01 19:13",4
"23","2014/04/01 19:18",6
"24","2014/04/01 19:23",6
"25","2014/04/01 19:28",5
"26","2014/04/01 19:33",7
"27","2014/04/01 19:38",6
"28","2014/04/01 19:43",4
"29","2014/04/01 19:48",5
"30","2014/04/01 19:53",5
"31","2014/04/01 19:58",4
"32","2014/04/01 20:03",6
"33","2014/04/01 20:08",8
"34","2014/04/01 20:13",5
"35","2014/04/01 20:18",6
"36","2014/04/01 20:23",5
"37","2014/04/01 20:28",4
"38","2014/04/01 20:33",39
"39","2014/04/01 20:38",12
"40","2014/04/01 20:43",4
"41","2014/04/01 20:48",7
"42","2014/04/01 20:53",6
"43","2014/04/01 20:58",4
"44","2014/04/01 21:03",6
"45","2014/04/01 21:08",9
"46","2014/04/01 21:13",5
"47","2014/04/01 21:18",6
"48","2014/04/01 21:23",6
"49","2014/04/01 21:28",5
"50","2014/04/01 21:33",6
"51","2014/04/01 21:38",5
"52","2014/04/01 21:43",5
"53","2014/04/01 21:48",7
"54","2014/04/01 21:53",7
"55","2014/04/01 21:58",5
"56","2014/04/01 22:03",7
"57","2014/04/01 22:08",9
"58","2014/04/01 22:13",5
"59","2014/04/01 22:18",7
"60","2014/04/01 22:23",6
"61","2014/04/01 22:28",5
"62","2014/04/01 22:33",9
"63","2014/04/01 22:38",10
"64","2014/04/01 22:43",6
"65","2014/04/01 22:48",7
"66","2014/04/01 22:53",9
"67","2014/04/01 22:58",8
"68","2014/04/01 23:03",7
"69","2014/04/01 23:08",10
"70","2014/04/01 23:13",4
"71","2014/04/01 23:18",7
"72","2014/04/01 23:23",6
"73","2014/04/01 23:28",5
"74","2014/04/01 23:33",7
"75","2014/04/01 23:38",6
"76","2014/04/01 23:43",5
"77","2014/04/01 23:48",7
"78","2014/04/01 23:53",6
"79","2014/04/01 23:58",5
"80","2014/04/02 00:03",7
"81","2014/04/02 00:08",9
"82","2014/04/02 00:13",6
"83","2014/04/02 00:18",17
"84","2014/04/02 00:23",6
"85","2014/04/02 00:28",4
"86","2014/04/02 00:33",19
"87","2014/04/02 00:38",11
"88","2014/04/02 00:43",5
"89","2014/04/02 00:48",6
"90","2014/04/02 00:53",6
"91","2014/04/02 00:58",5
"92","2014/04/02 01:03",7
"93","2014/04/02 01:08",9
"94","2014/04/02 01:13",5
"95","2014/04/02 01:18",7
"96","2014/04/02 01:23",7
