LDEV_Rnd_Write_IOPS_X289-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:50:17 X"
"1","2014/04/01 17:28",1
"2","2014/04/01 17:33",1
"3","2014/04/01 17:38",1
"4","2014/04/01 17:43",1
"5","2014/04/01 17:48",1
"6","2014/04/01 17:53",1
"7","2014/04/01 17:58",1
"8","2014/04/01 18:03",1
"9","2014/04/01 18:08",5
"10","2014/04/01 18:13",0
"11","2014/04/01 18:18",1
"12","2014/04/01 18:23",1
"13","2014/04/01 18:28",2
"14","2014/04/01 18:33",1
"15","2014/04/01 18:38",0
"16","2014/04/01 18:43",1
"17","2014/04/01 18:48",3
"18","2014/04/01 18:53",0
"19","2014/04/01 18:58",1
"20","2014/04/01 19:03",1
"21","2014/04/01 19:08",2
"22","2014/04/01 19:13",1
"23","2014/04/01 19:18",1
"24","2014/04/01 19:23",1
"25","2014/04/01 19:28",1
"26","2014/04/01 19:33",1
"27","2014/04/01 19:38",1
"28","2014/04/01 19:43",0
"29","2014/04/01 19:48",0
"30","2014/04/01 19:53",1
"31","2014/04/01 19:58",1
"32","2014/04/01 20:03",1
"33","2014/04/01 20:08",2
"34","2014/04/01 20:13",1
"35","2014/04/01 20:18",1
"36","2014/04/01 20:23",1
"37","2014/04/01 20:28",1
"38","2014/04/01 20:33",2
"39","2014/04/01 20:38",1
"40","2014/04/01 20:43",1
"41","2014/04/01 20:48",1
"42","2014/04/01 20:53",1
"43","2014/04/01 20:58",1
"44","2014/04/01 21:03",2
"45","2014/04/01 21:08",2
"46","2014/04/01 21:13",0
"47","2014/04/01 21:18",2
"48","2014/04/01 21:23",2
"49","2014/04/01 21:28",1
"50","2014/04/01 21:33",1
"51","2014/04/01 21:38",1
"52","2014/04/01 21:43",2
"53","2014/04/01 21:48",2
"54","2014/04/01 21:53",1
"55","2014/04/01 21:58",1
"56","2014/04/01 22:03",3
"57","2014/04/01 22:08",3
"58","2014/04/01 22:13",12
"59","2014/04/01 22:18",2
"60","2014/04/01 22:23",1
"61","2014/04/01 22:28",2
"62","2014/04/01 22:33",5
"63","2014/04/01 22:38",6
"64","2014/04/01 22:43",3
"65","2014/04/01 22:48",13
"66","2014/04/01 22:53",16
"67","2014/04/01 22:58",19
"68","2014/04/01 23:03",13
"69","2014/04/01 23:08",15
"70","2014/04/01 23:13",12
"71","2014/04/01 23:18",16
"72","2014/04/01 23:23",21
"73","2014/04/01 23:28",29
"74","2014/04/01 23:33",14
"75","2014/04/01 23:38",23
"76","2014/04/01 23:43",16
"77","2014/04/01 23:48",19
"78","2014/04/01 23:53",17
"79","2014/04/01 23:58",15
"80","2014/04/02 00:03",5
"81","2014/04/02 00:08",6
"82","2014/04/02 00:13",2
"83","2014/04/02 00:18",3
"84","2014/04/02 00:23",4
"85","2014/04/02 00:28",3
"86","2014/04/02 00:33",2
"87","2014/04/02 00:38",3
"88","2014/04/02 00:43",2
"89","2014/04/02 00:48",2
"90","2014/04/02 00:53",3
"91","2014/04/02 00:58",3
"92","2014/04/02 01:03",2
"93","2014/04/02 01:08",3
"94","2014/04/02 01:13",3
"95","2014/04/02 01:18",2
"96","2014/04/02 01:23",2
