LDEV_Rnd_Write_IOPS_X532-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:02:E5 X"
"1","2014/04/01 17:28",6
"2","2014/04/01 17:33",7
"3","2014/04/01 17:38",7
"4","2014/04/01 17:43",7
"5","2014/04/01 17:48",7
"6","2014/04/01 17:53",9
"7","2014/04/01 17:58",7
"8","2014/04/01 18:03",8
"9","2014/04/01 18:08",7
"10","2014/04/01 18:13",7
"11","2014/04/01 18:18",6
"12","2014/04/01 18:23",7
"13","2014/04/01 18:28",7
"14","2014/04/01 18:33",7
"15","2014/04/01 18:38",8
"16","2014/04/01 18:43",7
"17","2014/04/01 18:48",7
"18","2014/04/01 18:53",7
"19","2014/04/01 18:58",7
"20","2014/04/01 19:03",6
"21","2014/04/01 19:08",8
"22","2014/04/01 19:13",6
"23","2014/04/01 19:18",7
"24","2014/04/01 19:23",8
"25","2014/04/01 19:28",7
"26","2014/04/01 19:33",7
"27","2014/04/01 19:38",7
"28","2014/04/01 19:43",7
"29","2014/04/01 19:48",6
"30","2014/04/01 19:53",7
"31","2014/04/01 19:58",7
"32","2014/04/01 20:03",8
"33","2014/04/01 20:08",8
"34","2014/04/01 20:13",6
"35","2014/04/01 20:18",8
"36","2014/04/01 20:23",8
"37","2014/04/01 20:28",6
"38","2014/04/01 20:33",7
"39","2014/04/01 20:38",7
"40","2014/04/01 20:43",7
"41","2014/04/01 20:48",6
"42","2014/04/01 20:53",7
"43","2014/04/01 20:58",7
"44","2014/04/01 21:03",7
"45","2014/04/01 21:08",8
"46","2014/04/01 21:13",7
"47","2014/04/01 21:18",7
"48","2014/04/01 21:23",7
"49","2014/04/01 21:28",6
"50","2014/04/01 21:33",7
"51","2014/04/01 21:38",8
"52","2014/04/01 21:43",7
"53","2014/04/01 21:48",8
"54","2014/04/01 21:53",7
"55","2014/04/01 21:58",7
"56","2014/04/01 22:03",7
"57","2014/04/01 22:08",8
"58","2014/04/01 22:13",7
"59","2014/04/01 22:18",7
"60","2014/04/01 22:23",6
"61","2014/04/01 22:28",7
"62","2014/04/01 22:33",7
"63","2014/04/01 22:38",8
"64","2014/04/01 22:43",7
"65","2014/04/01 22:48",7
"66","2014/04/01 22:53",7
"67","2014/04/01 22:58",7
"68","2014/04/01 23:03",8
"69","2014/04/01 23:08",8
"70","2014/04/01 23:13",8
"71","2014/04/01 23:18",7
"72","2014/04/01 23:23",8
"73","2014/04/01 23:28",7
"74","2014/04/01 23:33",7
"75","2014/04/01 23:38",8
"76","2014/04/01 23:43",7
"77","2014/04/01 23:48",7
"78","2014/04/01 23:53",8
"79","2014/04/01 23:58",7
"80","2014/04/02 00:03",8
"81","2014/04/02 00:08",8
"82","2014/04/02 00:13",7
"83","2014/04/02 00:18",7
"84","2014/04/02 00:23",7
"85","2014/04/02 00:28",7
"86","2014/04/02 00:33",7
"87","2014/04/02 00:38",8
"88","2014/04/02 00:43",7
"89","2014/04/02 00:48",7
"90","2014/04/02 00:53",8
"91","2014/04/02 00:58",7
"92","2014/04/02 01:03",7
"93","2014/04/02 01:08",7
"94","2014/04/02 01:13",8
"95","2014/04/02 01:18",7
"96","2014/04/02 01:23",7
