LDEV_Rnd_Write_IOPS_X847-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:21:1E X"
"1","2014/04/01 17:28",12
"2","2014/04/01 17:33",14
"3","2014/04/01 17:38",15
"4","2014/04/01 17:43",12
"5","2014/04/01 17:48",11
"6","2014/04/01 17:53",10
"7","2014/04/01 17:58",5
"8","2014/04/01 18:03",6
"9","2014/04/01 18:08",13
"10","2014/04/01 18:13",16
"11","2014/04/01 18:18",8
"12","2014/04/01 18:23",11
"13","2014/04/01 18:28",17
"14","2014/04/01 18:33",16
"15","2014/04/01 18:38",8
"16","2014/04/01 18:43",19
"17","2014/04/01 18:48",17
"18","2014/04/01 18:53",16
"19","2014/04/01 18:58",12
"20","2014/04/01 19:03",7
"21","2014/04/01 19:08",20
"22","2014/04/01 19:13",18
"23","2014/04/01 19:18",7
"24","2014/04/01 19:23",5
"25","2014/04/01 19:28",14
"26","2014/04/01 19:33",13
"27","2014/04/01 19:38",7
"28","2014/04/01 19:43",21
"29","2014/04/01 19:48",15
"30","2014/04/01 19:53",11
"31","2014/04/01 19:58",9
"32","2014/04/01 20:03",17
"33","2014/04/01 20:08",11
"34","2014/04/01 20:13",15
"35","2014/04/01 20:18",8
"36","2014/04/01 20:23",6
"37","2014/04/01 20:28",5
"38","2014/04/01 20:33",18
"39","2014/04/01 20:38",13
"40","2014/04/01 20:43",13
"41","2014/04/01 20:48",7
"42","2014/04/01 20:53",15
"43","2014/04/01 20:58",20
"44","2014/04/01 21:03",6
"45","2014/04/01 21:08",10
"46","2014/04/01 21:13",6
"47","2014/04/01 21:18",10
"48","2014/04/01 21:23",12
"49","2014/04/01 21:28",22
"50","2014/04/01 21:33",30
"51","2014/04/01 21:38",9
"52","2014/04/01 21:43",7
"53","2014/04/01 21:48",16
"54","2014/04/01 21:53",15
"55","2014/04/01 21:58",83
"56","2014/04/01 22:03",240
"57","2014/04/01 22:08",195
"58","2014/04/01 22:13",146
"59","2014/04/01 22:18",148
"60","2014/04/01 22:23",115
"61","2014/04/01 22:28",123
"62","2014/04/01 22:33",176
"63","2014/04/01 22:38",104
"64","2014/04/01 22:43",94
"65","2014/04/01 22:48",93
"66","2014/04/01 22:53",99
"67","2014/04/01 22:58",101
"68","2014/04/01 23:03",130
"69","2014/04/01 23:08",119
"70","2014/04/01 23:13",157
"71","2014/04/01 23:18",225
"72","2014/04/01 23:23",211
"73","2014/04/01 23:28",232
"74","2014/04/01 23:33",227
"75","2014/04/01 23:38",251
"76","2014/04/01 23:43",250
"77","2014/04/01 23:48",154
"78","2014/04/01 23:53",128
"79","2014/04/01 23:58",106
"80","2014/04/02 00:03",76
"81","2014/04/02 00:08",113
"82","2014/04/02 00:13",114
"83","2014/04/02 00:18",121
"84","2014/04/02 00:23",135
"85","2014/04/02 00:28",82
"86","2014/04/02 00:33",76
"87","2014/04/02 00:38",92
"88","2014/04/02 00:43",89
"89","2014/04/02 00:48",78
"90","2014/04/02 00:53",77
"91","2014/04/02 00:58",93
"92","2014/04/02 01:03",107
"93","2014/04/02 01:08",104
"94","2014/04/02 01:13",97
"95","2014/04/02 01:18",80
"96","2014/04/02 01:23",101
