LDEV_Seq_Read_Hit_X1022-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:50:02 X"
"1","2014/04/01 17:28",52
"2","2014/04/01 17:33",0
"3","2014/04/01 17:38",28
"4","2014/04/01 17:43",95
"5","2014/04/01 17:48",95
"6","2014/04/01 17:53",82
"7","2014/04/01 17:58",65
"8","2014/04/01 18:03",92
"9","2014/04/01 18:08",33
"10","2014/04/01 18:13",57
"11","2014/04/01 18:18",0
"12","2014/04/01 18:23",31
"13","2014/04/01 18:28",59
"14","2014/04/01 18:33",91
"15","2014/04/01 18:38",33
"16","2014/04/01 18:43",97
"17","2014/04/01 18:48",97
"18","2014/04/01 18:53",15
"19","2014/04/01 18:58",57
"20","2014/04/01 19:03",94
"21","2014/04/01 19:08",28
"22","2014/04/01 19:13",93
"23","2014/04/01 19:18",81
"24","2014/04/01 19:23",15
"25","2014/04/01 19:28",59
"26","2014/04/01 19:33",94
"27","2014/04/01 19:38",40
"28","2014/04/01 19:43",64
"29","2014/04/01 19:48",0
"30","2014/04/01 19:53",33
"31","2014/04/01 19:58",56
"32","2014/04/01 20:03",80
"33","2014/04/01 20:08",28
"34","2014/04/01 20:13",60
"35","2014/04/01 20:18",42
"36","2014/04/01 20:23",46
"37","2014/04/01 20:28",62
"38","2014/04/01 20:33",25
"39","2014/04/01 20:38",25
"40","2014/04/01 20:43",56
"41","2014/04/01 20:48",91
"42","2014/04/01 20:53",28
"43","2014/04/01 20:58",41
"44","2014/04/01 21:03",88
"45","2014/04/01 21:08",50
"46","2014/04/01 21:13",68
"47","2014/04/01 21:18",0
"48","2014/04/01 21:23",30
"49","2014/04/01 21:28",50
"50","2014/04/01 21:33",25
"51","2014/04/01 21:38",40
"52","2014/04/01 21:43",96
"53","2014/04/01 21:48",69
"54","2014/04/01 21:53",78
"55","2014/04/01 21:58",66
"56","2014/04/01 22:03",90
"57","2014/04/01 22:08",92
"58","2014/04/01 22:13",94
"59","2014/04/01 22:18",94
"60","2014/04/01 22:23",93
"61","2014/04/01 22:28",91
"62","2014/04/01 22:33",93
"63","2014/04/01 22:38",93
"64","2014/04/01 22:43",95
"65","2014/04/01 22:48",96
"66","2014/04/01 22:53",95
"67","2014/04/01 22:58",95
"68","2014/04/01 23:03",91
"69","2014/04/01 23:08",93
"70","2014/04/01 23:13",94
"71","2014/04/01 23:18",94
"72","2014/04/01 23:23",95
"73","2014/04/01 23:28",96
"74","2014/04/01 23:33",96
"75","2014/04/01 23:38",96
"76","2014/04/01 23:43",95
"77","2014/04/01 23:48",95
"78","2014/04/01 23:53",95
"79","2014/04/01 23:58",95
"80","2014/04/02 00:03",96
"81","2014/04/02 00:08",94
"82","2014/04/02 00:13",95
"83","2014/04/02 00:18",94
"84","2014/04/02 00:23",93
"85","2014/04/02 00:28",95
"86","2014/04/02 00:33",95
"87","2014/04/02 00:38",60
"88","2014/04/02 00:43",93
"89","2014/04/02 00:48",96
"90","2014/04/02 00:53",93
"91","2014/04/02 00:58",95
"92","2014/04/02 01:03",96
"93","2014/04/02 01:08",94
"94","2014/04/02 01:13",70
"95","2014/04/02 01:18",63
"96","2014/04/02 01:23",47
