LDEV_Seq_Read_Hit_X1030-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:50:0A X"
"1","2014/04/01 17:28",0
"2","2014/04/01 17:33",92
"3","2014/04/01 17:38",0
"4","2014/04/01 17:43",99
"5","2014/04/01 17:48",97
"6","2014/04/01 17:53",98
"7","2014/04/01 17:58",0
"8","2014/04/01 18:03",92
"9","2014/04/01 18:08",0
"10","2014/04/01 18:13",0
"11","2014/04/01 18:18",90
"12","2014/04/01 18:23",83
"13","2014/04/01 18:28",0
"14","2014/04/01 18:33",87
"15","2014/04/01 18:38",0
"16","2014/04/01 18:43",100
"17","2014/04/01 18:48",84
"18","2014/04/01 18:53",100
"19","2014/04/01 18:58",0
"20","2014/04/01 19:03",94
"21","2014/04/01 19:08",0
"22","2014/04/01 19:13",0
"23","2014/04/01 19:18",94
"24","2014/04/01 19:23",86
"25","2014/04/01 19:28",0
"26","2014/04/01 19:33",91
"27","2014/04/01 19:38",90
"28","2014/04/01 19:43",100
"29","2014/04/01 19:48",89
"30","2014/04/01 19:53",87
"31","2014/04/01 19:58",0
"32","2014/04/01 20:03",87
"33","2014/04/01 20:08",0
"34","2014/04/01 20:13",0
"35","2014/04/01 20:18",88
"36","2014/04/01 20:23",97
"37","2014/04/01 20:28",71
"38","2014/04/01 20:33",92
"39","2014/04/01 20:38",0
"40","2014/04/01 20:43",0
"41","2014/04/01 20:48",95
"42","2014/04/01 20:53",0
"43","2014/04/01 20:58",0
"44","2014/04/01 21:03",88
"45","2014/04/01 21:08",0
"46","2014/04/01 21:13",0
"47","2014/04/01 21:18",81
"48","2014/04/01 21:23",0
"49","2014/04/01 21:28",0
"50","2014/04/01 21:33",93
"51","2014/04/01 21:38",0
"52","2014/04/01 21:43",100
"53","2014/04/01 21:48",95
"54","2014/04/01 21:53",100
"55","2014/04/01 21:58",100
"56","2014/04/01 22:03",91
"57","2014/04/01 22:08",0
"58","2014/04/01 22:13",0
"59","2014/04/01 22:18",84
"60","2014/04/01 22:23",90
"61","2014/04/01 22:28",0
"62","2014/04/01 22:33",93
"63","2014/04/01 22:38",0
"64","2014/04/01 22:43",99
"65","2014/04/01 22:48",91
"66","2014/04/01 22:53",94
"67","2014/04/01 22:58",40
"68","2014/04/01 23:03",89
"69","2014/04/01 23:08",100
"70","2014/04/01 23:13",0
"71","2014/04/01 23:18",92
"72","2014/04/01 23:23",75
"73","2014/04/01 23:28",50
"74","2014/04/01 23:33",93
"75","2014/04/01 23:38",0
"76","2014/04/01 23:43",0
"77","2014/04/01 23:48",93
"78","2014/04/01 23:53",70
"79","2014/04/01 23:58",0
"80","2014/04/02 00:03",82
"81","2014/04/02 00:08",0
"82","2014/04/02 00:13",0
"83","2014/04/02 00:18",84
"84","2014/04/02 00:23",93
"85","2014/04/02 00:28",0
"86","2014/04/02 00:33",88
"87","2014/04/02 00:38",0
"88","2014/04/02 00:43",0
"89","2014/04/02 00:48",91
"90","2014/04/02 00:53",0
"91","2014/04/02 00:58",0
"92","2014/04/02 01:03",84
"93","2014/04/02 01:08",0
"94","2014/04/02 01:13",0
"95","2014/04/02 01:18",84
"96","2014/04/02 01:23",0
