LDEV_Seq_Read_Hit_X494-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:E5 X"
"1","2014/04/01 17:28",0
"2","2014/04/01 17:33",81
"3","2014/04/01 17:38",0
"4","2014/04/01 17:43",97
"5","2014/04/01 17:48",90
"6","2014/04/01 17:53",74
"7","2014/04/01 17:58",0
"8","2014/04/01 18:03",93
"9","2014/04/01 18:08",0
"10","2014/04/01 18:13",100
"11","2014/04/01 18:18",87
"12","2014/04/01 18:23",52
"13","2014/04/01 18:28",0
"14","2014/04/01 18:33",72
"15","2014/04/01 18:38",0
"16","2014/04/01 18:43",97
"17","2014/04/01 18:48",71
"18","2014/04/01 18:53",15
"19","2014/04/01 18:58",0
"20","2014/04/01 19:03",94
"21","2014/04/01 19:08",0
"22","2014/04/01 19:13",100
"23","2014/04/01 19:18",75
"24","2014/04/01 19:23",21
"25","2014/04/01 19:28",0
"26","2014/04/01 19:33",94
"27","2014/04/01 19:38",0
"28","2014/04/01 19:43",66
"29","2014/04/01 19:48",66
"30","2014/04/01 19:53",16
"31","2014/04/01 19:58",0
"32","2014/04/01 20:03",86
"33","2014/04/01 20:08",16
"34","2014/04/01 20:13",0
"35","2014/04/01 20:18",56
"36","2014/04/01 20:23",50
"37","2014/04/01 20:28",50
"38","2014/04/01 20:33",70
"39","2014/04/01 20:38",16
"40","2014/04/01 20:43",66
"41","2014/04/01 20:48",82
"42","2014/04/01 20:53",23
"43","2014/04/01 20:58",0
"44","2014/04/01 21:03",84
"45","2014/04/01 21:08",0
"46","2014/04/01 21:13",66
"47","2014/04/01 21:18",73
"48","2014/04/01 21:23",28
"49","2014/04/01 21:28",0
"50","2014/04/01 21:33",90
"51","2014/04/01 21:38",0
"52","2014/04/01 21:43",97
"53","2014/04/01 21:48",87
"54","2014/04/01 21:53",80
"55","2014/04/01 21:58",0
"56","2014/04/01 22:03",85
"57","2014/04/01 22:08",82
"58","2014/04/01 22:13",92
"59","2014/04/01 22:18",95
"60","2014/04/01 22:23",94
"61","2014/04/01 22:28",91
"62","2014/04/01 22:33",93
"63","2014/04/01 22:38",92
"64","2014/04/01 22:43",95
"65","2014/04/01 22:48",95
"66","2014/04/01 22:53",95
"67","2014/04/01 22:58",95
"68","2014/04/01 23:03",91
"69","2014/04/01 23:08",93
"70","2014/04/01 23:13",94
"71","2014/04/01 23:18",94
"72","2014/04/01 23:23",95
"73","2014/04/01 23:28",96
"74","2014/04/01 23:33",95
"75","2014/04/01 23:38",95
"76","2014/04/01 23:43",95
"77","2014/04/01 23:48",95
"78","2014/04/01 23:53",95
"79","2014/04/01 23:58",95
"80","2014/04/02 00:03",95
"81","2014/04/02 00:08",94
"82","2014/04/02 00:13",96
"83","2014/04/02 00:18",94
"84","2014/04/02 00:23",92
"85","2014/04/02 00:28",95
"86","2014/04/02 00:33",96
"87","2014/04/02 00:38",50
"88","2014/04/02 00:43",97
"89","2014/04/02 00:48",94
"90","2014/04/02 00:53",95
"91","2014/04/02 00:58",96
"92","2014/04/02 01:03",95
"93","2014/04/02 01:08",94
"94","2014/04/02 01:13",75
"95","2014/04/02 01:18",23
"96","2014/04/02 01:23",30
