LDEV_Seq_Read_Hit_X505-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:F0 X"
"1","2014/04/01 17:28",41
"2","2014/04/01 17:33",80
"3","2014/04/01 17:38",14
"4","2014/04/01 17:43",96
"5","2014/04/01 17:48",92
"6","2014/04/01 17:53",55
"7","2014/04/01 17:58",50
"8","2014/04/01 18:03",86
"9","2014/04/01 18:08",37
"10","2014/04/01 18:13",80
"11","2014/04/01 18:18",0
"12","2014/04/01 18:23",27
"13","2014/04/01 18:28",57
"14","2014/04/01 18:33",94
"15","2014/04/01 18:38",20
"16","2014/04/01 18:43",89
"17","2014/04/01 18:48",91
"18","2014/04/01 18:53",25
"19","2014/04/01 18:58",25
"20","2014/04/01 19:03",93
"21","2014/04/01 19:08",25
"22","2014/04/01 19:13",0
"23","2014/04/01 19:18",73
"24","2014/04/01 19:23",62
"25","2014/04/01 19:28",85
"26","2014/04/01 19:33",87
"27","2014/04/01 19:38",0
"28","2014/04/01 19:43",72
"29","2014/04/01 19:48",25
"30","2014/04/01 19:53",45
"31","2014/04/01 19:58",16
"32","2014/04/01 20:03",93
"33","2014/04/01 20:08",25
"34","2014/04/01 20:13",0
"35","2014/04/01 20:18",9
"36","2014/04/01 20:23",53
"37","2014/04/01 20:28",25
"38","2014/04/01 20:33",71
"39","2014/04/01 20:38",14
"40","2014/04/01 20:43",100
"41","2014/04/01 20:48",86
"42","2014/04/01 20:53",42
"43","2014/04/01 20:58",16
"44","2014/04/01 21:03",88
"45","2014/04/01 21:08",0
"46","2014/04/01 21:13",0
"47","2014/04/01 21:18",25
"48","2014/04/01 21:23",16
"49","2014/04/01 21:28",42
"50","2014/04/01 21:33",94
"51","2014/04/01 21:38",16
"52","2014/04/01 21:43",97
"53","2014/04/01 21:48",91
"54","2014/04/01 21:53",21
"55","2014/04/01 21:58",33
"56","2014/04/01 22:03",92
"57","2014/04/01 22:08",90
"58","2014/04/01 22:13",90
"59","2014/04/01 22:18",95
"60","2014/04/01 22:23",94
"61","2014/04/01 22:28",90
"62","2014/04/01 22:33",92
"63","2014/04/01 22:38",93
"64","2014/04/01 22:43",95
"65","2014/04/01 22:48",95
"66","2014/04/01 22:53",95
"67","2014/04/01 22:58",95
"68","2014/04/01 23:03",91
"69","2014/04/01 23:08",92
"70","2014/04/01 23:13",94
"71","2014/04/01 23:18",94
"72","2014/04/01 23:23",95
"73","2014/04/01 23:28",95
"74","2014/04/01 23:33",95
"75","2014/04/01 23:38",95
"76","2014/04/01 23:43",95
"77","2014/04/01 23:48",95
"78","2014/04/01 23:53",96
"79","2014/04/01 23:58",95
"80","2014/04/02 00:03",95
"81","2014/04/02 00:08",95
"82","2014/04/02 00:13",95
"83","2014/04/02 00:18",94
"84","2014/04/02 00:23",93
"85","2014/04/02 00:28",95
"86","2014/04/02 00:33",95
"87","2014/04/02 00:38",92
"88","2014/04/02 00:43",94
"89","2014/04/02 00:48",95
"90","2014/04/02 00:53",94
"91","2014/04/02 00:58",95
"92","2014/04/02 01:03",94
"93","2014/04/02 01:08",95
"94","2014/04/02 01:13",64
"95","2014/04/02 01:18",6
"96","2014/04/02 01:23",37
