LDEV_Seq_Read_Hit_X522-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:02:1C X"
"1","2014/04/01 17:28",0
"2","2014/04/01 17:33",93
"3","2014/04/01 17:38",0
"4","2014/04/01 17:43",96
"5","2014/04/01 17:48",87
"6","2014/04/01 17:53",85
"7","2014/04/01 17:58",16
"8","2014/04/01 18:03",91
"9","2014/04/01 18:08",0
"10","2014/04/01 18:13",50
"11","2014/04/01 18:18",40
"12","2014/04/01 18:23",0
"13","2014/04/01 18:28",0
"14","2014/04/01 18:33",50
"15","2014/04/01 18:38",0
"16","2014/04/01 18:43",97
"17","2014/04/01 18:48",62
"18","2014/04/01 18:53",0
"19","2014/04/01 18:58",20
"20","2014/04/01 19:03",81
"21","2014/04/01 19:08",0
"22","2014/04/01 19:13",0
"23","2014/04/01 19:18",42
"24","2014/04/01 19:23",0
"25","2014/04/01 19:28",20
"26","2014/04/01 19:33",94
"27","2014/04/01 19:38",0
"28","2014/04/01 19:43",0
"29","2014/04/01 19:48",100
"30","2014/04/01 19:53",0
"31","2014/04/01 19:58",0
"32","2014/04/01 20:03",91
"33","2014/04/01 20:08",0
"34","2014/04/01 20:13",50
"35","2014/04/01 20:18",14
"36","2014/04/01 20:23",14
"37","2014/04/01 20:28",0
"38","2014/04/01 20:33",42
"39","2014/04/01 20:38",0
"40","2014/04/01 20:43",100
"41","2014/04/01 20:48",88
"42","2014/04/01 20:53",20
"43","2014/04/01 20:58",40
"44","2014/04/01 21:03",68
"45","2014/04/01 21:08",0
"46","2014/04/01 21:13",50
"47","2014/04/01 21:18",50
"48","2014/04/01 21:23",14
"49","2014/04/01 21:28",0
"50","2014/04/01 21:33",70
"51","2014/04/01 21:38",0
"52","2014/04/01 21:43",97
"53","2014/04/01 21:48",86
"54","2014/04/01 21:53",78
"55","2014/04/01 21:58",16
"56","2014/04/01 22:03",87
"57","2014/04/01 22:08",90
"58","2014/04/01 22:13",91
"59","2014/04/01 22:18",94
"60","2014/04/01 22:23",94
"61","2014/04/01 22:28",90
"62","2014/04/01 22:33",93
"63","2014/04/01 22:38",92
"64","2014/04/01 22:43",95
"65","2014/04/01 22:48",95
"66","2014/04/01 22:53",95
"67","2014/04/01 22:58",95
"68","2014/04/01 23:03",91
"69","2014/04/01 23:08",92
"70","2014/04/01 23:13",94
"71","2014/04/01 23:18",95
"72","2014/04/01 23:23",94
"73","2014/04/01 23:28",96
"74","2014/04/01 23:33",95
"75","2014/04/01 23:38",96
"76","2014/04/01 23:43",95
"77","2014/04/01 23:48",95
"78","2014/04/01 23:53",95
"79","2014/04/01 23:58",95
"80","2014/04/02 00:03",95
"81","2014/04/02 00:08",95
"82","2014/04/02 00:13",95
"83","2014/04/02 00:18",94
"84","2014/04/02 00:23",93
"85","2014/04/02 00:28",95
"86","2014/04/02 00:33",95
"87","2014/04/02 00:38",76
"88","2014/04/02 00:43",94
"89","2014/04/02 00:48",95
"90","2014/04/02 00:53",95
"91","2014/04/02 00:58",95
"92","2014/04/02 01:03",95
"93","2014/04/02 01:08",95
"94","2014/04/02 01:13",73
"95","2014/04/02 01:18",9
"96","2014/04/02 01:23",50
