LDEV_Seq_Read_Hit_X583-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:0C:0A X"
"1","2014/04/01 17:28",90
"2","2014/04/01 17:33",94
"3","2014/04/01 17:38",93
"4","2014/04/01 17:43",95
"5","2014/04/01 17:48",87
"6","2014/04/01 17:53",92
"7","2014/04/01 17:58",92
"8","2014/04/01 18:03",94
"9","2014/04/01 18:08",93
"10","2014/04/01 18:13",93
"11","2014/04/01 18:18",89
"12","2014/04/01 18:23",93
"13","2014/04/01 18:28",80
"14","2014/04/01 18:33",88
"15","2014/04/01 18:38",88
"16","2014/04/01 18:43",94
"17","2014/04/01 18:48",94
"18","2014/04/01 18:53",94
"19","2014/04/01 18:58",92
"20","2014/04/01 19:03",93
"21","2014/04/01 19:08",94
"22","2014/04/01 19:13",94
"23","2014/04/01 19:18",95
"24","2014/04/01 19:23",93
"25","2014/04/01 19:28",93
"26","2014/04/01 19:33",94
"27","2014/04/01 19:38",88
"28","2014/04/01 19:43",53
"29","2014/04/01 19:48",60
"30","2014/04/01 19:53",66
"31","2014/04/01 19:58",82
"32","2014/04/01 20:03",89
"33","2014/04/01 20:08",86
"34","2014/04/01 20:13",89
"35","2014/04/01 20:18",92
"36","2014/04/01 20:23",91
"37","2014/04/01 20:28",90
"38","2014/04/01 20:33",90
"39","2014/04/01 20:38",91
"40","2014/04/01 20:43",94
"41","2014/04/01 20:48",91
"42","2014/04/01 20:53",93
"43","2014/04/01 20:58",82
"44","2014/04/01 21:03",94
"45","2014/04/01 21:08",81
"46","2014/04/01 21:13",87
"47","2014/04/01 21:18",68
"48","2014/04/01 21:23",78
"49","2014/04/01 21:28",77
"50","2014/04/01 21:33",73
"51","2014/04/01 21:38",81
"52","2014/04/01 21:43",78
"53","2014/04/01 21:48",70
"54","2014/04/01 21:53",75
"55","2014/04/01 21:58",62
"56","2014/04/01 22:03",84
"57","2014/04/01 22:08",75
"58","2014/04/01 22:13",84
"59","2014/04/01 22:18",89
"60","2014/04/01 22:23",93
"61","2014/04/01 22:28",92
"62","2014/04/01 22:33",86
"63","2014/04/01 22:38",89
"64","2014/04/01 22:43",93
"65","2014/04/01 22:48",93
"66","2014/04/01 22:53",89
"67","2014/04/01 22:58",89
"68","2014/04/01 23:03",89
"69","2014/04/01 23:08",91
"70","2014/04/01 23:13",91
"71","2014/04/01 23:18",89
"72","2014/04/01 23:23",91
"73","2014/04/01 23:28",91
"74","2014/04/01 23:33",91
"75","2014/04/01 23:38",92
"76","2014/04/01 23:43",93
"77","2014/04/01 23:48",92
"78","2014/04/01 23:53",93
"79","2014/04/01 23:58",94
"80","2014/04/02 00:03",93
"81","2014/04/02 00:08",94
"82","2014/04/02 00:13",94
"83","2014/04/02 00:18",94
"84","2014/04/02 00:23",94
"85","2014/04/02 00:28",94
"86","2014/04/02 00:33",94
"87","2014/04/02 00:38",94
"88","2014/04/02 00:43",93
"89","2014/04/02 00:48",94
"90","2014/04/02 00:53",94
"91","2014/04/02 00:58",94
"92","2014/04/02 01:03",93
"93","2014/04/02 01:08",83
"94","2014/04/02 01:13",90
"95","2014/04/02 01:18",87
"96","2014/04/02 01:23",93
