LDEV_Seq_Read_Hit_X66-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:5A:D7 X"
"1","2014/04/01 17:28",70
"2","2014/04/01 17:33",90
"3","2014/04/01 17:38",91
"4","2014/04/01 17:43",94
"5","2014/04/01 17:48",90
"6","2014/04/01 17:53",92
"7","2014/04/01 17:58",91
"8","2014/04/01 18:03",96
"9","2014/04/01 18:08",93
"10","2014/04/01 18:13",93
"11","2014/04/01 18:18",93
"12","2014/04/01 18:23",97
"13","2014/04/01 18:28",92
"14","2014/04/01 18:33",91
"15","2014/04/01 18:38",80
"16","2014/04/01 18:43",87
"17","2014/04/01 18:48",88
"18","2014/04/01 18:53",88
"19","2014/04/01 18:58",94
"20","2014/04/01 19:03",91
"21","2014/04/01 19:08",85
"22","2014/04/01 19:13",81
"23","2014/04/01 19:18",92
"24","2014/04/01 19:23",92
"25","2014/04/01 19:28",73
"26","2014/04/01 19:33",82
"27","2014/04/01 19:38",93
"28","2014/04/01 19:43",82
"29","2014/04/01 19:48",71
"30","2014/04/01 19:53",93
"31","2014/04/01 19:58",87
"32","2014/04/01 20:03",80
"33","2014/04/01 20:08",83
"34","2014/04/01 20:13",86
"35","2014/04/01 20:18",89
"36","2014/04/01 20:23",83
"37","2014/04/01 20:28",87
"38","2014/04/01 20:33",70
"39","2014/04/01 20:38",89
"40","2014/04/01 20:43",89
"41","2014/04/01 20:48",87
"42","2014/04/01 20:53",85
"43","2014/04/01 20:58",87
"44","2014/04/01 21:03",69
"45","2014/04/01 21:08",65
"46","2014/04/01 21:13",64
"47","2014/04/01 21:18",94
"48","2014/04/01 21:23",63
"49","2014/04/01 21:28",86
"50","2014/04/01 21:33",57
"51","2014/04/01 21:38",87
"52","2014/04/01 21:43",92
"53","2014/04/01 21:48",95
"54","2014/04/01 21:53",72
"55","2014/04/01 21:58",77
"56","2014/04/01 22:03",77
"57","2014/04/01 22:08",66
"58","2014/04/01 22:13",0
"59","2014/04/01 22:18",85
"60","2014/04/01 22:23",0
"61","2014/04/01 22:28",0
"62","2014/04/01 22:33",67
"63","2014/04/01 22:38",0
"64","2014/04/01 22:43",0
"65","2014/04/01 22:48",0
"66","2014/04/01 22:53",76
"67","2014/04/01 22:58",86
"68","2014/04/01 23:03",74
"69","2014/04/01 23:08",69
"70","2014/04/01 23:13",86
"71","2014/04/01 23:18",85
"72","2014/04/01 23:23",86
"73","2014/04/01 23:28",66
"74","2014/04/01 23:33",0
"75","2014/04/01 23:38",40
"76","2014/04/01 23:43",90
"77","2014/04/01 23:48",84
"78","2014/04/01 23:53",86
"79","2014/04/01 23:58",86
"80","2014/04/02 00:03",80
"81","2014/04/02 00:08",0
"82","2014/04/02 00:13",0
"83","2014/04/02 00:18",69
"84","2014/04/02 00:23",75
"85","2014/04/02 00:28",0
"86","2014/04/02 00:33",46
"87","2014/04/02 00:38",76
"88","2014/04/02 00:43",0
"89","2014/04/02 00:48",59
"90","2014/04/02 00:53",88
"91","2014/04/02 00:58",0
"92","2014/04/02 01:03",93
"93","2014/04/02 01:08",0
"94","2014/04/02 01:13",0
"95","2014/04/02 01:18",71
"96","2014/04/02 01:23",0
