LDEV_Seq_Read_Hit_X827-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:21:0D X"
"1","2014/04/01 17:28",96
"2","2014/04/01 17:33",85
"3","2014/04/01 17:38",80
"4","2014/04/01 17:43",84
"5","2014/04/01 17:48",75
"6","2014/04/01 17:53",50
"7","2014/04/01 17:58",82
"8","2014/04/01 18:03",80
"9","2014/04/01 18:08",94
"10","2014/04/01 18:13",89
"11","2014/04/01 18:18",50
"12","2014/04/01 18:23",33
"13","2014/04/01 18:28",96
"14","2014/04/01 18:33",75
"15","2014/04/01 18:38",92
"16","2014/04/01 18:43",95
"17","2014/04/01 18:48",100
"18","2014/04/01 18:53",57
"19","2014/04/01 18:58",92
"20","2014/04/01 19:03",75
"21","2014/04/01 19:08",92
"22","2014/04/01 19:13",88
"23","2014/04/01 19:18",50
"24","2014/04/01 19:23",0
"25","2014/04/01 19:28",96
"26","2014/04/01 19:33",28
"27","2014/04/01 19:38",94
"28","2014/04/01 19:43",96
"29","2014/04/01 19:48",0
"30","2014/04/01 19:53",0
"31","2014/04/01 19:58",85
"32","2014/04/01 20:03",33
"33","2014/04/01 20:08",92
"34","2014/04/01 20:13",92
"35","2014/04/01 20:18",50
"36","2014/04/01 20:23",0
"37","2014/04/01 20:28",92
"38","2014/04/01 20:33",66
"39","2014/04/01 20:38",95
"40","2014/04/01 20:43",95
"41","2014/04/01 20:48",0
"42","2014/04/01 20:53",0
"43","2014/04/01 20:58",92
"44","2014/04/01 21:03",33
"45","2014/04/01 21:08",94
"46","2014/04/01 21:13",96
"47","2014/04/01 21:18",0
"48","2014/04/01 21:23",0
"49","2014/04/01 21:28",95
"50","2014/04/01 21:33",60
"51","2014/04/01 21:38",91
"52","2014/04/01 21:43",93
"53","2014/04/01 21:48",0
"54","2014/04/01 21:53",66
"55","2014/04/01 21:58",88
"56","2014/04/01 22:03",64
"57","2014/04/01 22:08",69
"58","2014/04/01 22:13",90
"59","2014/04/01 22:18",0
"60","2014/04/01 22:23",36
"61","2014/04/01 22:28",95
"62","2014/04/01 22:33",100
"63","2014/04/01 22:38",98
"64","2014/04/01 22:43",95
"65","2014/04/01 22:48",66
"66","2014/04/01 22:53",100
"67","2014/04/01 22:58",93
"68","2014/04/01 23:03",100
"69","2014/04/01 23:08",94
"70","2014/04/01 23:13",97
"71","2014/04/01 23:18",92
"72","2014/04/01 23:23",100
"73","2014/04/01 23:28",93
"74","2014/04/01 23:33",83
"75","2014/04/01 23:38",100
"76","2014/04/01 23:43",96
"77","2014/04/01 23:48",76
"78","2014/04/01 23:53",77
"79","2014/04/01 23:58",94
"80","2014/04/02 00:03",62
"81","2014/04/02 00:08",95
"82","2014/04/02 00:13",100
"83","2014/04/02 00:18",100
"84","2014/04/02 00:23",0
"85","2014/04/02 00:28",95
"86","2014/04/02 00:33",0
"87","2014/04/02 00:38",100
"88","2014/04/02 00:43",93
"89","2014/04/02 00:48",91
"90","2014/04/02 00:53",0
"91","2014/04/02 00:58",96
"92","2014/04/02 01:03",66
"93","2014/04/02 01:08",97
"94","2014/04/02 01:13",92
"95","2014/04/02 01:18",90
"96","2014/04/02 01:23",85
