LDEV_Seq_Read_IOPS_X486-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:F0:69 X"
"1","2014/04/01 17:28",11
"2","2014/04/01 17:33",21
"3","2014/04/01 17:38",17
"4","2014/04/01 17:43",32
"5","2014/04/01 17:48",15
"6","2014/04/01 17:53",170
"7","2014/04/01 17:58",67
"8","2014/04/01 18:03",77
"9","2014/04/01 18:08",46
"10","2014/04/01 18:13",34
"11","2014/04/01 18:18",26
"12","2014/04/01 18:23",29
"13","2014/04/01 18:28",41
"14","2014/04/01 18:33",187
"15","2014/04/01 18:38",65
"16","2014/04/01 18:43",64
"17","2014/04/01 18:48",153
"18","2014/04/01 18:53",88
"19","2014/04/01 18:58",54
"20","2014/04/01 19:03",42
"21","2014/04/01 19:08",61
"22","2014/04/01 19:13",132
"23","2014/04/01 19:18",75
"24","2014/04/01 19:23",41
"25","2014/04/01 19:28",55
"26","2014/04/01 19:33",31
"27","2014/04/01 19:38",38
"28","2014/04/01 19:43",26
"29","2014/04/01 19:48",78
"30","2014/04/01 19:53",161
"31","2014/04/01 19:58",8
"32","2014/04/01 20:03",41
"33","2014/04/01 20:08",23
"34","2014/04/01 20:13",26
"35","2014/04/01 20:18",28
"36","2014/04/01 20:23",70
"37","2014/04/01 20:28",197
"38","2014/04/01 20:33",7
"39","2014/04/01 20:38",33
"40","2014/04/01 20:43",23
"41","2014/04/01 20:48",29
"42","2014/04/01 20:53",33
"43","2014/04/01 20:58",59
"44","2014/04/01 21:03",92
"45","2014/04/01 21:08",43
"46","2014/04/01 21:13",123
"47","2014/04/01 21:18",107
"48","2014/04/01 21:23",31
"49","2014/04/01 21:28",43
"50","2014/04/01 21:33",44
"51","2014/04/01 21:38",47
"52","2014/04/01 21:43",71
"53","2014/04/01 21:48",87
"54","2014/04/01 21:53",103
"55","2014/04/01 21:58",58
"56","2014/04/01 22:03",49
"57","2014/04/01 22:08",58
"58","2014/04/01 22:13",139
"59","2014/04/01 22:18",206
"60","2014/04/01 22:23",116
"61","2014/04/01 22:28",95
"62","2014/04/01 22:33",79
"63","2014/04/01 22:38",15
"64","2014/04/01 22:43",51
"65","2014/04/01 22:48",29
"66","2014/04/01 22:53",32
"67","2014/04/01 22:58",191
"68","2014/04/01 23:03",84
"69","2014/04/01 23:08",75
"70","2014/04/01 23:13",57
"71","2014/04/01 23:18",60
"72","2014/04/01 23:23",48
"73","2014/04/01 23:28",28
"74","2014/04/01 23:33",38
"75","2014/04/01 23:38",35
"76","2014/04/01 23:43",32
"77","2014/04/01 23:48",24
"78","2014/04/01 23:53",34
"79","2014/04/01 23:58",35
"80","2014/04/02 00:03",171
"81","2014/04/02 00:08",99
"82","2014/04/02 00:13",16
"83","2014/04/02 00:18",41
"84","2014/04/02 00:23",34
"85","2014/04/02 00:28",21
"86","2014/04/02 00:33",35
"87","2014/04/02 00:38",25
"88","2014/04/02 00:43",132
"89","2014/04/02 00:48",203
"90","2014/04/02 00:53",216
"91","2014/04/02 00:58",248
"92","2014/04/02 01:03",138
"93","2014/04/02 01:08",58
"94","2014/04/02 01:13",162
"95","2014/04/02 01:18",185
"96","2014/04/02 01:23",277
