LDEV_Seq_Read_IOPS_X53-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:05:27 X"
"1","2014/04/01 17:28",0
"2","2014/04/01 17:33",34
"3","2014/04/01 17:38",20
"4","2014/04/01 17:43",32
"5","2014/04/01 17:48",24
"6","2014/04/01 17:53",20
"7","2014/04/01 17:58",10
"8","2014/04/01 18:03",50
"9","2014/04/01 18:08",40
"10","2014/04/01 18:13",28
"11","2014/04/01 18:18",28
"12","2014/04/01 18:23",46
"13","2014/04/01 18:28",38
"14","2014/04/01 18:33",26
"15","2014/04/01 18:38",8
"16","2014/04/01 18:43",11
"17","2014/04/01 18:48",22
"18","2014/04/01 18:53",16
"19","2014/04/01 18:58",35
"20","2014/04/01 19:03",35
"21","2014/04/01 19:08",15
"22","2014/04/01 19:13",8
"23","2014/04/01 19:18",32
"24","2014/04/01 19:23",6
"25","2014/04/01 19:28",6
"26","2014/04/01 19:33",14
"27","2014/04/01 19:38",31
"28","2014/04/01 19:43",26
"29","2014/04/01 19:48",13
"30","2014/04/01 19:53",37
"31","2014/04/01 19:58",12
"32","2014/04/01 20:03",7
"33","2014/04/01 20:08",18
"34","2014/04/01 20:13",16
"35","2014/04/01 20:18",29
"36","2014/04/01 20:23",15
"37","2014/04/01 20:28",8
"38","2014/04/01 20:33",3
"39","2014/04/01 20:38",27
"40","2014/04/01 20:43",24
"41","2014/04/01 20:48",18
"42","2014/04/01 20:53",9
"43","2014/04/01 20:58",7
"44","2014/04/01 21:03",6
"45","2014/04/01 21:08",6
"46","2014/04/01 21:13",2
"47","2014/04/01 21:18",20
"48","2014/04/01 21:23",0
"49","2014/04/01 21:28",27
"50","2014/04/01 21:33",2
"51","2014/04/01 21:38",17
"52","2014/04/01 21:43",26
"53","2014/04/01 21:48",33
"54","2014/04/01 21:53",9
"55","2014/04/01 21:58",0
"56","2014/04/01 22:03",9
"57","2014/04/01 22:08",5
"58","2014/04/01 22:13",0
"59","2014/04/01 22:18",14
"60","2014/04/01 22:23",0
"61","2014/04/01 22:28",0
"62","2014/04/01 22:33",6
"63","2014/04/01 22:38",0
"64","2014/04/01 22:43",0
"65","2014/04/01 22:48",0
"66","2014/04/01 22:53",8
"67","2014/04/01 22:58",25
"68","2014/04/01 23:03",12
"69","2014/04/01 23:08",9
"70","2014/04/01 23:13",36
"71","2014/04/01 23:18",25
"72","2014/04/01 23:23",12
"73","2014/04/01 23:28",0
"74","2014/04/01 23:33",0
"75","2014/04/01 23:38",0
"76","2014/04/01 23:43",13
"77","2014/04/01 23:48",21
"78","2014/04/01 23:53",1
"79","2014/04/01 23:58",24
"80","2014/04/02 00:03",11
"81","2014/04/02 00:08",0
"82","2014/04/02 00:13",0
"83","2014/04/02 00:18",6
"84","2014/04/02 00:23",0
"85","2014/04/02 00:28",0
"86","2014/04/02 00:33",1
"87","2014/04/02 00:38",4
"88","2014/04/02 00:43",0
"89","2014/04/02 00:48",4
"90","2014/04/02 00:53",2
"91","2014/04/02 00:58",0
"92","2014/04/02 01:03",3
"93","2014/04/02 01:08",0
"94","2014/04/02 01:13",0
"95","2014/04/02 01:18",12
"96","2014/04/02 01:23",0
