LDEV_Seq_Read_IOPS_X847-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:21:1E X"
"1","2014/04/01 17:28",47
"2","2014/04/01 17:33",56
"3","2014/04/01 17:38",53
"4","2014/04/01 17:43",47
"5","2014/04/01 17:48",56
"6","2014/04/01 17:53",55
"7","2014/04/01 17:58",58
"8","2014/04/01 18:03",66
"9","2014/04/01 18:08",62
"10","2014/04/01 18:13",61
"11","2014/04/01 18:18",53
"12","2014/04/01 18:23",56
"13","2014/04/01 18:28",54
"14","2014/04/01 18:33",56
"15","2014/04/01 18:38",65
"16","2014/04/01 18:43",69
"17","2014/04/01 18:48",58
"18","2014/04/01 18:53",68
"19","2014/04/01 18:58",61
"20","2014/04/01 19:03",68
"21","2014/04/01 19:08",54
"22","2014/04/01 19:13",59
"23","2014/04/01 19:18",55
"24","2014/04/01 19:23",62
"25","2014/04/01 19:28",65
"26","2014/04/01 19:33",72
"27","2014/04/01 19:38",57
"28","2014/04/01 19:43",48
"29","2014/04/01 19:48",59
"30","2014/04/01 19:53",54
"31","2014/04/01 19:58",61
"32","2014/04/01 20:03",78
"33","2014/04/01 20:08",52
"34","2014/04/01 20:13",75
"35","2014/04/01 20:18",55
"36","2014/04/01 20:23",63
"37","2014/04/01 20:28",57
"38","2014/04/01 20:33",61
"39","2014/04/01 20:38",51
"40","2014/04/01 20:43",55
"41","2014/04/01 20:48",53
"42","2014/04/01 20:53",55
"43","2014/04/01 20:58",46
"44","2014/04/01 21:03",50
"45","2014/04/01 21:08",45
"46","2014/04/01 21:13",47
"47","2014/04/01 21:18",55
"48","2014/04/01 21:23",35
"49","2014/04/01 21:28",37
"50","2014/04/01 21:33",34
"51","2014/04/01 21:38",36
"52","2014/04/01 21:43",37
"53","2014/04/01 21:48",36
"54","2014/04/01 21:53",33
"55","2014/04/01 21:58",1
"56","2014/04/01 22:03",12
"57","2014/04/01 22:08",9
"58","2014/04/01 22:13",7
"59","2014/04/01 22:18",2
"60","2014/04/01 22:23",6
"61","2014/04/01 22:28",2
"62","2014/04/01 22:33",17
"63","2014/04/01 22:38",18
"64","2014/04/01 22:43",18
"65","2014/04/01 22:48",20
"66","2014/04/01 22:53",32
"67","2014/04/01 22:58",28
"68","2014/04/01 23:03",32
"69","2014/04/01 23:08",50
"70","2014/04/01 23:13",44
"71","2014/04/01 23:18",46
"72","2014/04/01 23:23",40
"73","2014/04/01 23:28",38
"74","2014/04/01 23:33",40
"75","2014/04/01 23:38",49
"76","2014/04/01 23:43",49
"77","2014/04/01 23:48",54
"78","2014/04/01 23:53",49
"79","2014/04/01 23:58",43
"80","2014/04/02 00:03",34
"81","2014/04/02 00:08",49
"82","2014/04/02 00:13",40
"83","2014/04/02 00:18",41
"84","2014/04/02 00:23",45
"85","2014/04/02 00:28",33
"86","2014/04/02 00:33",37
"87","2014/04/02 00:38",38
"88","2014/04/02 00:43",41
"89","2014/04/02 00:48",38
"90","2014/04/02 00:53",38
"91","2014/04/02 00:58",42
"92","2014/04/02 01:03",44
"93","2014/04/02 01:08",45
"94","2014/04/02 01:13",44
"95","2014/04/02 01:18",41
"96","2014/04/02 01:23",42
