LDEV_Seq_Write_IOPS_X852-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:03:06 X"
"1","2014/04/01 17:28",12
"2","2014/04/01 17:33",16
"3","2014/04/01 17:38",11
"4","2014/04/01 17:43",7
"5","2014/04/01 17:48",6
"6","2014/04/01 17:53",23
"7","2014/04/01 17:58",50
"8","2014/04/01 18:03",6
"9","2014/04/01 18:08",65
"10","2014/04/01 18:13",217
"11","2014/04/01 18:18",108
"12","2014/04/01 18:23",47
"13","2014/04/01 18:28",4
"14","2014/04/01 18:33",8
"15","2014/04/01 18:38",9
"16","2014/04/01 18:43",13
"17","2014/04/01 18:48",15
"18","2014/04/01 18:53",21
"19","2014/04/01 18:58",5
"20","2014/04/01 19:03",5
"21","2014/04/01 19:08",17
"22","2014/04/01 19:13",10
"23","2014/04/01 19:18",34
"24","2014/04/01 19:23",17
"25","2014/04/01 19:28",6
"26","2014/04/01 19:33",7
"27","2014/04/01 19:38",11
"28","2014/04/01 19:43",8
"29","2014/04/01 19:48",8
"30","2014/04/01 19:53",11
"31","2014/04/01 19:58",11
"32","2014/04/01 20:03",16
"33","2014/04/01 20:08",25
"34","2014/04/01 20:13",18
"35","2014/04/01 20:18",9
"36","2014/04/01 20:23",7
"37","2014/04/01 20:28",6
"38","2014/04/01 20:33",10
"39","2014/04/01 20:38",13
"40","2014/04/01 20:43",6
"41","2014/04/01 20:48",6
"42","2014/04/01 20:53",7
"43","2014/04/01 20:58",13
"44","2014/04/01 21:03",24
"45","2014/04/01 21:08",12
"46","2014/04/01 21:13",6
"47","2014/04/01 21:18",8
"48","2014/04/01 21:23",11
"49","2014/04/01 21:28",6
"50","2014/04/01 21:33",5
"51","2014/04/01 21:38",5
"52","2014/04/01 21:43",5
"53","2014/04/01 21:48",12
"54","2014/04/01 21:53",4
"55","2014/04/01 21:58",4
"56","2014/04/01 22:03",5
"57","2014/04/01 22:08",4
"58","2014/04/01 22:13",5
"59","2014/04/01 22:18",4
"60","2014/04/01 22:23",5
"61","2014/04/01 22:28",5
"62","2014/04/01 22:33",5
"63","2014/04/01 22:38",4
"64","2014/04/01 22:43",4
"65","2014/04/01 22:48",4
"66","2014/04/01 22:53",4
"67","2014/04/01 22:58",4
"68","2014/04/01 23:03",4
"69","2014/04/01 23:08",4
"70","2014/04/01 23:13",4
"71","2014/04/01 23:18",4
"72","2014/04/01 23:23",4
"73","2014/04/01 23:28",4
"74","2014/04/01 23:33",4
"75","2014/04/01 23:38",4
"76","2014/04/01 23:43",5
"77","2014/04/01 23:48",4
"78","2014/04/01 23:53",4
"79","2014/04/01 23:58",4
"80","2014/04/02 00:03",5
"81","2014/04/02 00:08",3
"82","2014/04/02 00:13",5
"83","2014/04/02 00:18",6
"84","2014/04/02 00:23",4
"85","2014/04/02 00:28",5
"86","2014/04/02 00:33",6
"87","2014/04/02 00:38",5
"88","2014/04/02 00:43",5
"89","2014/04/02 00:48",5
"90","2014/04/02 00:53",6
"91","2014/04/02 00:58",5
"92","2014/04/02 01:03",5
"93","2014/04/02 01:08",4
"94","2014/04/02 01:13",5
"95","2014/04/02 01:18",4
"96","2014/04/02 01:23",4
