LDEV_TransRate_1-11.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:00:D3","00:00:D4","00:00:D5","00:20:15"
"1","2014/04/01 17:28",0,0,0,304
"2","2014/04/01 17:33",0,0,0,295
"3","2014/04/01 17:38",0,0,0,293
"4","2014/04/01 17:43",0,0,0,302
"5","2014/04/01 17:48",0,0,0,300
"6","2014/04/01 17:53",0,0,0,290
"7","2014/04/01 17:58",0,0,0,291
"8","2014/04/01 18:03",0,0,0,284
"9","2014/04/01 18:08",0,0,0,291
"10","2014/04/01 18:13",0,0,0,297
"11","2014/04/01 18:18",0,0,0,298
"12","2014/04/01 18:23",0,0,0,292
"13","2014/04/01 18:28",0,0,0,291
"14","2014/04/01 18:33",0,0,0,282
"15","2014/04/01 18:38",0,0,0,294
"16","2014/04/01 18:43",0,0,0,299
"17","2014/04/01 18:48",0,0,0,292
"18","2014/04/01 18:53",0,0,0,298
"19","2014/04/01 18:58",0,0,0,288
"20","2014/04/01 19:03",0,0,0,292
"21","2014/04/01 19:08",0,0,0,290
"22","2014/04/01 19:13",0,0,0,293
"23","2014/04/01 19:18",0,0,0,300
"24","2014/04/01 19:23",0,0,0,294
"25","2014/04/01 19:28",0,0,0,297
"26","2014/04/01 19:33",0,0,0,290
"27","2014/04/01 19:38",0,0,0,288
"28","2014/04/01 19:43",0,0,0,294
"29","2014/04/01 19:48",0,0,0,294
"30","2014/04/01 19:53",0,0,0,291
"31","2014/04/01 19:58",0,0,0,291
"32","2014/04/01 20:03",0,0,0,290
"33","2014/04/01 20:08",0,0,0,283
"34","2014/04/01 20:13",0,0,0,294
"35","2014/04/01 20:18",0,0,0,313
"36","2014/04/01 20:23",0,0,0,289
"37","2014/04/01 20:28",0,0,0,298
"38","2014/04/01 20:33",0,0,0,292
"39","2014/04/01 20:38",0,0,0,287
"40","2014/04/01 20:43",0,0,0,299
"41","2014/04/01 20:48",0,0,0,294
"42","2014/04/01 20:53",0,0,0,293
"43","2014/04/01 20:58",0,0,0,290
"44","2014/04/01 21:03",0,0,0,289
"45","2014/04/01 21:08",0,0,0,283
"46","2014/04/01 21:13",0,0,0,300
"47","2014/04/01 21:18",0,0,0,299
"48","2014/04/01 21:23",0,0,0,287
"49","2014/04/01 21:28",0,0,0,298
"50","2014/04/01 21:33",0,0,0,285
"51","2014/04/01 21:38",0,0,0,286
"52","2014/04/01 21:43",0,0,0,304
"53","2014/04/01 21:48",0,0,0,291
"54","2014/04/01 21:53",0,0,0,287
"55","2014/04/01 21:58",0,0,0,302
"56","2014/04/01 22:03",0,0,0,299
"57","2014/04/01 22:08",0,0,0,288
"58","2014/04/01 22:13",0,0,0,306
"59","2014/04/01 22:18",0,0,0,291
"60","2014/04/01 22:23",0,0,0,297
"61","2014/04/01 22:28",0,0,0,304
"62","2014/04/01 22:33",0,0,0,293
"63","2014/04/01 22:38",0,0,0,301
"64","2014/04/01 22:43",0,0,0,302
"65","2014/04/01 22:48",0,0,0,291
"66","2014/04/01 22:53",0,0,0,305
"67","2014/04/01 22:58",0,0,0,291
"68","2014/04/01 23:03",6,0,0,327
"69","2014/04/01 23:08",2,0,0,286
"70","2014/04/01 23:13",0,0,0,300
"71","2014/04/01 23:18",0,0,0,294
"72","2014/04/01 23:23",0,0,0,288
"73","2014/04/01 23:28",0,0,0,290
"74","2014/04/01 23:33",0,0,0,296
"75","2014/04/01 23:38",0,0,0,285
"76","2014/04/01 23:43",0,0,0,306
"77","2014/04/01 23:48",0,0,0,293
"78","2014/04/01 23:53",0,0,0,287
"79","2014/04/01 23:58",0,0,0,301
"80","2014/04/02 00:03",0,0,0,288
"81","2014/04/02 00:08",0,0,0,300
"82","2014/04/02 00:13",0,0,0,311
"83","2014/04/02 00:18",0,0,0,292
"84","2014/04/02 00:23",0,0,0,291
"85","2014/04/02 00:28",0,0,0,297
"86","2014/04/02 00:33",0,0,0,290
"87","2014/04/02 00:38",0,0,0,290
"88","2014/04/02 00:43",0,0,0,299
"89","2014/04/02 00:48",0,0,0,294
"90","2014/04/02 00:53",0,0,0,292
"91","2014/04/02 00:58",0,0,0,299
"92","2014/04/02 01:03",0,0,0,286
"93","2014/04/02 01:08",0,0,0,295
"94","2014/04/02 01:13",0,0,0,294
"95","2014/04/02 01:18",0,0,0,296
"96","2014/04/02 01:23",0,0,0,300
