LDEV_TransRate_1-13.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:00:F2","00:00:F3","00:00:F9","00:00:FA","00:00:FB","00:00:FC","00:00:FD","00:00:FE","00:00:FF","00:01:00","00:01:01","00:01:02","00:01:03","00:20:18","00:20:19"
"1","2014/04/01 17:28",0,4,14,0,0,0,53,20,0,26,0,0,0,2,1
"2","2014/04/01 17:33",0,0,0,0,0,0,53,23,0,71,0,0,0,1,1
"3","2014/04/01 17:38",0,0,0,0,0,0,53,21,0,45,0,0,0,1,1
"4","2014/04/01 17:43",0,0,2,0,0,0,51,27,0,50,0,0,0,2,1
"5","2014/04/01 17:48",0,0,9,0,0,0,53,28,0,72,0,0,0,1,0
"6","2014/04/01 17:53",0,43,0,0,0,0,58,23,0,24,0,0,0,1,0
"7","2014/04/01 17:58",0,1,5,0,0,0,50,20,0,73,0,0,0,1,0
"8","2014/04/01 18:03",0,0,2,0,0,0,52,22,0,25,0,0,0,1,0
"9","2014/04/01 18:08",0,7,2,0,0,0,52,21,0,72,0,0,0,1,0
"10","2014/04/01 18:13",0,0,0,0,0,0,51,23,0,28,0,0,0,1,0
"11","2014/04/01 18:18",0,0,1,0,0,0,53,28,0,71,0,0,0,1,0
"12","2014/04/01 18:23",0,0,0,0,0,0,51,22,0,45,0,0,0,1,0
"13","2014/04/01 18:28",1,0,0,0,0,0,49,20,0,50,0,0,0,2,1
"14","2014/04/01 18:33",33,9,2,0,0,0,50,22,0,76,0,0,0,1,0
"15","2014/04/01 18:38",0,0,3,0,0,0,53,23,0,20,0,0,0,1,1
"16","2014/04/01 18:43",0,0,0,0,0,0,53,31,0,76,0,0,0,2,2
"17","2014/04/01 18:48",0,0,0,0,0,0,59,47,0,21,0,0,0,1,0
"18","2014/04/01 18:53",0,0,0,0,0,0,55,27,0,73,0,0,0,1,0
"19","2014/04/01 18:58",0,1,16,0,0,0,55,18,0,25,0,0,0,2,1
"20","2014/04/01 19:03",1,4,5,0,0,0,55,17,0,86,0,0,0,1,0
"21","2014/04/01 19:08",7,19,77,0,0,0,65,21,0,42,0,0,0,2,1
"22","2014/04/01 19:13",4,3,5,0,0,0,57,18,0,58,0,1,0,2,1
"23","2014/04/01 19:18",1,16,15,0,0,0,60,25,0,341,32,27,9,1,0
"24","2014/04/01 19:23",0,5,6,0,0,0,59,19,0,332,35,17,14,2,0
"25","2014/04/01 19:28",6,7,12,0,0,0,54,17,0,137,8,4,2,2,1
"26","2014/04/01 19:33",0,0,0,0,0,0,59,20,0,38,0,0,1,1,0
"27","2014/04/01 19:38",0,0,0,0,0,0,57,17,0,99,6,0,0,1,1
"28","2014/04/01 19:43",0,0,0,0,0,0,57,25,0,32,7,0,0,2,1
"29","2014/04/01 19:48",112,451,2,0,0,0,58,26,0,64,0,0,0,1,0
"30","2014/04/01 19:53",0,0,1,0,0,0,56,18,0,40,1,0,0,1,0
"31","2014/04/01 19:58",0,0,27,0,0,0,54,18,0,55,0,0,0,1,0
"32","2014/04/01 20:03",0,0,0,0,0,0,76,16,0,84,1,0,0,1,0
"33","2014/04/01 20:08",1,63,0,0,0,0,73,11,0,23,0,0,0,1,0
"34","2014/04/01 20:13",4,643,14,0,0,0,65,17,0,74,10,0,0,1,0
"35","2014/04/01 20:18",0,0,0,0,0,0,59,25,0,21,0,0,0,1,1
"36","2014/04/01 20:23",0,0,11,0,0,0,58,19,0,88,0,0,0,2,0
"37","2014/04/01 20:28",0,0,0,0,0,0,60,17,0,25,0,0,0,2,1
