LDEV_TransRate_11-12.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:16:13"
"1","2014/04/01 17:28",18
"2","2014/04/01 17:33",1
"3","2014/04/01 17:38",0
"4","2014/04/01 17:43",0
"5","2014/04/01 17:48",1
"6","2014/04/01 17:53",6
"7","2014/04/01 17:58",2
"8","2014/04/01 18:03",1
"9","2014/04/01 18:08",0
"10","2014/04/01 18:13",4
"11","2014/04/01 18:18",0
"12","2014/04/01 18:23",4
"13","2014/04/01 18:28",0
"14","2014/04/01 18:33",12
"15","2014/04/01 18:38",0
"16","2014/04/01 18:43",0
"17","2014/04/01 18:48",30
"18","2014/04/01 18:53",2
"19","2014/04/01 18:58",4
"20","2014/04/01 19:03",2418
"21","2014/04/01 19:08",1
"22","2014/04/01 19:13",1
"23","2014/04/01 19:18",1
"24","2014/04/01 19:23",0
"25","2014/04/01 19:28",68
"26","2014/04/01 19:33",34
"27","2014/04/01 19:38",0
"28","2014/04/01 19:43",0
"29","2014/04/01 19:48",430
"30","2014/04/01 19:53",0
"31","2014/04/01 19:58",0
"32","2014/04/01 20:03",0
"33","2014/04/01 20:08",1
"34","2014/04/01 20:13",7
"35","2014/04/01 20:18",2
"36","2014/04/01 20:23",1
"37","2014/04/01 20:28",0
"38","2014/04/01 20:33",0
"39","2014/04/01 20:38",1
"40","2014/04/01 20:43",9
"41","2014/04/01 20:48",2
"42","2014/04/01 20:53",2
"43","2014/04/01 20:58",208
"44","2014/04/01 21:03",0
"45","2014/04/01 21:08",3
"46","2014/04/01 21:13",0
"47","2014/04/01 21:18",0
"48","2014/04/01 21:23",0
"49","2014/04/01 21:28",0
"50","2014/04/01 21:33",0
"51","2014/04/01 21:38",0
"52","2014/04/01 21:43",0
"53","2014/04/01 21:48",0
"54","2014/04/01 21:53",0
"55","2014/04/01 21:58",0
"56","2014/04/01 22:03",0
"57","2014/04/01 22:08",0
"58","2014/04/01 22:13",0
"59","2014/04/01 22:18",0
"60","2014/04/01 22:23",3
"61","2014/04/01 22:28",0
"62","2014/04/01 22:33",0
"63","2014/04/01 22:38",0
"64","2014/04/01 22:43",0
"65","2014/04/01 22:48",0
"66","2014/04/01 22:53",0
"67","2014/04/01 22:58",0
"68","2014/04/01 23:03",0
"69","2014/04/01 23:08",1
"70","2014/04/01 23:13",0
"71","2014/04/01 23:18",1
"72","2014/04/01 23:23",0
"73","2014/04/01 23:28",0
"74","2014/04/01 23:33",0
"75","2014/04/01 23:38",0
"76","2014/04/01 23:43",0
"77","2014/04/01 23:48",0
"78","2014/04/01 23:53",77
"79","2014/04/01 23:58",14
"80","2014/04/02 00:03",9
"81","2014/04/02 00:08",6
"82","2014/04/02 00:13",0
"83","2014/04/02 00:18",26
"84","2014/04/02 00:23",10
"85","2014/04/02 00:28",6
"86","2014/04/02 00:33",5
"87","2014/04/02 00:38",0
"88","2014/04/02 00:43",6
"89","2014/04/02 00:48",0
"90","2014/04/02 00:53",0
"91","2014/04/02 00:58",0
"92","2014/04/02 01:03",2461
"93","2014/04/02 01:08",1
"94","2014/04/02 01:13",0
"95","2014/04/02 01:18",0
"96","2014/04/02 01:23",0
