LDEV_TransRate_11-13.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:16:14","00:16:15","00:32:1B","00:32:1C","00:32:1D"
"1","2014/04/01 17:28",0,0,0,0,0
"2","2014/04/01 17:33",0,0,0,0,0
"3","2014/04/01 17:38",0,0,0,7,6
"4","2014/04/01 17:43",2,0,1,3,4
"5","2014/04/01 17:48",1,0,0,0,0
"6","2014/04/01 17:53",0,0,6,1,7
"7","2014/04/01 17:58",1,0,0,3,3
"8","2014/04/01 18:03",0,0,0,4,5
"9","2014/04/01 18:08",0,0,988,2,0
"10","2014/04/01 18:13",0,0,0,2,0
"11","2014/04/01 18:18",1,0,0,0,0
"12","2014/04/01 18:23",8,0,0,1,0
"13","2014/04/01 18:28",2,0,0,0,0
"14","2014/04/01 18:33",1,0,2,2,0
"15","2014/04/01 18:38",2,0,0,1,2
"16","2014/04/01 18:43",8,0,0,0,0
"17","2014/04/01 18:48",12,0,0,0,0
"18","2014/04/01 18:53",3,0,0,0,0
"19","2014/04/01 18:58",0,0,0,1,1
"20","2014/04/01 19:03",1,0,2,29,23
"21","2014/04/01 19:08",2,0,3,25,19
"22","2014/04/01 19:13",1,0,5,37,37
"23","2014/04/01 19:18",2,0,9,68,39
"24","2014/04/01 19:23",0,0,3,21,7
"25","2014/04/01 19:28",0,0,174,22,22
"26","2014/04/01 19:33",4,0,0,0,0
"27","2014/04/01 19:38",0,0,0,0,0
"28","2014/04/01 19:43",0,0,0,6,4
"29","2014/04/01 19:48",0,0,0,0,0
"30","2014/04/01 19:53",0,0,0,0,0
"31","2014/04/01 19:58",3,0,0,0,0
"32","2014/04/01 20:03",0,0,0,0,0
"33","2014/04/01 20:08",0,0,2,9,7
"34","2014/04/01 20:13",0,0,4,19,6
"35","2014/04/01 20:18",0,0,0,0,0
"36","2014/04/01 20:23",0,0,0,0,0
"37","2014/04/01 20:28",0,0,0,0,0
"38","2014/04/01 20:33",0,0,0,0,0
"39","2014/04/01 20:38",0,0,0,3,0
"40","2014/04/01 20:43",1,0,0,9,2
"41","2014/04/01 20:48",1,0,3,14,7
"42","2014/04/01 20:53",10,0,0,2,2
"43","2014/04/01 20:58",4,0,0,2,0
"44","2014/04/01 21:03",0,0,0,0,0
"45","2014/04/01 21:08",0,0,0,1,0
"46","2014/04/01 21:13",0,0,0,0,0
"47","2014/04/01 21:18",1,0,0,1,0
"48","2014/04/01 21:23",0,0,2,13,4
"49","2014/04/01 21:28",0,0,6,0,9
"50","2014/04/01 21:33",2,0,0,0,0
"51","2014/04/01 21:38",1,0,1,11,4
"52","2014/04/01 21:43",0,0,0,0,0
"53","2014/04/01 21:48",1,0,0,0,0
"54","2014/04/01 21:53",1,0,0,0,0
"55","2014/04/01 21:58",1,0,0,0,0
"56","2014/04/01 22:03",2,0,0,0,0
"57","2014/04/01 22:08",0,0,0,0,0
"58","2014/04/01 22:13",0,0,3,12,18
"59","2014/04/01 22:18",0,0,4,26,19
"60","2014/04/01 22:23",0,0,0,0,0
"61","2014/04/01 22:28",0,0,0,3,3
"62","2014/04/01 22:33",0,0,5,22,14
"63","2014/04/01 22:38",0,0,3,22,5
"64","2014/04/01 22:43",2,0,4,13,4
"65","2014/04/01 22:48",0,0,0,1,0
"66","2014/04/01 22:53",1,0,1,17,13
"67","2014/04/01 22:58",0,0,1,11,7
"68","2014/04/01 23:03",304,0,0,0,0
"69","2014/04/01 23:08",0,0,0,0,0
"70","2014/04/01 23:13",0,0,0,0,0
"71","2014/04/01 23:18",0,0,0,0,0
"72","2014/04/01 23:23",28,0,0,0,0
"73","2014/04/01 23:28",0,0,0,0,0
"74","2014/04/01 23:33",2,0,0,0,0
"75","2014/04/01 23:38",0,0,0,0,0
"76","2014/04/01 23:43",0,0,0,0,0
"77","2014/04/01 23:48",1,0,0,5,1
"78","2014/04/01 23:53",139,0,0,1,0
"79","2014/04/01 23:58",16,0,0,0,0
"80","2014/04/02 00:03",13,0,0,0,0
"81","2014/04/02 00:08",13,0,0,0,0
"82","2014/04/02 00:13",14,0,0,0,0
"83","2014/04/02 00:18",12,0,0,0,0
"84","2014/04/02 00:23",13,0,0,0,0
"85","2014/04/02 00:28",13,0,0,0,0
"86","2014/04/02 00:33",12,0,0,0,0
"87","2014/04/02 00:38",13,0,0,0,0
"88","2014/04/02 00:43",12,0,0,0,0
"89","2014/04/02 00:48",13,0,0,0,0
"90","2014/04/02 00:53",39,0,0,0,0
"91","2014/04/02 00:58",1,0,0,0,0
"92","2014/04/02 01:03",0,0,0,0,0
"93","2014/04/02 01:08",0,0,0,0,1
"94","2014/04/02 01:13",0,0,0,0,0
"95","2014/04/02 01:18",0,0,0,0,0
"96","2014/04/02 01:23",0,0,0,0,0
