LDEV_TransRate_5-2.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:3A:A1","00:3A:A2","00:5B:2C","00:5B:2D","00:5B:2E","00:5B:62","00:5B:64","00:5B:66","00:5C:B2"
"1","2014/04/01 17:28",0,0,0,0,0,0,0,0,0
"2","2014/04/01 17:33",0,0,0,0,0,0,0,0,466
"3","2014/04/01 17:38",0,0,0,0,0,0,0,0,943
"4","2014/04/01 17:43",0,0,0,0,0,0,0,0,0
"5","2014/04/01 17:48",0,0,0,0,0,0,0,0,356
"6","2014/04/01 17:53",0,0,0,0,0,0,0,0,475
"7","2014/04/01 17:58",0,0,0,0,0,0,0,0,0
"8","2014/04/01 18:03",0,0,0,0,0,0,0,0,467
"9","2014/04/01 18:08",0,0,0,0,0,0,0,0,466
"10","2014/04/01 18:13",0,0,0,0,0,0,0,0,0
"11","2014/04/01 18:18",1,0,0,0,0,0,0,0,480
"12","2014/04/01 18:23",0,0,0,0,0,0,0,0,478
"13","2014/04/01 18:28",10,0,0,0,0,0,0,0,0
"14","2014/04/01 18:33",0,0,0,0,0,0,0,0,470
"15","2014/04/01 18:38",7,0,0,0,0,0,0,0,487
"16","2014/04/01 18:43",9,0,0,0,0,0,0,0,0
"17","2014/04/01 18:48",15,0,0,0,0,0,0,0,470
"18","2014/04/01 18:53",0,0,0,0,0,0,0,0,0
"19","2014/04/01 18:58",0,0,0,0,0,0,0,0,472
"20","2014/04/01 19:03",0,0,0,0,0,0,0,0,486
"21","2014/04/01 19:08",19,0,6763,0,0,0,0,0,476
"22","2014/04/01 19:13",0,0,0,0,0,0,0,0,0
"23","2014/04/01 19:18",0,0,0,77,31289,0,0,0,470
"24","2014/04/01 19:23",0,0,0,0,100314,0,0,0,0
"25","2014/04/01 19:28",0,0,5753,1,3536,0,0,0,467
"26","2014/04/01 19:33",0,0,0,27,18,0,0,0,466
"27","2014/04/01 19:38",0,0,0,0,0,0,0,0,0
"28","2014/04/01 19:43",4,0,0,0,0,0,0,0,468
"29","2014/04/01 19:48",21,0,0,0,0,0,0,0,945
"30","2014/04/01 19:53",21,0,0,0,0,0,0,0,0
"31","2014/04/01 19:58",8,0,0,0,0,0,0,0,466
"32","2014/04/01 20:03",0,0,0,0,0,0,0,0,473
"33","2014/04/01 20:08",0,0,0,0,0,0,0,0,0
"34","2014/04/01 20:13",0,0,0,0,0,0,0,0,466
"35","2014/04/01 20:18",0,0,0,0,0,0,0,0,466
"36","2014/04/01 20:23",0,0,0,0,0,0,0,0,0
"37","2014/04/01 20:28",0,0,0,0,0,0,0,0,474
"38","2014/04/01 20:33",0,0,0,0,0,0,0,0,0
"39","2014/04/01 20:38",0,0,0,0,0,0,0,0,468
"40","2014/04/01 20:43",0,0,0,0,0,0,0,0,482
"41","2014/04/01 20:48",0,0,0,0,0,0,0,0,0
"42","2014/04/01 20:53",0,0,0,0,0,0,0,0,466
"43","2014/04/01 20:58",0,0,0,0,0,0,0,0,479
"44","2014/04/01 21:03",0,0,0,0,0,0,0,0,0
"45","2014/04/01 21:08",0,0,0,0,0,0,0,0,466
"46","2014/04/01 21:13",0,0,0,0,0,0,0,0,487
"47","2014/04/01 21:18",0,0,0,0,0,0,0,0,0
"48","2014/04/01 21:23",0,0,0,0,0,0,0,0,466
"49","2014/04/01 21:28",0,0,0,0,0,0,0,0,0
"50","2014/04/01 21:33",0,0,0,0,0,0,0,0,466
"51","2014/04/01 21:38",0,0,0,0,0,0,0,0,487
"52","2014/04/01 21:43",0,0,0,0,0,0,0,0,0
"53","2014/04/01 21:48",0,0,0,0,0,0,0,0,479
"54","2014/04/01 21:53",0,0,0,0,0,0,0,0,697
"55","2014/04/01 21:58",0,0,0,0,0,0,0,0,0
"56","2014/04/01 22:03",0,0,0,0,0,0,0,0,468
"57","2014/04/01 22:08",0,0,0,0,0,0,0,0,8095
"58","2014/04/01 22:13",0,0,0,0,0,0,0,0,16047
"59","2014/04/01 22:18",0,0,0,0,0,0,0,0,17379
"60","2014/04/01 22:23",0,0,0,0,0,0,0,0,13657
"61","2014/04/01 22:28",0,0,0,0,0,0,0,0,15293
"62","2014/04/01 22:33",0,0,0,0,0,0,0,0,4359
"63","2014/04/01 22:38",0,0,0,0,0,0,0,0,0
"64","2014/04/01 22:43",0,0,0,0,0,0,0,0,466
"65","2014/04/01 22:48",0,0,0,0,0,0,0,0,470
"66","2014/04/01 22:53",0,0,0,0,0,0,0,0,0
"67","2014/04/01 22:58",0,0,0,0,0,0,0,0,489
"68","2014/04/01 23:03",0,0,0,0,0,0,0,0,602
"69","2014/04/01 23:08",0,0,0,0,0,0,0,0,3216
"70","2014/04/01 23:13",0,0,0,0,0,0,0,0,13089
"71","2014/04/01 23:18",0,0,0,0,0,0,0,0,14960
"72","2014/04/01 23:23",0,0,0,0,0,0,0,0,10182
"73","2014/04/01 23:28",0,0,0,0,0,0,0,0,7050
"74","2014/04/01 23:33",0,0,0,0,0,0,0,0,6351
"75","2014/04/01 23:38",0,0,0,0,0,0,0,0,3754
"76","2014/04/01 23:43",0,0,0,0,0,0,0,0,7498
"77","2014/04/01 23:48",0,0,0,0,0,0,0,0,675
"78","2014/04/01 23:53",0,0,0,0,1396,0,0,0,476
"79","2014/04/01 23:58",0,0,0,0,264,0,0,0,0
"80","2014/04/02 00:03",0,0,0,0,26,0,0,0,475
"81","2014/04/02 00:08",0,0,0,0,51,0,0,0,476
"82","2014/04/02 00:13",0,0,0,0,6,0,0,0,0
"83","2014/04/02 00:18",0,0,0,0,7,0,0,0,475
"84","2014/04/02 00:23",0,0,0,0,29,0,0,0,0
"85","2014/04/02 00:28",0,0,0,0,37,0,0,0,466
"86","2014/04/02 00:33",0,0,0,0,45,0,0,0,466
"87","2014/04/02 00:38",0,0,0,0,3,0,0,0,0
"88","2014/04/02 00:43",0,0,0,0,11,0,0,0,466
"89","2014/04/02 00:48",0,0,0,0,0,0,0,0,0
"90","2014/04/02 00:53",0,0,0,0,0,0,0,0,466
"91","2014/04/02 00:58",0,0,0,0,0,0,0,0,0
"92","2014/04/02 01:03",0,0,0,0,5,0,0,0,467
"93","2014/04/02 01:08",0,0,6763,0,0,0,0,0,466
"94","2014/04/02 01:13",0,0,0,0,0,0,0,0,0
"95","2014/04/02 01:18",0,0,0,77,11628,0,0,0,467
"96","2014/04/02 01:23",0,0,0,0,116456,0,0,0,466
