LDEV_TransRate_X15-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:50:0D X"
"1","2014/04/01 17:28",3219
"2","2014/04/01 17:33",5310
"3","2014/04/01 17:38",7787
"4","2014/04/01 17:43",8113
"5","2014/04/01 17:48",4669
"6","2014/04/01 17:53",5852
"7","2014/04/01 17:58",6477
"8","2014/04/01 18:03",4620
"9","2014/04/01 18:08",7644
"10","2014/04/01 18:13",7167
"11","2014/04/01 18:18",5072
"12","2014/04/01 18:23",5476
"13","2014/04/01 18:28",19227
"14","2014/04/01 18:33",15034
"15","2014/04/01 18:38",5728
"16","2014/04/01 18:43",7103
"17","2014/04/01 18:48",27828
"18","2014/04/01 18:53",3265
"19","2014/04/01 18:58",2167
"20","2014/04/01 19:03",1981
"21","2014/04/01 19:08",3191
"22","2014/04/01 19:13",3219
"23","2014/04/01 19:18",2767
"24","2014/04/01 19:23",3680
"25","2014/04/01 19:28",14778
"26","2014/04/01 19:33",11663
"27","2014/04/01 19:38",17694
"28","2014/04/01 19:43",5723
"29","2014/04/01 19:48",50054
"30","2014/04/01 19:53",16758
"31","2014/04/01 19:58",4467
"32","2014/04/01 20:03",3732
"33","2014/04/01 20:08",2047
"34","2014/04/01 20:13",1267
"35","2014/04/01 20:18",3047
"36","2014/04/01 20:23",1791
"37","2014/04/01 20:28",3212
"38","2014/04/01 20:33",1177
"39","2014/04/01 20:38",1220
"40","2014/04/01 20:43",1789
"41","2014/04/01 20:48",1522
"42","2014/04/01 20:53",1335
"43","2014/04/01 20:58",2290
"44","2014/04/01 21:03",2213
"45","2014/04/01 21:08",1611
"46","2014/04/01 21:13",2204
"47","2014/04/01 21:18",2589
"48","2014/04/01 21:23",1529
"49","2014/04/01 21:28",1706
"50","2014/04/01 21:33",2493
"51","2014/04/01 21:38",2781
"52","2014/04/01 21:43",2407
"53","2014/04/01 21:48",2623
"54","2014/04/01 21:53",2328
"55","2014/04/01 21:58",1679
"56","2014/04/01 22:03",1834
"57","2014/04/01 22:08",1813
"58","2014/04/01 22:13",2318
"59","2014/04/01 22:18",3042
"60","2014/04/01 22:23",2141
"61","2014/04/01 22:28",1952
"62","2014/04/01 22:33",1879
"63","2014/04/01 22:38",1086
"64","2014/04/01 22:43",1469
"65","2014/04/01 22:48",1546
"66","2014/04/01 22:53",1284
"67","2014/04/01 22:58",2894
"68","2014/04/01 23:03",1923
"69","2014/04/01 23:08",1815
"70","2014/04/01 23:13",1972
"71","2014/04/01 23:18",1560
"72","2014/04/01 23:23",4547
"73","2014/04/01 23:28",1422
"74","2014/04/01 23:33",12994
"75","2014/04/01 23:38",2818
"76","2014/04/01 23:43",5826
"77","2014/04/01 23:48",4717
"78","2014/04/01 23:53",3723
"79","2014/04/01 23:58",3584
"80","2014/04/02 00:03",7694
"81","2014/04/02 00:08",9075
"82","2014/04/02 00:13",7528
"83","2014/04/02 00:18",8886
"84","2014/04/02 00:23",7359
"85","2014/04/02 00:28",6351
"86","2014/04/02 00:33",6141
"87","2014/04/02 00:38",3468
"88","2014/04/02 00:43",3554
"89","2014/04/02 00:48",7063
"90","2014/04/02 00:53",7628
"91","2014/04/02 00:58",7408
"92","2014/04/02 01:03",3972
"93","2014/04/02 01:08",2551
"94","2014/04/02 01:13",3419
"95","2014/04/02 01:18",3483
"96","2014/04/02 01:23",4003
