LDEV_TransRate_X272-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:50:0E X"
"1","2014/04/01 17:28",163
"2","2014/04/01 17:33",165
"3","2014/04/01 17:38",165
"4","2014/04/01 17:43",168
"5","2014/04/01 17:48",166
"6","2014/04/01 17:53",164
"7","2014/04/01 17:58",165
"8","2014/04/01 18:03",165
"9","2014/04/01 18:08",163
"10","2014/04/01 18:13",162
"11","2014/04/01 18:18",162
"12","2014/04/01 18:23",160
"13","2014/04/01 18:28",166
"14","2014/04/01 18:33",163
"15","2014/04/01 18:38",166
"16","2014/04/01 18:43",160
"17","2014/04/01 18:48",165
"18","2014/04/01 18:53",163
"19","2014/04/01 18:58",161
"20","2014/04/01 19:03",160
"21","2014/04/01 19:08",162
"22","2014/04/01 19:13",163
"23","2014/04/01 19:18",162
"24","2014/04/01 19:23",160
"25","2014/04/01 19:28",163
"26","2014/04/01 19:33",161
"27","2014/04/01 19:38",164
"28","2014/04/01 19:43",164
"29","2014/04/01 19:48",160
"30","2014/04/01 19:53",163
"31","2014/04/01 19:58",163
"32","2014/04/01 20:03",162
"33","2014/04/01 20:08",161
"34","2014/04/01 20:13",164
"35","2014/04/01 20:18",162
"36","2014/04/01 20:23",164
"37","2014/04/01 20:28",166
"38","2014/04/01 20:33",162
"39","2014/04/01 20:38",163
"40","2014/04/01 20:43",160
"41","2014/04/01 20:48",161
"42","2014/04/01 20:53",161
"43","2014/04/01 20:58",161
"44","2014/04/01 21:03",161
"45","2014/04/01 21:08",162
"46","2014/04/01 21:13",160
"47","2014/04/01 21:18",159
"48","2014/04/01 21:23",163
"49","2014/04/01 21:28",164
"50","2014/04/01 21:33",160
"51","2014/04/01 21:38",167
"52","2014/04/01 21:43",165
"53","2014/04/01 21:48",167
"54","2014/04/01 21:53",170
"55","2014/04/01 21:58",163
"56","2014/04/01 22:03",166
"57","2014/04/01 22:08",174
"58","2014/04/01 22:13",177
"59","2014/04/01 22:18",177
"60","2014/04/01 22:23",171
"61","2014/04/01 22:28",167
"62","2014/04/01 22:33",176
"63","2014/04/01 22:38",170
"64","2014/04/01 22:43",171
"65","2014/04/01 22:48",169
"66","2014/04/01 22:53",172
"67","2014/04/01 22:58",169
"68","2014/04/01 23:03",162
"69","2014/04/01 23:08",163
"70","2014/04/01 23:13",165
"71","2014/04/01 23:18",161
"72","2014/04/01 23:23",165
"73","2014/04/01 23:28",162
"74","2014/04/01 23:33",165
"75","2014/04/01 23:38",165
"76","2014/04/01 23:43",163
"77","2014/04/01 23:48",171
"78","2014/04/01 23:53",163
"79","2014/04/01 23:58",162
"80","2014/04/02 00:03",164
"81","2014/04/02 00:08",162
"82","2014/04/02 00:13",168
"83","2014/04/02 00:18",164
"84","2014/04/02 00:23",168
"85","2014/04/02 00:28",165
"86","2014/04/02 00:33",168
"87","2014/04/02 00:38",166
"88","2014/04/02 00:43",165
"89","2014/04/02 00:48",165
"90","2014/04/02 00:53",161
"91","2014/04/02 00:58",165
"92","2014/04/02 01:03",164
"93","2014/04/02 01:08",162
"94","2014/04/02 01:13",167
"95","2014/04/02 01:18",167
"96","2014/04/02 01:23",162
