LDEV_TransRate_X438-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:59 X"
"1","2014/04/01 17:28",405
"2","2014/04/01 17:33",243
"3","2014/04/01 17:38",143
"4","2014/04/01 17:43",187
"5","2014/04/01 17:48",78
"6","2014/04/01 17:53",176
"7","2014/04/01 17:58",92
"8","2014/04/01 18:03",222
"9","2014/04/01 18:08",123
"10","2014/04/01 18:13",219
"11","2014/04/01 18:18",137
"12","2014/04/01 18:23",314
"13","2014/04/01 18:28",294
"14","2014/04/01 18:33",298
"15","2014/04/01 18:38",325
"16","2014/04/01 18:43",218
"17","2014/04/01 18:48",153
"18","2014/04/01 18:53",204
"19","2014/04/01 18:58",145
"20","2014/04/01 19:03",185
"21","2014/04/01 19:08",186
"22","2014/04/01 19:13",328
"23","2014/04/01 19:18",203
"24","2014/04/01 19:23",247
"25","2014/04/01 19:28",272
"26","2014/04/01 19:33",276
"27","2014/04/01 19:38",348
"28","2014/04/01 19:43",2977
"29","2014/04/01 19:48",1578
"30","2014/04/01 19:53",1300
"31","2014/04/01 19:58",655
"32","2014/04/01 20:03",637
"33","2014/04/01 20:08",453
"34","2014/04/01 20:13",464
"35","2014/04/01 20:18",440
"36","2014/04/01 20:23",357
"37","2014/04/01 20:28",447
"38","2014/04/01 20:33",470
"39","2014/04/01 20:38",337
"40","2014/04/01 20:43",366
"41","2014/04/01 20:48",324
"42","2014/04/01 20:53",263
"43","2014/04/01 20:58",572
"44","2014/04/01 21:03",577
"45","2014/04/01 21:08",459
"46","2014/04/01 21:13",578
"47","2014/04/01 21:18",771
"48","2014/04/01 21:23",924
"49","2014/04/01 21:28",734
"50","2014/04/01 21:33",526
"51","2014/04/01 21:38",357
"52","2014/04/01 21:43",427
"53","2014/04/01 21:48",374
"54","2014/04/01 21:53",362
"55","2014/04/01 21:58",708
"56","2014/04/01 22:03",584
"57","2014/04/01 22:08",1007
"58","2014/04/01 22:13",456
"59","2014/04/01 22:18",505
"60","2014/04/01 22:23",518
"61","2014/04/01 22:28",453
"62","2014/04/01 22:33",669
"63","2014/04/01 22:38",598
"64","2014/04/01 22:43",450
"65","2014/04/01 22:48",498
"66","2014/04/01 22:53",483
"67","2014/04/01 22:58",526
"68","2014/04/01 23:03",559
"69","2014/04/01 23:08",594
"70","2014/04/01 23:13",583
"71","2014/04/01 23:18",870
"72","2014/04/01 23:23",788
"73","2014/04/01 23:28",611
"74","2014/04/01 23:33",521
"75","2014/04/01 23:38",475
"76","2014/04/01 23:43",544
"77","2014/04/01 23:48",538
"78","2014/04/01 23:53",491
"79","2014/04/01 23:58",518
"80","2014/04/02 00:03",543
"81","2014/04/02 00:08",515
"82","2014/04/02 00:13",616
"83","2014/04/02 00:18",569
"84","2014/04/02 00:23",696
"85","2014/04/02 00:28",568
"86","2014/04/02 00:33",629
"87","2014/04/02 00:38",547
"88","2014/04/02 00:43",603
"89","2014/04/02 00:48",539
"90","2014/04/02 00:53",576
"91","2014/04/02 00:58",506
"92","2014/04/02 01:03",509
"93","2014/04/02 01:08",504
"94","2014/04/02 01:13",614
"95","2014/04/02 01:18",602
"96","2014/04/02 01:23",406
