LDEV_TransRate_X441-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:4F X"
"1","2014/04/01 17:28",343
"2","2014/04/01 17:33",139
"3","2014/04/01 17:38",98
"4","2014/04/01 17:43",127
"5","2014/04/01 17:48",80
"6","2014/04/01 17:53",122
"7","2014/04/01 17:58",81
"8","2014/04/01 18:03",169
"9","2014/04/01 18:08",110
"10","2014/04/01 18:13",139
"11","2014/04/01 18:18",154
"12","2014/04/01 18:23",256
"13","2014/04/01 18:28",347
"14","2014/04/01 18:33",285
"15","2014/04/01 18:38",340
"16","2014/04/01 18:43",159
"17","2014/04/01 18:48",130
"18","2014/04/01 18:53",143
"19","2014/04/01 18:58",105
"20","2014/04/01 19:03",154
"21","2014/04/01 19:08",161
"22","2014/04/01 19:13",265
"23","2014/04/01 19:18",157
"24","2014/04/01 19:23",179
"25","2014/04/01 19:28",197
"26","2014/04/01 19:33",172
"27","2014/04/01 19:38",289
"28","2014/04/01 19:43",3053
"29","2014/04/01 19:48",1458
"30","2014/04/01 19:53",1273
"31","2014/04/01 19:58",706
"32","2014/04/01 20:03",645
"33","2014/04/01 20:08",470
"34","2014/04/01 20:13",409
"35","2014/04/01 20:18",320
"36","2014/04/01 20:23",303
"37","2014/04/01 20:28",442
"38","2014/04/01 20:33",410
"39","2014/04/01 20:38",276
"40","2014/04/01 20:43",295
"41","2014/04/01 20:48",259
"42","2014/04/01 20:53",218
"43","2014/04/01 20:58",513
"44","2014/04/01 21:03",492
"45","2014/04/01 21:08",463
"46","2014/04/01 21:13",473
"47","2014/04/01 21:18",742
"48","2014/04/01 21:23",738
"49","2014/04/01 21:28",645
"50","2014/04/01 21:33",513
"51","2014/04/01 21:38",276
"52","2014/04/01 21:43",334
"53","2014/04/01 21:48",270
"54","2014/04/01 21:53",354
"55","2014/04/01 21:58",732
"56","2014/04/01 22:03",533
"57","2014/04/01 22:08",912
"58","2014/04/01 22:13",457
"59","2014/04/01 22:18",488
"60","2014/04/01 22:23",428
"61","2014/04/01 22:28",494
"62","2014/04/01 22:33",512
"63","2014/04/01 22:38",564
"64","2014/04/01 22:43",384
"65","2014/04/01 22:48",436
"66","2014/04/01 22:53",459
"67","2014/04/01 22:58",471
"68","2014/04/01 23:03",582
"69","2014/04/01 23:08",569
"70","2014/04/01 23:13",556
"71","2014/04/01 23:18",866
"72","2014/04/01 23:23",690
"73","2014/04/01 23:28",491
"74","2014/04/01 23:33",508
"75","2014/04/01 23:38",498
"76","2014/04/01 23:43",531
"77","2014/04/01 23:48",551
"78","2014/04/01 23:53",590
"79","2014/04/01 23:58",509
"80","2014/04/02 00:03",611
"81","2014/04/02 00:08",534
"82","2014/04/02 00:13",574
"83","2014/04/02 00:18",537
"84","2014/04/02 00:23",540
"85","2014/04/02 00:28",615
"86","2014/04/02 00:33",736
"87","2014/04/02 00:38",546
"88","2014/04/02 00:43",537
"89","2014/04/02 00:48",514
"90","2014/04/02 00:53",502
"91","2014/04/02 00:58",495
"92","2014/04/02 01:03",451
"93","2014/04/02 01:08",485
"94","2014/04/02 01:13",560
"95","2014/04/02 01:18",565
"96","2014/04/02 01:23",371
