LDEV_TransRate_X485-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:F0:68 X"
"1","2014/04/01 17:28",3134
"2","2014/04/01 17:33",5344
"3","2014/04/01 17:38",7920
"4","2014/04/01 17:43",8176
"5","2014/04/01 17:48",4554
"6","2014/04/01 17:53",5860
"7","2014/04/01 17:58",6614
"8","2014/04/01 18:03",4458
"9","2014/04/01 18:08",7535
"10","2014/04/01 18:13",6981
"11","2014/04/01 18:18",4725
"12","2014/04/01 18:23",5185
"13","2014/04/01 18:28",18723
"14","2014/04/01 18:33",14538
"15","2014/04/01 18:38",5467
"16","2014/04/01 18:43",6860
"17","2014/04/01 18:48",27586
"18","2014/04/01 18:53",3057
"19","2014/04/01 18:58",2141
"20","2014/04/01 19:03",1803
"21","2014/04/01 19:08",2944
"22","2014/04/01 19:13",3097
"23","2014/04/01 19:18",2351
"24","2014/04/01 19:23",3440
"25","2014/04/01 19:28",15677
"26","2014/04/01 19:33",11002
"27","2014/04/01 19:38",17693
"28","2014/04/01 19:43",5146
"29","2014/04/01 19:48",49982
"30","2014/04/01 19:53",16697
"31","2014/04/01 19:58",4123
"32","2014/04/01 20:03",3548
"33","2014/04/01 20:08",1836
"34","2014/04/01 20:13",1046
"35","2014/04/01 20:18",2822
"36","2014/04/01 20:23",1685
"37","2014/04/01 20:28",3007
"38","2014/04/01 20:33",985
"39","2014/04/01 20:38",1030
"40","2014/04/01 20:43",1569
"41","2014/04/01 20:48",1284
"42","2014/04/01 20:53",1122
"43","2014/04/01 20:58",2080
"44","2014/04/01 21:03",1994
"45","2014/04/01 21:08",1436
"46","2014/04/01 21:13",2015
"47","2014/04/01 21:18",2476
"48","2014/04/01 21:23",1385
"49","2014/04/01 21:28",1520
"50","2014/04/01 21:33",2433
"51","2014/04/01 21:38",2704
"52","2014/04/01 21:43",2361
"53","2014/04/01 21:48",2546
"54","2014/04/01 21:53",2216
"55","2014/04/01 21:58",1579
"56","2014/04/01 22:03",1625
"57","2014/04/01 22:08",1639
"58","2014/04/01 22:13",2150
"59","2014/04/01 22:18",2855
"60","2014/04/01 22:23",1911
"61","2014/04/01 22:28",1805
"62","2014/04/01 22:33",1650
"63","2014/04/01 22:38",878
"64","2014/04/01 22:43",1327
"65","2014/04/01 22:48",1290
"66","2014/04/01 22:53",1059
"67","2014/04/01 22:58",2783
"68","2014/04/01 23:03",1674
"69","2014/04/01 23:08",1625
"70","2014/04/01 23:13",1803
"71","2014/04/01 23:18",1346
"72","2014/04/01 23:23",4255
"73","2014/04/01 23:28",1220
"74","2014/04/01 23:33",12769
"75","2014/04/01 23:38",2684
"76","2014/04/01 23:43",5505
"77","2014/04/01 23:48",4536
"78","2014/04/01 23:53",3500
"79","2014/04/01 23:58",3435
"80","2014/04/02 00:03",7570
"81","2014/04/02 00:08",8869
"82","2014/04/02 00:13",7250
"83","2014/04/02 00:18",8800
"84","2014/04/02 00:23",7456
"85","2014/04/02 00:28",5961
"86","2014/04/02 00:33",5811
"87","2014/04/02 00:38",3313
"88","2014/04/02 00:43",3467
"89","2014/04/02 00:48",6903
"90","2014/04/02 00:53",7539
"91","2014/04/02 00:58",7269
"92","2014/04/02 01:03",3751
"93","2014/04/02 01:08",2324
"94","2014/04/02 01:13",3264
"95","2014/04/02 01:18",3414
"96","2014/04/02 01:23",3856
