LDEV_TransRate_X496-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:E7 X"
"1","2014/04/01 17:28",35
"2","2014/04/01 17:33",41
"3","2014/04/01 17:38",36
"4","2014/04/01 17:43",244
"5","2014/04/01 17:48",71
"6","2014/04/01 17:53",80
"7","2014/04/01 17:58",30
"8","2014/04/01 18:03",45
"9","2014/04/01 18:08",46
"10","2014/04/01 18:13",48
"11","2014/04/01 18:18",40
"12","2014/04/01 18:23",64
"13","2014/04/01 18:28",28
"14","2014/04/01 18:33",46
"15","2014/04/01 18:38",31
"16","2014/04/01 18:43",237
"17","2014/04/01 18:48",32
"18","2014/04/01 18:53",69
"19","2014/04/01 18:58",34
"20","2014/04/01 19:03",68
"21","2014/04/01 19:08",52
"22","2014/04/01 19:13",41
"23","2014/04/01 19:18",54
"24","2014/04/01 19:23",64
"25","2014/04/01 19:28",28
"26","2014/04/01 19:33",94
"27","2014/04/01 19:38",50
"28","2014/04/01 19:43",43
"29","2014/04/01 19:48",56
"30","2014/04/01 19:53",84
"31","2014/04/01 19:58",38
"32","2014/04/01 20:03",62
"33","2014/04/01 20:08",54
"34","2014/04/01 20:13",40
"35","2014/04/01 20:18",106
"36","2014/04/01 20:23",125
"37","2014/04/01 20:28",39
"38","2014/04/01 20:33",59
"39","2014/04/01 20:38",39
"40","2014/04/01 20:43",39
"41","2014/04/01 20:48",45
"42","2014/04/01 20:53",78
"43","2014/04/01 20:58",37
"44","2014/04/01 21:03",55
"45","2014/04/01 21:08",61
"46","2014/04/01 21:13",44
"47","2014/04/01 21:18",38
"48","2014/04/01 21:23",74
"49","2014/04/01 21:28",28
"50","2014/04/01 21:33",60
"51","2014/04/01 21:38",33
"52","2014/04/01 21:43",239
"53","2014/04/01 21:48",46
"54","2014/04/01 21:53",88
"55","2014/04/01 21:58",39
"56","2014/04/01 22:03",353
"57","2014/04/01 22:08",1154
"58","2014/04/01 22:13",1059
"59","2014/04/01 22:18",449
"60","2014/04/01 22:23",499
"61","2014/04/01 22:28",857
"62","2014/04/01 22:33",1104
"63","2014/04/01 22:38",938
"64","2014/04/01 22:43",1004
"65","2014/04/01 22:48",1058
"66","2014/04/01 22:53",1214
"67","2014/04/01 22:58",1261
"68","2014/04/01 23:03",1864
"69","2014/04/01 23:08",1436
"70","2014/04/01 23:13",1180
"71","2014/04/01 23:18",1219
"72","2014/04/01 23:23",1252
"73","2014/04/01 23:28",1278
"74","2014/04/01 23:33",961
"75","2014/04/01 23:38",1093
"76","2014/04/01 23:43",841
"77","2014/04/01 23:48",845
"78","2014/04/01 23:53",875
"79","2014/04/01 23:58",750
"80","2014/04/02 00:03",716
"81","2014/04/02 00:08",513
"82","2014/04/02 00:13",451
"83","2014/04/02 00:18",448
"84","2014/04/02 00:23",623
"85","2014/04/02 00:28",395
"86","2014/04/02 00:33",356
"87","2014/04/02 00:38",231
"88","2014/04/02 00:43",178
"89","2014/04/02 00:48",228
"90","2014/04/02 00:53",336
"91","2014/04/02 00:58",342
"92","2014/04/02 01:03",339
"93","2014/04/02 01:08",331
"94","2014/04/02 01:13",710
"95","2014/04/02 01:18",742
"96","2014/04/02 01:23",811
