LDEV_TransRate_X506-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:F1 X"
"1","2014/04/01 17:28",34
"2","2014/04/01 17:33",41
"3","2014/04/01 17:38",30
"4","2014/04/01 17:43",257
"5","2014/04/01 17:48",84
"6","2014/04/01 17:53",94
"7","2014/04/01 17:58",30
"8","2014/04/01 18:03",64
"9","2014/04/01 18:08",44
"10","2014/04/01 18:13",40
"11","2014/04/01 18:18",32
"12","2014/04/01 18:23",57
"13","2014/04/01 18:28",27
"14","2014/04/01 18:33",56
"15","2014/04/01 18:38",30
"16","2014/04/01 18:43",110
"17","2014/04/01 18:48",31
"18","2014/04/01 18:53",97
"19","2014/04/01 18:58",30
"20","2014/04/01 19:03",76
"21","2014/04/01 19:08",47
"22","2014/04/01 19:13",42
"23","2014/04/01 19:18",31
"24","2014/04/01 19:23",52
"25","2014/04/01 19:28",28
"26","2014/04/01 19:33",114
"27","2014/04/01 19:38",44
"28","2014/04/01 19:43",43
"29","2014/04/01 19:48",54
"30","2014/04/01 19:53",69
"31","2014/04/01 19:58",38
"32","2014/04/01 20:03",62
"33","2014/04/01 20:08",44
"34","2014/04/01 20:13",38
"35","2014/04/01 20:18",80
"36","2014/04/01 20:23",132
"37","2014/04/01 20:28",35
"38","2014/04/01 20:33",74
"39","2014/04/01 20:38",33
"40","2014/04/01 20:43",38
"41","2014/04/01 20:48",47
"42","2014/04/01 20:53",62
"43","2014/04/01 20:58",37
"44","2014/04/01 21:03",58
"45","2014/04/01 21:08",48
"46","2014/04/01 21:13",60
"47","2014/04/01 21:18",34
"48","2014/04/01 21:23",62
"49","2014/04/01 21:28",28
"50","2014/04/01 21:33",64
"51","2014/04/01 21:38",27
"52","2014/04/01 21:43",255
"53","2014/04/01 21:48",55
"54","2014/04/01 21:53",94
"55","2014/04/01 21:58",41
"56","2014/04/01 22:03",415
"57","2014/04/01 22:08",1095
"58","2014/04/01 22:13",1013
"59","2014/04/01 22:18",413
"60","2014/04/01 22:23",510
"61","2014/04/01 22:28",812
"62","2014/04/01 22:33",1056
"63","2014/04/01 22:38",913
"64","2014/04/01 22:43",833
"65","2014/04/01 22:48",1009
"66","2014/04/01 22:53",1190
"67","2014/04/01 22:58",1223
"68","2014/04/01 23:03",1789
"69","2014/04/01 23:08",1408
"70","2014/04/01 23:13",1140
"71","2014/04/01 23:18",1104
"72","2014/04/01 23:23",1225
"73","2014/04/01 23:28",1246
"74","2014/04/01 23:33",965
"75","2014/04/01 23:38",1040
"76","2014/04/01 23:43",818
"77","2014/04/01 23:48",839
"78","2014/04/01 23:53",900
"79","2014/04/01 23:58",742
"80","2014/04/02 00:03",698
"81","2014/04/02 00:08",462
"82","2014/04/02 00:13",458
"83","2014/04/02 00:18",406
"84","2014/04/02 00:23",588
"85","2014/04/02 00:28",398
"86","2014/04/02 00:33",347
"87","2014/04/02 00:38",276
"88","2014/04/02 00:43",152
"89","2014/04/02 00:48",198
"90","2014/04/02 00:53",295
"91","2014/04/02 00:58",325
"92","2014/04/02 01:03",351
"93","2014/04/02 01:08",317
"94","2014/04/02 01:13",773
"95","2014/04/02 01:18",750
"96","2014/04/02 01:23",790
