LDEV_TransRate_X550-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:03:3A X"
"1","2014/04/01 17:28",17
"2","2014/04/01 17:33",245
"3","2014/04/01 17:38",3
"4","2014/04/01 17:43",2199
"5","2014/04/01 17:48",1535
"6","2014/04/01 17:53",918
"7","2014/04/01 17:58",7
"8","2014/04/01 18:03",215
"9","2014/04/01 18:08",3
"10","2014/04/01 18:13",6
"11","2014/04/01 18:18",113
"12","2014/04/01 18:23",108
"13","2014/04/01 18:28",9
"14","2014/04/01 18:33",200
"15","2014/04/01 18:38",4
"16","2014/04/01 18:43",1436
"17","2014/04/01 18:48",180
"18","2014/04/01 18:53",110
"19","2014/04/01 18:58",60
"20","2014/04/01 19:03",206
"21","2014/04/01 19:08",6
"22","2014/04/01 19:13",9
"23","2014/04/01 19:18",580
"24","2014/04/01 19:23",50
"25","2014/04/01 19:28",19
"26","2014/04/01 19:33",333
"27","2014/04/01 19:38",4
"28","2014/04/01 19:43",93
"29","2014/04/01 19:48",105
"30","2014/04/01 19:53",41
"31","2014/04/01 19:58",8
"32","2014/04/01 20:03",217
"33","2014/04/01 20:08",6
"34","2014/04/01 20:13",30
"35","2014/04/01 20:18",109
"36","2014/04/01 20:23",206
"37","2014/04/01 20:28",18
"38","2014/04/01 20:33",144
"39","2014/04/01 20:38",3
"40","2014/04/01 20:43",5
"41","2014/04/01 20:48",939
"42","2014/04/01 20:53",9
"43","2014/04/01 20:58",15
"44","2014/04/01 21:03",210
"45","2014/04/01 21:08",2
"46","2014/04/01 21:13",11
"47","2014/04/01 21:18",104
"48","2014/04/01 21:23",6
"49","2014/04/01 21:28",14
"50","2014/04/01 21:33",252
"51","2014/04/01 21:38",2
"52","2014/04/01 21:43",2301
"53","2014/04/01 21:48",724
"54","2014/04/01 21:53",1034
"55","2014/04/01 21:58",9
"56","2014/04/01 22:03",382
"57","2014/04/01 22:08",484
"58","2014/04/01 22:13",593
"59","2014/04/01 22:18",270
"60","2014/04/01 22:23",281
"61","2014/04/01 22:28",686
"62","2014/04/01 22:33",1958
"63","2014/04/01 22:38",1533
"64","2014/04/01 22:43",3079
"65","2014/04/01 22:48",2563
"66","2014/04/01 22:53",3207
"67","2014/04/01 22:58",3337
"68","2014/04/01 23:03",2767
"69","2014/04/01 23:08",2475
"70","2014/04/01 23:13",2225
"71","2014/04/01 23:18",3053
"72","2014/04/01 23:23",3350
"73","2014/04/01 23:28",2785
"74","2014/04/01 23:33",2777
"75","2014/04/01 23:38",2855
"76","2014/04/01 23:43",3282
"77","2014/04/01 23:48",2883
"78","2014/04/01 23:53",2519
"79","2014/04/01 23:58",2759
"80","2014/04/02 00:03",1969
"81","2014/04/02 00:08",828
"82","2014/04/02 00:13",958
"83","2014/04/02 00:18",700
"84","2014/04/02 00:23",1145
"85","2014/04/02 00:28",1018
"86","2014/04/02 00:33",2567
"87","2014/04/02 00:38",408
"88","2014/04/02 00:43",216
"89","2014/04/02 00:48",823
"90","2014/04/02 00:53",679
"91","2014/04/02 00:58",787
"92","2014/04/02 01:03",1107
"93","2014/04/02 01:08",631
"94","2014/04/02 01:13",280
"95","2014/04/02 01:18",143
"96","2014/04/02 01:23",91
