LDEV_TransRate_X582-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:0C:09 X"
"1","2014/04/01 17:28",382
"2","2014/04/01 17:33",211
"3","2014/04/01 17:38",130
"4","2014/04/01 17:43",169
"5","2014/04/01 17:48",96
"6","2014/04/01 17:53",181
"7","2014/04/01 17:58",93
"8","2014/04/01 18:03",215
"9","2014/04/01 18:08",116
"10","2014/04/01 18:13",201
"11","2014/04/01 18:18",169
"12","2014/04/01 18:23",323
"13","2014/04/01 18:28",293
"14","2014/04/01 18:33",271
"15","2014/04/01 18:38",312
"16","2014/04/01 18:43",241
"17","2014/04/01 18:48",149
"18","2014/04/01 18:53",194
"19","2014/04/01 18:58",129
"20","2014/04/01 19:03",204
"21","2014/04/01 19:08",227
"22","2014/04/01 19:13",335
"23","2014/04/01 19:18",158
"24","2014/04/01 19:23",245
"25","2014/04/01 19:28",233
"26","2014/04/01 19:33",268
"27","2014/04/01 19:38",301
"28","2014/04/01 19:43",3005
"29","2014/04/01 19:48",1530
"30","2014/04/01 19:53",1289
"31","2014/04/01 19:58",627
"32","2014/04/01 20:03",650
"33","2014/04/01 20:08",411
"34","2014/04/01 20:13",400
"35","2014/04/01 20:18",294
"36","2014/04/01 20:23",365
"37","2014/04/01 20:28",444
"38","2014/04/01 20:33",470
"39","2014/04/01 20:38",266
"40","2014/04/01 20:43",371
"41","2014/04/01 20:48",285
"42","2014/04/01 20:53",362
"43","2014/04/01 20:58",563
"44","2014/04/01 21:03",572
"45","2014/04/01 21:08",533
"46","2014/04/01 21:13",502
"47","2014/04/01 21:18",814
"48","2014/04/01 21:23",817
"49","2014/04/01 21:28",715
"50","2014/04/01 21:33",503
"51","2014/04/01 21:38",305
"52","2014/04/01 21:43",372
"53","2014/04/01 21:48",279
"54","2014/04/01 21:53",366
"55","2014/04/01 21:58",833
"56","2014/04/01 22:03",604
"57","2014/04/01 22:08",977
"58","2014/04/01 22:13",485
"59","2014/04/01 22:18",491
"60","2014/04/01 22:23",485
"61","2014/04/01 22:28",474
"62","2014/04/01 22:33",566
"63","2014/04/01 22:38",517
"64","2014/04/01 22:43",401
"65","2014/04/01 22:48",476
"66","2014/04/01 22:53",450
"67","2014/04/01 22:58",466
"68","2014/04/01 23:03",580
"69","2014/04/01 23:08",672
"70","2014/04/01 23:13",532
"71","2014/04/01 23:18",811
"72","2014/04/01 23:23",646
"73","2014/04/01 23:28",539
"74","2014/04/01 23:33",521
"75","2014/04/01 23:38",434
"76","2014/04/01 23:43",559
"77","2014/04/01 23:48",577
"78","2014/04/01 23:53",541
"79","2014/04/01 23:58",455
"80","2014/04/02 00:03",613
"81","2014/04/02 00:08",622
"82","2014/04/02 00:13",583
"83","2014/04/02 00:18",553
"84","2014/04/02 00:23",609
"85","2014/04/02 00:28",580
"86","2014/04/02 00:33",867
"87","2014/04/02 00:38",579
"88","2014/04/02 00:43",558
"89","2014/04/02 00:48",514
"90","2014/04/02 00:53",567
"91","2014/04/02 00:58",503
"92","2014/04/02 01:03",449
"93","2014/04/02 01:08",538
"94","2014/04/02 01:13",575
"95","2014/04/02 01:18",535
"96","2014/04/02 01:23",464
