LDEV_TransRate_X618-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:7C X"
"1","2014/04/01 17:28",340
"2","2014/04/01 17:33",159
"3","2014/04/01 17:38",101
"4","2014/04/01 17:43",167
"5","2014/04/01 17:48",73
"6","2014/04/01 17:53",158
"7","2014/04/01 17:58",76
"8","2014/04/01 18:03",155
"9","2014/04/01 18:08",105
"10","2014/04/01 18:13",234
"11","2014/04/01 18:18",126
"12","2014/04/01 18:23",276
"13","2014/04/01 18:28",349
"14","2014/04/01 18:33",302
"15","2014/04/01 18:38",324
"16","2014/04/01 18:43",200
"17","2014/04/01 18:48",130
"18","2014/04/01 18:53",190
"19","2014/04/01 18:58",129
"20","2014/04/01 19:03",197
"21","2014/04/01 19:08",196
"22","2014/04/01 19:13",302
"23","2014/04/01 19:18",154
"24","2014/04/01 19:23",235
"25","2014/04/01 19:28",277
"26","2014/04/01 19:33",226
"27","2014/04/01 19:38",328
"28","2014/04/01 19:43",3018
"29","2014/04/01 19:48",1493
"30","2014/04/01 19:53",1218
"31","2014/04/01 19:58",706
"32","2014/04/01 20:03",625
"33","2014/04/01 20:08",490
"34","2014/04/01 20:13",484
"35","2014/04/01 20:18",339
"36","2014/04/01 20:23",338
"37","2014/04/01 20:28",412
"38","2014/04/01 20:33",439
"39","2014/04/01 20:38",262
"40","2014/04/01 20:43",341
"41","2014/04/01 20:48",309
"42","2014/04/01 20:53",242
"43","2014/04/01 20:58",511
"44","2014/04/01 21:03",542
"45","2014/04/01 21:08",503
"46","2014/04/01 21:13",511
"47","2014/04/01 21:18",733
"48","2014/04/01 21:23",847
"49","2014/04/01 21:28",675
"50","2014/04/01 21:33",449
"51","2014/04/01 21:38",341
"52","2014/04/01 21:43",330
"53","2014/04/01 21:48",345
"54","2014/04/01 21:53",370
"55","2014/04/01 21:58",702
"56","2014/04/01 22:03",571
"57","2014/04/01 22:08",850
"58","2014/04/01 22:13",455
"59","2014/04/01 22:18",515
"60","2014/04/01 22:23",501
"61","2014/04/01 22:28",461
"62","2014/04/01 22:33",588
"63","2014/04/01 22:38",553
"64","2014/04/01 22:43",462
"65","2014/04/01 22:48",405
"66","2014/04/01 22:53",411
"67","2014/04/01 22:58",422
"68","2014/04/01 23:03",491
"69","2014/04/01 23:08",595
"70","2014/04/01 23:13",554
"71","2014/04/01 23:18",788
"72","2014/04/01 23:23",609
"73","2014/04/01 23:28",588
"74","2014/04/01 23:33",503
"75","2014/04/01 23:38",457
"76","2014/04/01 23:43",559
"77","2014/04/01 23:48",551
"78","2014/04/01 23:53",498
"79","2014/04/01 23:58",459
"80","2014/04/02 00:03",538
"81","2014/04/02 00:08",550
"82","2014/04/02 00:13",658
"83","2014/04/02 00:18",483
"84","2014/04/02 00:23",547
"85","2014/04/02 00:28",574
"86","2014/04/02 00:33",559
"87","2014/04/02 00:38",492
"88","2014/04/02 00:43",564
"89","2014/04/02 00:48",498
"90","2014/04/02 00:53",519
"91","2014/04/02 00:58",477
"92","2014/04/02 01:03",464
"93","2014/04/02 01:08",494
"94","2014/04/02 01:13",548
"95","2014/04/02 01:18",598
"96","2014/04/02 01:23",347
