LDEV_TransRate_X620-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:2A:C1 X"
"1","2014/04/01 17:28",15
"2","2014/04/01 17:33",16
"3","2014/04/01 17:38",15
"4","2014/04/01 17:43",16
"5","2014/04/01 17:48",17
"6","2014/04/01 17:53",16
"7","2014/04/01 17:58",17
"8","2014/04/01 18:03",16
"9","2014/04/01 18:08",16
"10","2014/04/01 18:13",17
"11","2014/04/01 18:18",17
"12","2014/04/01 18:23",16
"13","2014/04/01 18:28",17
"14","2014/04/01 18:33",17
"15","2014/04/01 18:38",16
"16","2014/04/01 18:43",17
"17","2014/04/01 18:48",16
"18","2014/04/01 18:53",17
"19","2014/04/01 18:58",16
"20","2014/04/01 19:03",17
"21","2014/04/01 19:08",16
"22","2014/04/01 19:13",132
"23","2014/04/01 19:18",11
"24","2014/04/01 19:23",9
"25","2014/04/01 19:28",9
"26","2014/04/01 19:33",9
"27","2014/04/01 19:38",8
"28","2014/04/01 19:43",21
"29","2014/04/01 19:48",100
"30","2014/04/01 19:53",26
"31","2014/04/01 19:58",9
"32","2014/04/01 20:03",9
"33","2014/04/01 20:08",9
"34","2014/04/01 20:13",9
"35","2014/04/01 20:18",9
"36","2014/04/01 20:23",9
"37","2014/04/01 20:28",10
"38","2014/04/01 20:33",9
"39","2014/04/01 20:38",9
"40","2014/04/01 20:43",9
"41","2014/04/01 20:48",9
"42","2014/04/01 20:53",13
"43","2014/04/01 20:58",17
"44","2014/04/01 21:03",16
"45","2014/04/01 21:08",17
"46","2014/04/01 21:13",17
"47","2014/04/01 21:18",16
"48","2014/04/01 21:23",17
"49","2014/04/01 21:28",17
"50","2014/04/01 21:33",17
"51","2014/04/01 21:38",16
"52","2014/04/01 21:43",17
"53","2014/04/01 21:48",17
"54","2014/04/01 21:53",16
"55","2014/04/01 21:58",16
"56","2014/04/01 22:03",16
"57","2014/04/01 22:08",16
"58","2014/04/01 22:13",17
"59","2014/04/01 22:18",16
"60","2014/04/01 22:23",16
"61","2014/04/01 22:28",16
"62","2014/04/01 22:33",16
"63","2014/04/01 22:38",16
"64","2014/04/01 22:43",16
"65","2014/04/01 22:48",17
"66","2014/04/01 22:53",16
"67","2014/04/01 22:58",16
"68","2014/04/01 23:03",17
"69","2014/04/01 23:08",77
"70","2014/04/01 23:13",622
"71","2014/04/01 23:18",6957
"72","2014/04/01 23:23",5539
"73","2014/04/01 23:28",2343
"74","2014/04/01 23:33",1102
"75","2014/04/01 23:38",100
"76","2014/04/01 23:43",147
"77","2014/04/01 23:48",87
"78","2014/04/01 23:53",34
"79","2014/04/01 23:58",31
"80","2014/04/02 00:03",23
"81","2014/04/02 00:08",19
"82","2014/04/02 00:13",22
"83","2014/04/02 00:18",24
"84","2014/04/02 00:23",19
"85","2014/04/02 00:28",18
"86","2014/04/02 00:33",18
"87","2014/04/02 00:38",17
"88","2014/04/02 00:43",17
"89","2014/04/02 00:48",18
"90","2014/04/02 00:53",16
"91","2014/04/02 00:58",23
"92","2014/04/02 01:03",21
"93","2014/04/02 01:08",16
"94","2014/04/02 01:13",24
"95","2014/04/02 01:18",17
"96","2014/04/02 01:23",16
