LDEV_TransRate_X636-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:3E X"
"1","2014/04/01 17:28",361
"2","2014/04/01 17:33",433
"3","2014/04/01 17:38",154
"4","2014/04/01 17:43",139
"5","2014/04/01 17:48",85
"6","2014/04/01 17:53",183
"7","2014/04/01 17:58",83
"8","2014/04/01 18:03",169
"9","2014/04/01 18:08",150
"10","2014/04/01 18:13",145
"11","2014/04/01 18:18",120
"12","2014/04/01 18:23",263
"13","2014/04/01 18:28",320
"14","2014/04/01 18:33",262
"15","2014/04/01 18:38",357
"16","2014/04/01 18:43",173
"17","2014/04/01 18:48",147
"18","2014/04/01 18:53",235
"19","2014/04/01 18:58",157
"20","2014/04/01 19:03",211
"21","2014/04/01 19:08",273
"22","2014/04/01 19:13",314
"23","2014/04/01 19:18",188
"24","2014/04/01 19:23",233
"25","2014/04/01 19:28",284
"26","2014/04/01 19:33",509
"27","2014/04/01 19:38",367
"28","2014/04/01 19:43",3036
"29","2014/04/01 19:48",1543
"30","2014/04/01 19:53",1353
"31","2014/04/01 19:58",704
"32","2014/04/01 20:03",631
"33","2014/04/01 20:08",600
"34","2014/04/01 20:13",388
"35","2014/04/01 20:18",302
"36","2014/04/01 20:23",334
"37","2014/04/01 20:28",394
"38","2014/04/01 20:33",423
"39","2014/04/01 20:38",300
"40","2014/04/01 20:43",320
"41","2014/04/01 20:48",302
"42","2014/04/01 20:53",297
"43","2014/04/01 20:58",588
"44","2014/04/01 21:03",525
"45","2014/04/01 21:08",506
"46","2014/04/01 21:13",535
"47","2014/04/01 21:18",793
"48","2014/04/01 21:23",815
"49","2014/04/01 21:28",698
"50","2014/04/01 21:33",724
"51","2014/04/01 21:38",341
"52","2014/04/01 21:43",379
"53","2014/04/01 21:48",262
"54","2014/04/01 21:53",335
"55","2014/04/01 21:58",765
"56","2014/04/01 22:03",625
"57","2014/04/01 22:08",938
"58","2014/04/01 22:13",449
"59","2014/04/01 22:18",468
"60","2014/04/01 22:23",523
"61","2014/04/01 22:28",467
"62","2014/04/01 22:33",545
"63","2014/04/01 22:38",541
"64","2014/04/01 22:43",450
"65","2014/04/01 22:48",436
"66","2014/04/01 22:53",467
"67","2014/04/01 22:58",494
"68","2014/04/01 23:03",512
"69","2014/04/01 23:08",807
"70","2014/04/01 23:13",585
"71","2014/04/01 23:18",870
"72","2014/04/01 23:23",677
"73","2014/04/01 23:28",483
"74","2014/04/01 23:33",646
"75","2014/04/01 23:38",586
"76","2014/04/01 23:43",564
"77","2014/04/01 23:48",582
"78","2014/04/01 23:53",529
"79","2014/04/01 23:58",472
"80","2014/04/02 00:03",587
"81","2014/04/02 00:08",611
"82","2014/04/02 00:13",571
"83","2014/04/02 00:18",534
"84","2014/04/02 00:23",598
"85","2014/04/02 00:28",558
"86","2014/04/02 00:33",657
"87","2014/04/02 00:38",604
"88","2014/04/02 00:43",557
"89","2014/04/02 00:48",514
"90","2014/04/02 00:53",548
"91","2014/04/02 00:58",449
"92","2014/04/02 01:03",450
"93","2014/04/02 01:08",550
"94","2014/04/02 01:13",564
"95","2014/04/02 01:18",548
"96","2014/04/02 01:23",411
