LDEV_TransRate_X702-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:2A X"
"1","2014/04/01 17:28",359
"2","2014/04/01 17:33",358
"3","2014/04/01 17:38",116
"4","2014/04/01 17:43",129
"5","2014/04/01 17:48",74
"6","2014/04/01 17:53",145
"7","2014/04/01 17:58",92
"8","2014/04/01 18:03",180
"9","2014/04/01 18:08",93
"10","2014/04/01 18:13",137
"11","2014/04/01 18:18",112
"12","2014/04/01 18:23",240
"13","2014/04/01 18:28",307
"14","2014/04/01 18:33",279
"15","2014/04/01 18:38",290
"16","2014/04/01 18:43",174
"17","2014/04/01 18:48",112
"18","2014/04/01 18:53",150
"19","2014/04/01 18:58",109
"20","2014/04/01 19:03",152
"21","2014/04/01 19:08",151
"22","2014/04/01 19:13",280
"23","2014/04/01 19:18",146
"24","2014/04/01 19:23",207
"25","2014/04/01 19:28",222
"26","2014/04/01 19:33",397
"27","2014/04/01 19:38",286
"28","2014/04/01 19:43",3093
"29","2014/04/01 19:48",1527
"30","2014/04/01 19:53",1251
"31","2014/04/01 19:58",644
"32","2014/04/01 20:03",561
"33","2014/04/01 20:08",405
"34","2014/04/01 20:13",418
"35","2014/04/01 20:18",300
"36","2014/04/01 20:23",304
"37","2014/04/01 20:28",429
"38","2014/04/01 20:33",407
"39","2014/04/01 20:38",313
"40","2014/04/01 20:43",310
"41","2014/04/01 20:48",270
"42","2014/04/01 20:53",220
"43","2014/04/01 20:58",534
"44","2014/04/01 21:03",501
"45","2014/04/01 21:08",481
"46","2014/04/01 21:13",518
"47","2014/04/01 21:18",748
"48","2014/04/01 21:23",817
"49","2014/04/01 21:28",722
"50","2014/04/01 21:33",693
"51","2014/04/01 21:38",315
"52","2014/04/01 21:43",357
"53","2014/04/01 21:48",296
"54","2014/04/01 21:53",374
"55","2014/04/01 21:58",688
"56","2014/04/01 22:03",577
"57","2014/04/01 22:08",906
"58","2014/04/01 22:13",426
"59","2014/04/01 22:18",472
"60","2014/04/01 22:23",443
"61","2014/04/01 22:28",494
"62","2014/04/01 22:33",546
"63","2014/04/01 22:38",554
"64","2014/04/01 22:43",431
"65","2014/04/01 22:48",445
"66","2014/04/01 22:53",474
"67","2014/04/01 22:58",484
"68","2014/04/01 23:03",489
"69","2014/04/01 23:08",627
"70","2014/04/01 23:13",528
"71","2014/04/01 23:18",842
"72","2014/04/01 23:23",682
"73","2014/04/01 23:28",533
"74","2014/04/01 23:33",581
"75","2014/04/01 23:38",536
"76","2014/04/01 23:43",544
"77","2014/04/01 23:48",516
"78","2014/04/01 23:53",543
"79","2014/04/01 23:58",468
"80","2014/04/02 00:03",545
"81","2014/04/02 00:08",556
"82","2014/04/02 00:13",572
"83","2014/04/02 00:18",512
"84","2014/04/02 00:23",582
"85","2014/04/02 00:28",559
"86","2014/04/02 00:33",627
"87","2014/04/02 00:38",566
"88","2014/04/02 00:43",587
"89","2014/04/02 00:48",487
"90","2014/04/02 00:53",502
"91","2014/04/02 00:58",434
"92","2014/04/02 01:03",515
"93","2014/04/02 01:08",453
"94","2014/04/02 01:13",606
"95","2014/04/02 01:18",588
"96","2014/04/02 01:23",370
