LDEV_TransRate_X71-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:5A:D9 X"
"1","2014/04/01 17:28",109
"2","2014/04/01 17:33",4188
"3","2014/04/01 17:38",2635
"4","2014/04/01 17:43",3911
"5","2014/04/01 17:48",3072
"6","2014/04/01 17:53",2651
"7","2014/04/01 17:58",1140
"8","2014/04/01 18:03",5962
"9","2014/04/01 18:08",4644
"10","2014/04/01 18:13",3271
"11","2014/04/01 18:18",3379
"12","2014/04/01 18:23",5369
"13","2014/04/01 18:28",4509
"14","2014/04/01 18:33",2976
"15","2014/04/01 18:38",1058
"16","2014/04/01 18:43",1369
"17","2014/04/01 18:48",2672
"18","2014/04/01 18:53",1963
"19","2014/04/01 18:58",4115
"20","2014/04/01 19:03",4024
"21","2014/04/01 19:08",1736
"22","2014/04/01 19:13",1078
"23","2014/04/01 19:18",3833
"24","2014/04/01 19:23",742
"25","2014/04/01 19:28",739
"26","2014/04/01 19:33",1775
"27","2014/04/01 19:38",3670
"28","2014/04/01 19:43",2960
"29","2014/04/01 19:48",1696
"30","2014/04/01 19:53",4426
"31","2014/04/01 19:58",1454
"32","2014/04/01 20:03",915
"33","2014/04/01 20:08",2179
"34","2014/04/01 20:13",1989
"35","2014/04/01 20:18",3431
"36","2014/04/01 20:23",1800
"37","2014/04/01 20:28",1000
"38","2014/04/01 20:33",367
"39","2014/04/01 20:38",3266
"40","2014/04/01 20:43",2801
"41","2014/04/01 20:48",2167
"42","2014/04/01 20:53",1049
"43","2014/04/01 20:58",989
"44","2014/04/01 21:03",818
"45","2014/04/01 21:08",757
"46","2014/04/01 21:13",428
"47","2014/04/01 21:18",2371
"48","2014/04/01 21:23",110
"49","2014/04/01 21:28",3151
"50","2014/04/01 21:33",362
"51","2014/04/01 21:38",2015
"52","2014/04/01 21:43",3159
"53","2014/04/01 21:48",3919
"54","2014/04/01 21:53",1157
"55","2014/04/01 21:58",106
"56","2014/04/01 22:03",1160
"57","2014/04/01 22:08",725
"58","2014/04/01 22:13",22
"59","2014/04/01 22:18",1726
"60","2014/04/01 22:23",25
"61","2014/04/01 22:28",20
"62","2014/04/01 22:33",804
"63","2014/04/01 22:38",23
"64","2014/04/01 22:43",21
"65","2014/04/01 22:48",22
"66","2014/04/01 22:53",1066
"67","2014/04/01 22:58",3146
"68","2014/04/01 23:03",1755
"69","2014/04/01 23:08",1339
"70","2014/04/01 23:13",6562
"71","2014/04/01 23:18",4142
"72","2014/04/01 23:23",2229
"73","2014/04/01 23:28",140
"74","2014/04/01 23:33",115
"75","2014/04/01 23:38",147
"76","2014/04/01 23:43",2197
"77","2014/04/01 23:48",2732
"78","2014/04/01 23:53",270
"79","2014/04/01 23:58",2788
"80","2014/04/02 00:03",4584
"81","2014/04/02 00:08",27
"82","2014/04/02 00:13",23
"83","2014/04/02 00:18",746
"84","2014/04/02 00:23",104
"85","2014/04/02 00:28",24
"86","2014/04/02 00:33",261
"87","2014/04/02 00:38",491
"88","2014/04/02 00:43",20
"89","2014/04/02 00:48",531
"90","2014/04/02 00:53",231
"91","2014/04/02 00:58",21
"92","2014/04/02 01:03",457
"93","2014/04/02 01:08",27
"94","2014/04/02 01:13",24
"95","2014/04/02 01:18",1467
"96","2014/04/02 01:23",15
