LDEV_TransRate_X74-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:2C:3D X"
"1","2014/04/01 17:28",954
"2","2014/04/01 17:33",2542
"3","2014/04/01 17:38",3266
"4","2014/04/01 17:43",3250
"5","2014/04/01 17:48",4597
"6","2014/04/01 17:53",7992
"7","2014/04/01 17:58",9719
"8","2014/04/01 18:03",5638
"9","2014/04/01 18:08",3129
"10","2014/04/01 18:13",3775
"11","2014/04/01 18:18",3628
"12","2014/04/01 18:23",3642
"13","2014/04/01 18:28",3409
"14","2014/04/01 18:33",3561
"15","2014/04/01 18:38",3722
"16","2014/04/01 18:43",4969
"17","2014/04/01 18:48",3707
"18","2014/04/01 18:53",3495
"19","2014/04/01 18:58",3893
"20","2014/04/01 19:03",3346
"21","2014/04/01 19:08",3076
"22","2014/04/01 19:13",3615
"23","2014/04/01 19:18",3384
"24","2014/04/01 19:23",3496
"25","2014/04/01 19:28",4648
"26","2014/04/01 19:33",3138
"27","2014/04/01 19:38",3263
"28","2014/04/01 19:43",1464
"29","2014/04/01 19:48",2236
"30","2014/04/01 19:53",2609
"31","2014/04/01 19:58",3207
"32","2014/04/01 20:03",3006
"33","2014/04/01 20:08",3026
"34","2014/04/01 20:13",3431
"35","2014/04/01 20:18",1595
"36","2014/04/01 20:23",3826
"37","2014/04/01 20:28",3920
"38","2014/04/01 20:33",3606
"39","2014/04/01 20:38",3870
"40","2014/04/01 20:43",3589
"41","2014/04/01 20:48",3549
"42","2014/04/01 20:53",2661
"43","2014/04/01 20:58",2255
"44","2014/04/01 21:03",3950
"45","2014/04/01 21:08",4470
"46","2014/04/01 21:13",3631
"47","2014/04/01 21:18",3495
"48","2014/04/01 21:23",3239
"49","2014/04/01 21:28",3280
"50","2014/04/01 21:33",3492
"51","2014/04/01 21:38",5200
"52","2014/04/01 21:43",4680
"53","2014/04/01 21:48",7217
"54","2014/04/01 21:53",3646
"55","2014/04/01 21:58",4602
"56","2014/04/01 22:03",3964
"57","2014/04/01 22:08",2647
"58","2014/04/01 22:13",6307
"59","2014/04/01 22:18",11769
"60","2014/04/01 22:23",4868
"61","2014/04/01 22:28",11949
"62","2014/04/01 22:33",4199
"63","2014/04/01 22:38",3760
"64","2014/04/01 22:43",3168
"65","2014/04/01 22:48",1
"66","2014/04/01 22:53",2
"67","2014/04/01 22:58",0
"68","2014/04/01 23:03",0
"69","2014/04/01 23:08",1
"70","2014/04/01 23:13",0
"71","2014/04/01 23:18",1
"72","2014/04/01 23:23",0
"73","2014/04/01 23:28",0
"74","2014/04/01 23:33",4
"75","2014/04/01 23:38",3
"76","2014/04/01 23:43",0
"77","2014/04/01 23:48",0
"78","2014/04/01 23:53",0
"79","2014/04/01 23:58",0
"80","2014/04/02 00:03",0
"81","2014/04/02 00:08",0
"82","2014/04/02 00:13",0
"83","2014/04/02 00:18",0
"84","2014/04/02 00:23",0
"85","2014/04/02 00:28",0
"86","2014/04/02 00:33",0
"87","2014/04/02 00:38",0
"88","2014/04/02 00:43",0
"89","2014/04/02 00:48",0
"90","2014/04/02 00:53",0
"91","2014/04/02 00:58",0
"92","2014/04/02 01:03",0
"93","2014/04/02 01:08",1
"94","2014/04/02 01:13",0
"95","2014/04/02 01:18",1
"96","2014/04/02 01:23",0
