LDEV_TransRate_X825-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:21:0B X"
"1","2014/04/01 17:28",212
"2","2014/04/01 17:33",275
"3","2014/04/01 17:38",331
"4","2014/04/01 17:43",179
"5","2014/04/01 17:48",247
"6","2014/04/01 17:53",174
"7","2014/04/01 17:58",153
"8","2014/04/01 18:03",150
"9","2014/04/01 18:08",336
"10","2014/04/01 18:13",189
"11","2014/04/01 18:18",117
"12","2014/04/01 18:23",160
"13","2014/04/01 18:28",190
"14","2014/04/01 18:33",136
"15","2014/04/01 18:38",358
"16","2014/04/01 18:43",273
"17","2014/04/01 18:48",215
"18","2014/04/01 18:53",185
"19","2014/04/01 18:58",121
"20","2014/04/01 19:03",224
"21","2014/04/01 19:08",211
"22","2014/04/01 19:13",137
"23","2014/04/01 19:18",129
"24","2014/04/01 19:23",145
"25","2014/04/01 19:28",153
"26","2014/04/01 19:33",320
"27","2014/04/01 19:38",227
"28","2014/04/01 19:43",163
"29","2014/04/01 19:48",150
"30","2014/04/01 19:53",147
"31","2014/04/01 19:58",188
"32","2014/04/01 20:03",312
"33","2014/04/01 20:08",257
"34","2014/04/01 20:13",393
"35","2014/04/01 20:18",180
"36","2014/04/01 20:23",206
"37","2014/04/01 20:28",177
"38","2014/04/01 20:33",215
"39","2014/04/01 20:38",265
"40","2014/04/01 20:43",183
"41","2014/04/01 20:48",169
"42","2014/04/01 20:53",147
"43","2014/04/01 20:58",136
"44","2014/04/01 21:03",131
"45","2014/04/01 21:08",188
"46","2014/04/01 21:13",112
"47","2014/04/01 21:18",104
"48","2014/04/01 21:23",56
"49","2014/04/01 21:28",72
"50","2014/04/01 21:33",237
"51","2014/04/01 21:38",369
"52","2014/04/01 21:43",279
"53","2014/04/01 21:48",308
"54","2014/04/01 21:53",247
"55","2014/04/01 21:58",25
"56","2014/04/01 22:03",362
"57","2014/04/01 22:08",2589
"58","2014/04/01 22:13",1680
"59","2014/04/01 22:18",127
"60","2014/04/01 22:23",131
"61","2014/04/01 22:28",58
"62","2014/04/01 22:33",76
"63","2014/04/01 22:38",253
"64","2014/04/01 22:43",179
"65","2014/04/01 22:48",185
"66","2014/04/01 22:53",189
"67","2014/04/01 22:58",179
"68","2014/04/01 23:03",192
"69","2014/04/01 23:08",225
"70","2014/04/01 23:13",190
"71","2014/04/01 23:18",202
"72","2014/04/01 23:23",199
"73","2014/04/01 23:28",202
"74","2014/04/01 23:33",209
"75","2014/04/01 23:38",232
"76","2014/04/01 23:43",192
"77","2014/04/01 23:48",202
"78","2014/04/01 23:53",199
"79","2014/04/01 23:58",202
"80","2014/04/02 00:03",202
"81","2014/04/02 00:08",252
"82","2014/04/02 00:13",193
"83","2014/04/02 00:18",165
"84","2014/04/02 00:23",206
"85","2014/04/02 00:28",196
"86","2014/04/02 00:33",215
"87","2014/04/02 00:38",280
"88","2014/04/02 00:43",196
"89","2014/04/02 00:48",202
"90","2014/04/02 00:53",206
"91","2014/04/02 00:58",196
"92","2014/04/02 01:03",202
"93","2014/04/02 01:08",248
"94","2014/04/02 01:13",196
"95","2014/04/02 01:18",202
"96","2014/04/02 01:23",199
