LDEV_TransRate_X829-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:21:0F X"
"1","2014/04/01 17:28",211
"2","2014/04/01 17:33",323
"3","2014/04/01 17:38",332
"4","2014/04/01 17:43",194
"5","2014/04/01 17:48",241
"6","2014/04/01 17:53",206
"7","2014/04/01 17:58",190
"8","2014/04/01 18:03",158
"9","2014/04/01 18:08",297
"10","2014/04/01 18:13",236
"11","2014/04/01 18:18",145
"12","2014/04/01 18:23",193
"13","2014/04/01 18:28",182
"14","2014/04/01 18:33",136
"15","2014/04/01 18:38",371
"16","2014/04/01 18:43",258
"17","2014/04/01 18:48",223
"18","2014/04/01 18:53",219
"19","2014/04/01 18:58",140
"20","2014/04/01 19:03",234
"21","2014/04/01 19:08",225
"22","2014/04/01 19:13",146
"23","2014/04/01 19:18",165
"24","2014/04/01 19:23",199
"25","2014/04/01 19:28",151
"26","2014/04/01 19:33",347
"27","2014/04/01 19:38",250
"28","2014/04/01 19:43",209
"29","2014/04/01 19:48",169
"30","2014/04/01 19:53",176
"31","2014/04/01 19:58",224
"32","2014/04/01 20:03",268
"33","2014/04/01 20:08",276
"34","2014/04/01 20:13",384
"35","2014/04/01 20:18",208
"36","2014/04/01 20:23",258
"37","2014/04/01 20:28",195
"38","2014/04/01 20:33",235
"39","2014/04/01 20:38",289
"40","2014/04/01 20:43",196
"41","2014/04/01 20:48",200
"42","2014/04/01 20:53",191
"43","2014/04/01 20:58",141
"44","2014/04/01 21:03",161
"45","2014/04/01 21:08",247
"46","2014/04/01 21:13",125
"47","2014/04/01 21:18",146
"48","2014/04/01 21:23",69
"49","2014/04/01 21:28",98
"50","2014/04/01 21:33",182
"51","2014/04/01 21:38",239
"52","2014/04/01 21:43",163
"53","2014/04/01 21:48",205
"54","2014/04/01 21:53",169
"55","2014/04/01 21:58",37
"56","2014/04/01 22:03",381
"57","2014/04/01 22:08",2582
"58","2014/04/01 22:13",1878
"59","2014/04/01 22:18",143
"60","2014/04/01 22:23",145
"61","2014/04/01 22:28",76
"62","2014/04/01 22:33",101
"63","2014/04/01 22:38",181
"64","2014/04/01 22:43",130
"65","2014/04/01 22:48",132
"66","2014/04/01 22:53",141
"67","2014/04/01 22:58",132
"68","2014/04/01 23:03",137
"69","2014/04/01 23:08",183
"70","2014/04/01 23:13",153
"71","2014/04/01 23:18",171
"72","2014/04/01 23:23",175
"73","2014/04/01 23:28",178
"74","2014/04/01 23:33",184
"75","2014/04/01 23:38",205
"76","2014/04/01 23:43",157
"77","2014/04/01 23:48",166
"78","2014/04/01 23:53",172
"79","2014/04/01 23:58",172
"80","2014/04/02 00:03",167
"81","2014/04/02 00:08",208
"82","2014/04/02 00:13",163
"83","2014/04/02 00:18",145
"84","2014/04/02 00:23",175
"85","2014/04/02 00:28",162
"86","2014/04/02 00:33",175
"87","2014/04/02 00:38",216
"88","2014/04/02 00:43",167
"89","2014/04/02 00:48",167
"90","2014/04/02 00:53",167
"91","2014/04/02 00:58",167
"92","2014/04/02 01:03",167
"93","2014/04/02 01:08",211
"94","2014/04/02 01:13",171
"95","2014/04/02 01:18",166
"96","2014/04/02 01:23",169
