LDEV_TransRate_X842-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:21:19 X"
"1","2014/04/01 17:28",273
"2","2014/04/01 17:33",377
"3","2014/04/01 17:38",399
"4","2014/04/01 17:43",270
"5","2014/04/01 17:48",308
"6","2014/04/01 17:53",255
"7","2014/04/01 17:58",233
"8","2014/04/01 18:03",245
"9","2014/04/01 18:08",370
"10","2014/04/01 18:13",296
"11","2014/04/01 18:18",240
"12","2014/04/01 18:23",283
"13","2014/04/01 18:28",296
"14","2014/04/01 18:33",230
"15","2014/04/01 18:38",403
"16","2014/04/01 18:43",391
"17","2014/04/01 18:48",316
"18","2014/04/01 18:53",305
"19","2014/04/01 18:58",216
"20","2014/04/01 19:03",290
"21","2014/04/01 19:08",297
"22","2014/04/01 19:13",246
"23","2014/04/01 19:18",232
"24","2014/04/01 19:23",257
"25","2014/04/01 19:28",269
"26","2014/04/01 19:33",393
"27","2014/04/01 19:38",285
"28","2014/04/01 19:43",225
"29","2014/04/01 19:48",223
"30","2014/04/01 19:53",224
"31","2014/04/01 19:58",245
"32","2014/04/01 20:03",361
"33","2014/04/01 20:08",269
"34","2014/04/01 20:13",389
"35","2014/04/01 20:18",244
"36","2014/04/01 20:23",268
"37","2014/04/01 20:28",269
"38","2014/04/01 20:33",317
"39","2014/04/01 20:38",326
"40","2014/04/01 20:43",275
"41","2014/04/01 20:48",257
"42","2014/04/01 20:53",232
"43","2014/04/01 20:58",195
"44","2014/04/01 21:03",176
"45","2014/04/01 21:08",259
"46","2014/04/01 21:13",189
"47","2014/04/01 21:18",185
"48","2014/04/01 21:23",111
"49","2014/04/01 21:28",130
"50","2014/04/01 21:33",246
"51","2014/04/01 21:38",268
"52","2014/04/01 21:43",227
"53","2014/04/01 21:48",235
"54","2014/04/01 21:53",218
"55","2014/04/01 21:58",27
"56","2014/04/01 22:03",364
"57","2014/04/01 22:08",2513
"58","2014/04/01 22:13",1609
"59","2014/04/01 22:18",118
"60","2014/04/01 22:23",103
"61","2014/04/01 22:28",32
"62","2014/04/01 22:33",58
"63","2014/04/01 22:38",193
"64","2014/04/01 22:43",135
"65","2014/04/01 22:48",140
"66","2014/04/01 22:53",153
"67","2014/04/01 22:58",136
"68","2014/04/01 23:03",146
"69","2014/04/01 23:08",171
"70","2014/04/01 23:13",144
"71","2014/04/01 23:18",154
"72","2014/04/01 23:23",151
"73","2014/04/01 23:28",155
"74","2014/04/01 23:33",160
"75","2014/04/01 23:38",183
"76","2014/04/01 23:43",159
"77","2014/04/01 23:48",169
"78","2014/04/01 23:53",161
"79","2014/04/01 23:58",158
"80","2014/04/02 00:03",153
"81","2014/04/02 00:08",199
"82","2014/04/02 00:13",153
"83","2014/04/02 00:18",128
"84","2014/04/02 00:23",160
"85","2014/04/02 00:28",148
"86","2014/04/02 00:33",162
"87","2014/04/02 00:38",208
"88","2014/04/02 00:43",149
"89","2014/04/02 00:48",153
"90","2014/04/02 00:53",160
"91","2014/04/02 00:58",150
"92","2014/04/02 01:03",152
"93","2014/04/02 01:08",184
"94","2014/04/02 01:13",152
"95","2014/04/02 01:18",152
"96","2014/04/02 01:23",151
