LDEV_TransRate_X845-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:21:1C X"
"1","2014/04/01 17:28",285
"2","2014/04/01 17:33",380
"3","2014/04/01 17:38",407
"4","2014/04/01 17:43",271
"5","2014/04/01 17:48",325
"6","2014/04/01 17:53",225
"7","2014/04/01 17:58",195
"8","2014/04/01 18:03",217
"9","2014/04/01 18:08",360
"10","2014/04/01 18:13",266
"11","2014/04/01 18:18",182
"12","2014/04/01 18:23",225
"13","2014/04/01 18:28",240
"14","2014/04/01 18:33",183
"15","2014/04/01 18:38",435
"16","2014/04/01 18:43",338
"17","2014/04/01 18:48",300
"18","2014/04/01 18:53",274
"19","2014/04/01 18:58",168
"20","2014/04/01 19:03",292
"21","2014/04/01 19:08",278
"22","2014/04/01 19:13",188
"23","2014/04/01 19:18",184
"24","2014/04/01 19:23",191
"25","2014/04/01 19:28",217
"26","2014/04/01 19:33",343
"27","2014/04/01 19:38",271
"28","2014/04/01 19:43",194
"29","2014/04/01 19:48",177
"30","2014/04/01 19:53",187
"31","2014/04/01 19:58",198
"32","2014/04/01 20:03",318
"33","2014/04/01 20:08",333
"34","2014/04/01 20:13",422
"35","2014/04/01 20:18",249
"36","2014/04/01 20:23",279
"37","2014/04/01 20:28",251
"38","2014/04/01 20:33",302
"39","2014/04/01 20:38",330
"40","2014/04/01 20:43",246
"41","2014/04/01 20:48",232
"42","2014/04/01 20:53",232
"43","2014/04/01 20:58",182
"44","2014/04/01 21:03",183
"45","2014/04/01 21:08",258
"46","2014/04/01 21:13",139
"47","2014/04/01 21:18",162
"48","2014/04/01 21:23",101
"49","2014/04/01 21:28",137
"50","2014/04/01 21:33",282
"51","2014/04/01 21:38",305
"52","2014/04/01 21:43",176
"53","2014/04/01 21:48",253
"54","2014/04/01 21:53",231
"55","2014/04/01 21:58",96
"56","2014/04/01 22:03",377
"57","2014/04/01 22:08",2623
"58","2014/04/01 22:13",1778
"59","2014/04/01 22:18",190
"60","2014/04/01 22:23",177
"61","2014/04/01 22:28",114
"62","2014/04/01 22:33",145
"63","2014/04/01 22:38",332
"64","2014/04/01 22:43",254
"65","2014/04/01 22:48",258
"66","2014/04/01 22:53",267
"67","2014/04/01 22:58",250
"68","2014/04/01 23:03",269
"69","2014/04/01 23:08",303
"70","2014/04/01 23:13",270
"71","2014/04/01 23:18",277
"72","2014/04/01 23:23",273
"73","2014/04/01 23:28",276
"74","2014/04/01 23:33",286
"75","2014/04/01 23:38",326
"76","2014/04/01 23:43",267
"77","2014/04/01 23:48",287
"78","2014/04/01 23:53",278
"79","2014/04/01 23:58",278
"80","2014/04/02 00:03",282
"81","2014/04/02 00:08",343
"82","2014/04/02 00:13",248
"83","2014/04/02 00:18",264
"84","2014/04/02 00:23",282
"85","2014/04/02 00:28",270
"86","2014/04/02 00:33",292
"87","2014/04/02 00:38",366
"88","2014/04/02 00:43",273
"89","2014/04/02 00:48",278
"90","2014/04/02 00:53",284
"91","2014/04/02 00:58",269
"92","2014/04/02 01:03",282
"93","2014/04/02 01:08",332
"94","2014/04/02 01:13",274
"95","2014/04/02 01:18",281
"96","2014/04/02 01:23",292
