LDEV_Write_Hit_11-12.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:16:13"
"1","2014/04/01 17:28",97
"2","2014/04/01 17:33",98
"3","2014/04/01 17:38",97
"4","2014/04/01 17:43",97
"5","2014/04/01 17:48",98
"6","2014/04/01 17:53",97
"7","2014/04/01 17:58",96
"8","2014/04/01 18:03",96
"9","2014/04/01 18:08",98
"10","2014/04/01 18:13",92
"11","2014/04/01 18:18",98
"12","2014/04/01 18:23",97
"13","2014/04/01 18:28",100
"14","2014/04/01 18:33",85
"15","2014/04/01 18:38",98
"16","2014/04/01 18:43",100
"17","2014/04/01 18:48",100
"18","2014/04/01 18:53",100
"19","2014/04/01 18:58",98
"20","2014/04/01 19:03",13
"21","2014/04/01 19:08",100
"22","2014/04/01 19:13",98
"23","2014/04/01 19:18",100
"24","2014/04/01 19:23",97
"25","2014/04/01 19:28",100
"26","2014/04/01 19:33",92
"27","2014/04/01 19:38",97
"28","2014/04/01 19:43",100
"29","2014/04/01 19:48",100
"30","2014/04/01 19:53",100
"31","2014/04/01 19:58",100
"32","2014/04/01 20:03",97
"33","2014/04/01 20:08",95
"34","2014/04/01 20:13",93
"35","2014/04/01 20:18",96
"36","2014/04/01 20:23",96
"37","2014/04/01 20:28",100
"38","2014/04/01 20:33",98
"39","2014/04/01 20:38",98
"40","2014/04/01 20:43",90
"41","2014/04/01 20:48",96
"42","2014/04/01 20:53",94
"43","2014/04/01 20:58",94
"44","2014/04/01 21:03",100
"45","2014/04/01 21:08",92
"46","2014/04/01 21:13",100
"47","2014/04/01 21:18",100
"48","2014/04/01 21:23",100
"49","2014/04/01 21:28",97
"50","2014/04/01 21:33",100
"51","2014/04/01 21:38",100
"52","2014/04/01 21:43",100
"53","2014/04/01 21:48",100
"54","2014/04/01 21:53",100
"55","2014/04/01 21:58",100
"56","2014/04/01 22:03",100
"57","2014/04/01 22:08",100
"58","2014/04/01 22:13",100
"59","2014/04/01 22:18",100
"60","2014/04/01 22:23",97
"61","2014/04/01 22:28",100
"62","2014/04/01 22:33",100
"63","2014/04/01 22:38",97
"64","2014/04/01 22:43",100
"65","2014/04/01 22:48",100
"66","2014/04/01 22:53",97
"67","2014/04/01 22:58",100
"68","2014/04/01 23:03",100
"69","2014/04/01 23:08",100
"70","2014/04/01 23:13",100
"71","2014/04/01 23:18",96
"72","2014/04/01 23:23",100
"73","2014/04/01 23:28",100
"74","2014/04/01 23:33",100
"75","2014/04/01 23:38",100
"76","2014/04/01 23:43",100
"77","2014/04/01 23:48",100
"78","2014/04/01 23:53",100
"79","2014/04/01 23:58",77
"80","2014/04/02 00:03",95
"81","2014/04/02 00:08",72
"82","2014/04/02 00:13",100
"83","2014/04/02 00:18",100
"84","2014/04/02 00:23",70
"85","2014/04/02 00:28",96
"86","2014/04/02 00:33",87
"87","2014/04/02 00:38",96
"88","2014/04/02 00:43",83
"89","2014/04/02 00:48",100
"90","2014/04/02 00:53",100
"91","2014/04/02 00:58",100
"92","2014/04/02 01:03",29
"93","2014/04/02 01:08",97
"94","2014/04/02 01:13",100
"95","2014/04/02 01:18",100
"96","2014/04/02 01:23",100
