LDEV_Write_Hit_3-7.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:20:2A","00:20:2B"
"1","2014/04/01 17:28",0,86
"2","2014/04/01 17:33",0,85
"3","2014/04/01 17:38",0,85
"4","2014/04/01 17:43",0,87
"5","2014/04/01 17:48",0,80
"6","2014/04/01 17:53",0,85
"7","2014/04/01 17:58",0,83
"8","2014/04/01 18:03",0,81
"9","2014/04/01 18:08",0,85
"10","2014/04/01 18:13",0,87
"11","2014/04/01 18:18",0,80
"12","2014/04/01 18:23",0,84
"13","2014/04/01 18:28",0,86
"14","2014/04/01 18:33",0,83
"15","2014/04/01 18:38",0,80
"16","2014/04/01 18:43",0,86
"17","2014/04/01 18:48",0,78
"18","2014/04/01 18:53",0,87
"19","2014/04/01 18:58",0,83
"20","2014/04/01 19:03",0,82
"21","2014/04/01 19:08",0,85
"22","2014/04/01 19:13",0,85
"23","2014/04/01 19:18",0,79
"24","2014/04/01 19:23",0,83
"25","2014/04/01 19:28",0,85
"26","2014/04/01 19:33",0,82
"27","2014/04/01 19:38",0,84
"28","2014/04/01 19:43",0,87
"29","2014/04/01 19:48",0,81
"30","2014/04/01 19:53",0,86
"31","2014/04/01 19:58",0,84
"32","2014/04/01 20:03",0,84
"33","2014/04/01 20:08",0,85
"34","2014/04/01 20:13",0,86
"35","2014/04/01 20:18",0,83
"36","2014/04/01 20:23",0,86
"37","2014/04/01 20:28",0,86
"38","2014/04/01 20:33",0,84
"39","2014/04/01 20:38",0,85
"40","2014/04/01 20:43",0,87
"41","2014/04/01 20:48",0,84
"42","2014/04/01 20:53",0,85
"43","2014/04/01 20:58",0,86
"44","2014/04/01 21:03",0,85
"45","2014/04/01 21:08",0,85
"46","2014/04/01 21:13",0,86
"47","2014/04/01 21:18",0,83
"48","2014/04/01 21:23",0,86
"49","2014/04/01 21:28",0,85
"50","2014/04/01 21:33",0,83
"51","2014/04/01 21:38",0,88
"52","2014/04/01 21:43",0,85
"53","2014/04/01 21:48",0,84
"54","2014/04/01 21:53",0,87
"55","2014/04/01 21:58",0,84
"56","2014/04/01 22:03",0,84
"57","2014/04/01 22:08",0,87
"58","2014/04/01 22:13",0,85
"59","2014/04/01 22:18",0,83
"60","2014/04/01 22:23",0,87
"61","2014/04/01 22:28",0,85
"62","2014/04/01 22:33",0,85
"63","2014/04/01 22:38",0,84
"64","2014/04/01 22:43",0,87
"65","2014/04/01 22:48",0,82
"66","2014/04/01 22:53",0,87
"67","2014/04/01 22:58",0,84
"68","2014/04/01 23:03",0,66
"69","2014/04/01 23:08",0,85
"70","2014/04/01 23:13",0,86
"71","2014/04/01 23:18",0,81
"72","2014/04/01 23:23",0,82
"73","2014/04/01 23:28",0,83
"74","2014/04/01 23:33",0,80
"75","2014/04/01 23:38",0,84
"76","2014/04/01 23:43",0,87
"77","2014/04/01 23:48",0,79
"78","2014/04/01 23:53",0,86
"79","2014/04/01 23:58",0,85
"80","2014/04/02 00:03",0,83
"81","2014/04/02 00:08",0,83
"82","2014/04/02 00:13",0,86
"83","2014/04/02 00:18",0,83
"84","2014/04/02 00:23",0,86
"85","2014/04/02 00:28",0,83
"86","2014/04/02 00:33",0,82
"87","2014/04/02 00:38",0,85
"88","2014/04/02 00:43",0,85
"89","2014/04/02 00:48",0,81
"90","2014/04/02 00:53",0,82
"91","2014/04/02 00:58",0,85
"92","2014/04/02 01:03",0,82
"93","2014/04/02 01:08",0,83
"94","2014/04/02 01:13",0,86
"95","2014/04/02 01:18",0,81
"96","2014/04/02 01:23",0,81
