LDEV_Write_Hit_X197-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:5D:00 X"
"1","2014/04/01 17:28",78
"2","2014/04/01 17:33",27
"3","2014/04/01 17:38",79
"4","2014/04/01 17:43",47
"5","2014/04/01 17:48",0
"6","2014/04/01 17:53",45
"7","2014/04/01 17:58",44
"8","2014/04/01 18:03",85
"9","2014/04/01 18:08",21
"10","2014/04/01 18:13",78
"11","2014/04/01 18:18",62
"12","2014/04/01 18:23",0
"13","2014/04/01 18:28",55
"14","2014/04/01 18:33",36
"15","2014/04/01 18:38",41
"16","2014/04/01 18:43",76
"17","2014/04/01 18:48",41
"18","2014/04/01 18:53",50
"19","2014/04/01 18:58",39
"20","2014/04/01 19:03",79
"21","2014/04/01 19:08",39
"22","2014/04/01 19:13",56
"23","2014/04/01 19:18",18
"24","2014/04/01 19:23",78
"25","2014/04/01 19:28",37
"26","2014/04/01 19:33",0
"27","2014/04/01 19:38",30
"28","2014/04/01 19:43",14
"29","2014/04/01 19:48",78
"30","2014/04/01 19:53",22
"31","2014/04/01 19:58",34
"32","2014/04/01 20:03",0
"33","2014/04/01 20:08",29
"34","2014/04/01 20:13",0
"35","2014/04/01 20:18",47
"36","2014/04/01 20:23",26
"37","2014/04/01 20:28",78
"38","2014/04/01 20:33",36
"39","2014/04/01 20:38",0
"40","2014/04/01 20:43",46
"41","2014/04/01 20:48",0
"42","2014/04/01 20:53",45
"43","2014/04/01 20:58",28
"44","2014/04/01 21:03",77
"45","2014/04/01 21:08",40
"46","2014/04/01 21:13",0
"47","2014/04/01 21:18",43
"48","2014/04/01 21:23",21
"49","2014/04/01 21:28",77
"50","2014/04/01 21:33",29
"51","2014/04/01 21:38",0
"52","2014/04/01 21:43",51
"53","2014/04/01 21:48",0
"54","2014/04/01 21:53",54
"55","2014/04/01 21:58",55
"56","2014/04/01 22:03",0
"57","2014/04/01 22:08",37
"58","2014/04/01 22:13",81
"59","2014/04/01 22:18",34
"60","2014/04/01 22:23",42
"61","2014/04/01 22:28",86
"62","2014/04/01 22:33",37
"63","2014/04/01 22:38",82
"64","2014/04/01 22:43",36
"65","2014/04/01 22:48",42
"66","2014/04/01 22:53",90
"67","2014/04/01 22:58",29
"68","2014/04/01 23:03",46
"69","2014/04/01 23:08",44
"70","2014/04/01 23:13",72
"71","2014/04/01 23:18",19
"72","2014/04/01 23:23",77
"73","2014/04/01 23:28",17
"74","2014/04/01 23:33",78
"75","2014/04/01 23:38",17
"76","2014/04/01 23:43",44
"77","2014/04/01 23:48",79
"78","2014/04/01 23:53",17
"79","2014/04/01 23:58",78
"80","2014/04/02 00:03",18
"81","2014/04/02 00:08",39
"82","2014/04/02 00:13",85
"83","2014/04/02 00:18",15
"84","2014/04/02 00:23",78
"85","2014/04/02 00:28",20
"86","2014/04/02 00:33",78
"87","2014/04/02 00:38",40
"88","2014/04/02 00:43",20
"89","2014/04/02 00:48",79
"90","2014/04/02 00:53",22
"91","2014/04/02 00:58",77
"92","2014/04/02 01:03",22
"93","2014/04/02 01:08",41
"94","2014/04/02 01:13",78
"95","2014/04/02 01:18",23
"96","2014/04/02 01:23",78
