LDEV_Write_Hit_X442-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:4C X"
"1","2014/04/01 17:28",96
"2","2014/04/01 17:33",96
"3","2014/04/01 17:38",82
"4","2014/04/01 17:43",48
"5","2014/04/01 17:48",67
"6","2014/04/01 17:53",81
"7","2014/04/01 17:58",34
"8","2014/04/01 18:03",96
"9","2014/04/01 18:08",44
"10","2014/04/01 18:13",91
"11","2014/04/01 18:18",93
"12","2014/04/01 18:23",95
"13","2014/04/01 18:28",94
"14","2014/04/01 18:33",70
"15","2014/04/01 18:38",56
"16","2014/04/01 18:43",52
"17","2014/04/01 18:48",81
"18","2014/04/01 18:53",65
"19","2014/04/01 18:58",80
"20","2014/04/01 19:03",52
"21","2014/04/01 19:08",47
"22","2014/04/01 19:13",60
"23","2014/04/01 19:18",45
"24","2014/04/01 19:23",59
"25","2014/04/01 19:28",68
"26","2014/04/01 19:33",84
"27","2014/04/01 19:38",79
"28","2014/04/01 19:43",21
"29","2014/04/01 19:48",31
"30","2014/04/01 19:53",30
"31","2014/04/01 19:58",74
"32","2014/04/01 20:03",83
"33","2014/04/01 20:08",63
"34","2014/04/01 20:13",82
"35","2014/04/01 20:18",66
"36","2014/04/01 20:23",41
"37","2014/04/01 20:28",54
"38","2014/04/01 20:33",42
"39","2014/04/01 20:38",43
"40","2014/04/01 20:43",43
"41","2014/04/01 20:48",42
"42","2014/04/01 20:53",42
"43","2014/04/01 20:58",39
"44","2014/04/01 21:03",28
"45","2014/04/01 21:08",29
"46","2014/04/01 21:13",15
"47","2014/04/01 21:18",16
"48","2014/04/01 21:23",7
"49","2014/04/01 21:28",8
"50","2014/04/01 21:33",18
"51","2014/04/01 21:38",50
"52","2014/04/01 21:43",43
"53","2014/04/01 21:48",55
"54","2014/04/01 21:53",33
"55","2014/04/01 21:58",61
"56","2014/04/01 22:03",83
"57","2014/04/01 22:08",64
"58","2014/04/01 22:13",50
"59","2014/04/01 22:18",73
"60","2014/04/01 22:23",67
"61","2014/04/01 22:28",85
"62","2014/04/01 22:33",82
"63","2014/04/01 22:38",63
"64","2014/04/01 22:43",45
"65","2014/04/01 22:48",53
"66","2014/04/01 22:53",95
"67","2014/04/01 22:58",58
"68","2014/04/01 23:03",79
"69","2014/04/01 23:08",71
"70","2014/04/01 23:13",81
"71","2014/04/01 23:18",79
"72","2014/04/01 23:23",81
"73","2014/04/01 23:28",83
"74","2014/04/01 23:33",82
"75","2014/04/01 23:38",81
"76","2014/04/01 23:43",84
"77","2014/04/01 23:48",76
"78","2014/04/01 23:53",80
"79","2014/04/01 23:58",78
"80","2014/04/02 00:03",78
"81","2014/04/02 00:08",74
"82","2014/04/02 00:13",86
"83","2014/04/02 00:18",85
"84","2014/04/02 00:23",80
"85","2014/04/02 00:28",82
"86","2014/04/02 00:33",81
"87","2014/04/02 00:38",81
"88","2014/04/02 00:43",79
"89","2014/04/02 00:48",73
"90","2014/04/02 00:53",84
"91","2014/04/02 00:58",54
"92","2014/04/02 01:03",86
"93","2014/04/02 01:08",64
"94","2014/04/02 01:13",53
"95","2014/04/02 01:18",40
"96","2014/04/02 01:23",68
