LDEV_Write_Hit_X496-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:E7 X"
"1","2014/04/01 17:28",70
"2","2014/04/01 17:33",73
"3","2014/04/01 17:38",47
"4","2014/04/01 17:43",72
"5","2014/04/01 17:48",45
"6","2014/04/01 17:53",59
"7","2014/04/01 17:58",65
"8","2014/04/01 18:03",67
"9","2014/04/01 18:08",46
"10","2014/04/01 18:13",95
"11","2014/04/01 18:18",51
"12","2014/04/01 18:23",31
"13","2014/04/01 18:28",46
"14","2014/04/01 18:33",49
"15","2014/04/01 18:38",40
"16","2014/04/01 18:43",97
"17","2014/04/01 18:48",50
"18","2014/04/01 18:53",40
"19","2014/04/01 18:58",57
"20","2014/04/01 19:03",94
"21","2014/04/01 19:08",47
"22","2014/04/01 19:13",88
"23","2014/04/01 19:18",54
"24","2014/04/01 19:23",37
"25","2014/04/01 19:28",58
"26","2014/04/01 19:33",37
"27","2014/04/01 19:38",39
"28","2014/04/01 19:43",62
"29","2014/04/01 19:48",28
"30","2014/04/01 19:53",34
"31","2014/04/01 19:58",55
"32","2014/04/01 20:03",90
"33","2014/04/01 20:08",45
"34","2014/04/01 20:13",52
"35","2014/04/01 20:18",33
"36","2014/04/01 20:23",41
"37","2014/04/01 20:28",50
"38","2014/04/01 20:33",44
"39","2014/04/01 20:38",30
"40","2014/04/01 20:43",56
"41","2014/04/01 20:48",33
"42","2014/04/01 20:53",45
"43","2014/04/01 20:58",51
"44","2014/04/01 21:03",93
"45","2014/04/01 21:08",44
"46","2014/04/01 21:13",50
"47","2014/04/01 21:18",22
"48","2014/04/01 21:23",17
"49","2014/04/01 21:28",69
"50","2014/04/01 21:33",51
"51","2014/04/01 21:38",31
"52","2014/04/01 21:43",82
"53","2014/04/01 21:48",47
"54","2014/04/01 21:53",52
"55","2014/04/01 21:58",62
"56","2014/04/01 22:03",86
"57","2014/04/01 22:08",73
"58","2014/04/01 22:13",86
"59","2014/04/01 22:18",78
"60","2014/04/01 22:23",76
"61","2014/04/01 22:28",81
"62","2014/04/01 22:33",67
"63","2014/04/01 22:38",57
"64","2014/04/01 22:43",76
"65","2014/04/01 22:48",81
"66","2014/04/01 22:53",81
"67","2014/04/01 22:58",83
"68","2014/04/01 23:03",79
"69","2014/04/01 23:08",78
"70","2014/04/01 23:13",76
"71","2014/04/01 23:18",79
"72","2014/04/01 23:23",80
"73","2014/04/01 23:28",84
"74","2014/04/01 23:33",78
"75","2014/04/01 23:38",82
"76","2014/04/01 23:43",79
"77","2014/04/01 23:48",82
"78","2014/04/01 23:53",77
"79","2014/04/01 23:58",81
"80","2014/04/02 00:03",48
"81","2014/04/02 00:08",61
"82","2014/04/02 00:13",59
"83","2014/04/02 00:18",56
"84","2014/04/02 00:23",62
"85","2014/04/02 00:28",61
"86","2014/04/02 00:33",52
"87","2014/04/02 00:38",60
"88","2014/04/02 00:43",74
"89","2014/04/02 00:48",45
"90","2014/04/02 00:53",67
"91","2014/04/02 00:58",67
"92","2014/04/02 01:03",42
"93","2014/04/02 01:08",49
"94","2014/04/02 01:13",58
"95","2014/04/02 01:18",77
"96","2014/04/02 01:23",59
