LDEV_Write_Hit_X500-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:EB X"
"1","2014/04/01 17:28",30
"2","2014/04/01 17:33",41
"3","2014/04/01 17:38",34
"4","2014/04/01 17:43",52
"5","2014/04/01 17:48",56
"6","2014/04/01 17:53",56
"7","2014/04/01 17:58",40
"8","2014/04/01 18:03",35
"9","2014/04/01 18:08",61
"10","2014/04/01 18:13",96
"11","2014/04/01 18:18",44
"12","2014/04/01 18:23",40
"13","2014/04/01 18:28",44
"14","2014/04/01 18:33",60
"15","2014/04/01 18:38",49
"16","2014/04/01 18:43",92
"17","2014/04/01 18:48",85
"18","2014/04/01 18:53",97
"19","2014/04/01 18:58",90
"20","2014/04/01 19:03",58
"21","2014/04/01 19:08",41
"22","2014/04/01 19:13",40
"23","2014/04/01 19:18",80
"24","2014/04/01 19:23",44
"25","2014/04/01 19:28",93
"26","2014/04/01 19:33",49
"27","2014/04/01 19:38",42
"28","2014/04/01 19:43",91
"29","2014/04/01 19:48",89
"30","2014/04/01 19:53",94
"31","2014/04/01 19:58",91
"32","2014/04/01 20:03",91
"33","2014/04/01 20:08",42
"34","2014/04/01 20:13",31
"35","2014/04/01 20:18",42
"36","2014/04/01 20:23",40
"37","2014/04/01 20:28",30
"38","2014/04/01 20:33",52
"39","2014/04/01 20:38",36
"40","2014/04/01 20:43",35
"41","2014/04/01 20:48",45
"42","2014/04/01 20:53",33
"43","2014/04/01 20:58",40
"44","2014/04/01 21:03",70
"45","2014/04/01 21:08",40
"46","2014/04/01 21:13",79
"47","2014/04/01 21:18",63
"48","2014/04/01 21:23",72
"49","2014/04/01 21:28",65
"50","2014/04/01 21:33",67
"51","2014/04/01 21:38",66
"52","2014/04/01 21:43",66
"53","2014/04/01 21:48",64
"54","2014/04/01 21:53",50
"55","2014/04/01 21:58",38
"56","2014/04/01 22:03",91
"57","2014/04/01 22:08",62
"58","2014/04/01 22:13",81
"59","2014/04/01 22:18",83
"60","2014/04/01 22:23",51
"61","2014/04/01 22:28",61
"62","2014/04/01 22:33",59
"63","2014/04/01 22:38",63
"64","2014/04/01 22:43",60
"65","2014/04/01 22:48",79
"66","2014/04/01 22:53",81
"67","2014/04/01 22:58",83
"68","2014/04/01 23:03",76
"69","2014/04/01 23:08",73
"70","2014/04/01 23:13",75
"71","2014/04/01 23:18",79
"72","2014/04/01 23:23",80
"73","2014/04/01 23:28",85
"74","2014/04/01 23:33",78
"75","2014/04/01 23:38",82
"76","2014/04/01 23:43",81
"77","2014/04/01 23:48",82
"78","2014/04/01 23:53",79
"79","2014/04/01 23:58",81
"80","2014/04/02 00:03",56
"81","2014/04/02 00:08",77
"82","2014/04/02 00:13",61
"83","2014/04/02 00:18",47
"84","2014/04/02 00:23",65
"85","2014/04/02 00:28",51
"86","2014/04/02 00:33",46
"87","2014/04/02 00:38",57
"88","2014/04/02 00:43",72
"89","2014/04/02 00:48",20
"90","2014/04/02 00:53",68
"91","2014/04/02 00:58",61
"92","2014/04/02 01:03",48
"93","2014/04/02 01:08",56
"94","2014/04/02 01:13",56
"95","2014/04/02 01:18",80
"96","2014/04/02 01:23",43
