LDEV_Write_Hit_X533-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:02:FB X"
"1","2014/04/01 17:28",80
"2","2014/04/01 17:33",86
"3","2014/04/01 17:38",84
"4","2014/04/01 17:43",79
"5","2014/04/01 17:48",84
"6","2014/04/01 17:53",84
"7","2014/04/01 17:58",85
"8","2014/04/01 18:03",83
"9","2014/04/01 18:08",80
"10","2014/04/01 18:13",86
"11","2014/04/01 18:18",88
"12","2014/04/01 18:23",85
"13","2014/04/01 18:28",84
"14","2014/04/01 18:33",83
"15","2014/04/01 18:38",83
"16","2014/04/01 18:43",85
"17","2014/04/01 18:48",82
"18","2014/04/01 18:53",84
"19","2014/04/01 18:58",84
"20","2014/04/01 19:03",82
"21","2014/04/01 19:08",81
"22","2014/04/01 19:13",79
"23","2014/04/01 19:18",80
"24","2014/04/01 19:23",80
"25","2014/04/01 19:28",76
"26","2014/04/01 19:33",76
"27","2014/04/01 19:38",84
"28","2014/04/01 19:43",62
"29","2014/04/01 19:48",69
"30","2014/04/01 19:53",75
"31","2014/04/01 19:58",74
"32","2014/04/01 20:03",74
"33","2014/04/01 20:08",77
"34","2014/04/01 20:13",74
"35","2014/04/01 20:18",82
"36","2014/04/01 20:23",82
"37","2014/04/01 20:28",78
"38","2014/04/01 20:33",81
"39","2014/04/01 20:38",80
"40","2014/04/01 20:43",80
"41","2014/04/01 20:48",79
"42","2014/04/01 20:53",82
"43","2014/04/01 20:58",81
"44","2014/04/01 21:03",78
"45","2014/04/01 21:08",78
"46","2014/04/01 21:13",78
"47","2014/04/01 21:18",79
"48","2014/04/01 21:23",81
"49","2014/04/01 21:28",80
"50","2014/04/01 21:33",80
"51","2014/04/01 21:38",83
"52","2014/04/01 21:43",79
"53","2014/04/01 21:48",79
"54","2014/04/01 21:53",80
"55","2014/04/01 21:58",80
"56","2014/04/01 22:03",79
"57","2014/04/01 22:08",71
"58","2014/04/01 22:13",76
"59","2014/04/01 22:18",78
"60","2014/04/01 22:23",84
"61","2014/04/01 22:28",77
"62","2014/04/01 22:33",77
"63","2014/04/01 22:38",79
"64","2014/04/01 22:43",79
"65","2014/04/01 22:48",81
"66","2014/04/01 22:53",80
"67","2014/04/01 22:58",76
"68","2014/04/01 23:03",64
"69","2014/04/01 23:08",67
"70","2014/04/01 23:13",65
"71","2014/04/01 23:18",65
"72","2014/04/01 23:23",76
"73","2014/04/01 23:28",74
"74","2014/04/01 23:33",73
"75","2014/04/01 23:38",71
"76","2014/04/01 23:43",75
"77","2014/04/01 23:48",72
"78","2014/04/01 23:53",64
"79","2014/04/01 23:58",72
"80","2014/04/02 00:03",70
"81","2014/04/02 00:08",69
"82","2014/04/02 00:13",77
"83","2014/04/02 00:18",73
"84","2014/04/02 00:23",78
"85","2014/04/02 00:28",80
"86","2014/04/02 00:33",80
"87","2014/04/02 00:38",77
"88","2014/04/02 00:43",76
"89","2014/04/02 00:48",78
"90","2014/04/02 00:53",79
"91","2014/04/02 00:58",77
"92","2014/04/02 01:03",78
"93","2014/04/02 01:08",77
"94","2014/04/02 01:13",80
"95","2014/04/02 01:18",81
"96","2014/04/02 01:23",80
