LDEV_Write_Hit_X580-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:0C:07 X"
"1","2014/04/01 17:28",62
"2","2014/04/01 17:33",84
"3","2014/04/01 17:38",75
"4","2014/04/01 17:43",78
"5","2014/04/01 17:48",74
"6","2014/04/01 17:53",67
"7","2014/04/01 17:58",74
"8","2014/04/01 18:03",66
"9","2014/04/01 18:08",49
"10","2014/04/01 18:13",91
"11","2014/04/01 18:18",92
"12","2014/04/01 18:23",88
"13","2014/04/01 18:28",75
"14","2014/04/01 18:33",87
"15","2014/04/01 18:38",42
"16","2014/04/01 18:43",88
"17","2014/04/01 18:48",94
"18","2014/04/01 18:53",94
"19","2014/04/01 18:58",91
"20","2014/04/01 19:03",47
"21","2014/04/01 19:08",51
"22","2014/04/01 19:13",51
"23","2014/04/01 19:18",70
"24","2014/04/01 19:23",89
"25","2014/04/01 19:28",61
"26","2014/04/01 19:33",81
"27","2014/04/01 19:38",54
"28","2014/04/01 19:43",20
"29","2014/04/01 19:48",36
"30","2014/04/01 19:53",74
"31","2014/04/01 19:58",44
"32","2014/04/01 20:03",68
"33","2014/04/01 20:08",47
"34","2014/04/01 20:13",59
"35","2014/04/01 20:18",39
"36","2014/04/01 20:23",37
"37","2014/04/01 20:28",41
"38","2014/04/01 20:33",42
"39","2014/04/01 20:38",39
"40","2014/04/01 20:43",46
"41","2014/04/01 20:48",41
"42","2014/04/01 20:53",36
"43","2014/04/01 20:58",37
"44","2014/04/01 21:03",28
"45","2014/04/01 21:08",35
"46","2014/04/01 21:13",34
"47","2014/04/01 21:18",22
"48","2014/04/01 21:23",3
"49","2014/04/01 21:28",12
"50","2014/04/01 21:33",44
"51","2014/04/01 21:38",93
"52","2014/04/01 21:43",92
"53","2014/04/01 21:48",89
"54","2014/04/01 21:53",25
"55","2014/04/01 21:58",91
"56","2014/04/01 22:03",90
"57","2014/04/01 22:08",65
"58","2014/04/01 22:13",83
"59","2014/04/01 22:18",90
"60","2014/04/01 22:23",80
"61","2014/04/01 22:28",84
"62","2014/04/01 22:33",79
"63","2014/04/01 22:38",45
"64","2014/04/01 22:43",55
"65","2014/04/01 22:48",58
"66","2014/04/01 22:53",76
"67","2014/04/01 22:58",34
"68","2014/04/01 23:03",85
"69","2014/04/01 23:08",73
"70","2014/04/01 23:13",74
"71","2014/04/01 23:18",80
"72","2014/04/01 23:23",82
"73","2014/04/01 23:28",85
"74","2014/04/01 23:33",83
"75","2014/04/01 23:38",80
"76","2014/04/01 23:43",87
"77","2014/04/01 23:48",77
"78","2014/04/01 23:53",68
"79","2014/04/01 23:58",79
"80","2014/04/02 00:03",76
"81","2014/04/02 00:08",74
"82","2014/04/02 00:13",82
"83","2014/04/02 00:18",83
"84","2014/04/02 00:23",83
"85","2014/04/02 00:28",85
"86","2014/04/02 00:33",82
"87","2014/04/02 00:38",84
"88","2014/04/02 00:43",79
"89","2014/04/02 00:48",80
"90","2014/04/02 00:53",85
"91","2014/04/02 00:58",54
"92","2014/04/02 01:03",61
"93","2014/04/02 01:08",48
"94","2014/04/02 01:13",78
"95","2014/04/02 01:18",73
"96","2014/04/02 01:23",81
