LDEV_Write_Hit_X601-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:4B X"
"1","2014/04/01 17:28",26
"2","2014/04/01 17:33",50
"3","2014/04/01 17:38",41
"4","2014/04/01 17:43",45
"5","2014/04/01 17:48",46
"6","2014/04/01 17:53",66
"7","2014/04/01 17:58",95
"8","2014/04/01 18:03",95
"9","2014/04/01 18:08",48
"10","2014/04/01 18:13",57
"11","2014/04/01 18:18",52
"12","2014/04/01 18:23",51
"13","2014/04/01 18:28",30
"14","2014/04/01 18:33",83
"15","2014/04/01 18:38",48
"16","2014/04/01 18:43",53
"17","2014/04/01 18:48",39
"18","2014/04/01 18:53",75
"19","2014/04/01 18:58",55
"20","2014/04/01 19:03",46
"21","2014/04/01 19:08",47
"22","2014/04/01 19:13",86
"23","2014/04/01 19:18",63
"24","2014/04/01 19:23",94
"25","2014/04/01 19:28",95
"26","2014/04/01 19:33",85
"27","2014/04/01 19:38",59
"28","2014/04/01 19:43",21
"29","2014/04/01 19:48",34
"30","2014/04/01 19:53",33
"31","2014/04/01 19:58",52
"32","2014/04/01 20:03",81
"33","2014/04/01 20:08",62
"34","2014/04/01 20:13",66
"35","2014/04/01 20:18",59
"36","2014/04/01 20:23",39
"37","2014/04/01 20:28",42
"38","2014/04/01 20:33",37
"39","2014/04/01 20:38",33
"40","2014/04/01 20:43",45
"41","2014/04/01 20:48",35
"42","2014/04/01 20:53",42
"43","2014/04/01 20:58",38
"44","2014/04/01 21:03",62
"45","2014/04/01 21:08",34
"46","2014/04/01 21:13",12
"47","2014/04/01 21:18",10
"48","2014/04/01 21:23",6
"49","2014/04/01 21:28",5
"50","2014/04/01 21:33",15
"51","2014/04/01 21:38",35
"52","2014/04/01 21:43",83
"53","2014/04/01 21:48",97
"54","2014/04/01 21:53",97
"55","2014/04/01 21:58",67
"56","2014/04/01 22:03",94
"57","2014/04/01 22:08",63
"58","2014/04/01 22:13",52
"59","2014/04/01 22:18",85
"60","2014/04/01 22:23",58
"61","2014/04/01 22:28",81
"62","2014/04/01 22:33",47
"63","2014/04/01 22:38",46
"64","2014/04/01 22:43",49
"65","2014/04/01 22:48",91
"66","2014/04/01 22:53",56
"67","2014/04/01 22:58",33
"68","2014/04/01 23:03",76
"69","2014/04/01 23:08",69
"70","2014/04/01 23:13",76
"71","2014/04/01 23:18",78
"72","2014/04/01 23:23",79
"73","2014/04/01 23:28",83
"74","2014/04/01 23:33",82
"75","2014/04/01 23:38",82
"76","2014/04/01 23:43",85
"77","2014/04/01 23:48",77
"78","2014/04/01 23:53",74
"79","2014/04/01 23:58",79
"80","2014/04/02 00:03",78
"81","2014/04/02 00:08",71
"82","2014/04/02 00:13",85
"83","2014/04/02 00:18",83
"84","2014/04/02 00:23",79
"85","2014/04/02 00:28",82
"86","2014/04/02 00:33",78
"87","2014/04/02 00:38",82
"88","2014/04/02 00:43",78
"89","2014/04/02 00:48",76
"90","2014/04/02 00:53",83
"91","2014/04/02 00:58",68
"92","2014/04/02 01:03",81
"93","2014/04/02 01:08",49
"94","2014/04/02 01:13",82
"95","2014/04/02 01:18",77
"96","2014/04/02 01:23",80
