LDEV_Write_Hit_X702-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:2A X"
"1","2014/04/01 17:28",87
"2","2014/04/01 17:33",98
"3","2014/04/01 17:38",86
"4","2014/04/01 17:43",92
"5","2014/04/01 17:48",94
"6","2014/04/01 17:53",95
"7","2014/04/01 17:58",65
"8","2014/04/01 18:03",97
"9","2014/04/01 18:08",73
"10","2014/04/01 18:13",73
"11","2014/04/01 18:18",35
"12","2014/04/01 18:23",56
"13","2014/04/01 18:28",63
"14","2014/04/01 18:33",77
"15","2014/04/01 18:38",28
"16","2014/04/01 18:43",70
"17","2014/04/01 18:48",71
"18","2014/04/01 18:53",48
"19","2014/04/01 18:58",78
"20","2014/04/01 19:03",94
"21","2014/04/01 19:08",65
"22","2014/04/01 19:13",77
"23","2014/04/01 19:18",46
"24","2014/04/01 19:23",44
"25","2014/04/01 19:28",96
"26","2014/04/01 19:33",81
"27","2014/04/01 19:38",61
"28","2014/04/01 19:43",21
"29","2014/04/01 19:48",75
"30","2014/04/01 19:53",73
"31","2014/04/01 19:58",82
"32","2014/04/01 20:03",62
"33","2014/04/01 20:08",43
"34","2014/04/01 20:13",60
"35","2014/04/01 20:18",35
"36","2014/04/01 20:23",41
"37","2014/04/01 20:28",49
"38","2014/04/01 20:33",45
"39","2014/04/01 20:38",36
"40","2014/04/01 20:43",48
"41","2014/04/01 20:48",85
"42","2014/04/01 20:53",38
"43","2014/04/01 20:58",50
"44","2014/04/01 21:03",41
"45","2014/04/01 21:08",37
"46","2014/04/01 21:13",16
"47","2014/04/01 21:18",13
"48","2014/04/01 21:23",56
"49","2014/04/01 21:28",64
"50","2014/04/01 21:33",11
"51","2014/04/01 21:38",15
"52","2014/04/01 21:43",69
"53","2014/04/01 21:48",31
"54","2014/04/01 21:53",26
"55","2014/04/01 21:58",72
"56","2014/04/01 22:03",91
"57","2014/04/01 22:08",50
"58","2014/04/01 22:13",78
"59","2014/04/01 22:18",92
"60","2014/04/01 22:23",86
"61","2014/04/01 22:28",84
"62","2014/04/01 22:33",62
"63","2014/04/01 22:38",79
"64","2014/04/01 22:43",92
"65","2014/04/01 22:48",94
"66","2014/04/01 22:53",94
"67","2014/04/01 22:58",81
"68","2014/04/01 23:03",78
"69","2014/04/01 23:08",70
"70","2014/04/01 23:13",81
"71","2014/04/01 23:18",85
"72","2014/04/01 23:23",82
"73","2014/04/01 23:28",79
"74","2014/04/01 23:33",79
"75","2014/04/01 23:38",83
"76","2014/04/01 23:43",84
"77","2014/04/01 23:48",79
"78","2014/04/01 23:53",80
"79","2014/04/01 23:58",80
"80","2014/04/02 00:03",75
"81","2014/04/02 00:08",72
"82","2014/04/02 00:13",83
"83","2014/04/02 00:18",80
"84","2014/04/02 00:23",80
"85","2014/04/02 00:28",82
"86","2014/04/02 00:33",82
"87","2014/04/02 00:38",80
"88","2014/04/02 00:43",79
"89","2014/04/02 00:48",76
"90","2014/04/02 00:53",83
"91","2014/04/02 00:58",49
"92","2014/04/02 01:03",51
"93","2014/04/02 01:08",43
"94","2014/04/02 01:13",44
"95","2014/04/02 01:18",42
"96","2014/04/02 01:23",45
