LDEV_Write_Hit_X710-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:69 X"
"1","2014/04/01 17:28",46
"2","2014/04/01 17:33",43
"3","2014/04/01 17:38",37
"4","2014/04/01 17:43",40
"5","2014/04/01 17:48",47
"6","2014/04/01 17:53",62
"7","2014/04/01 17:58",47
"8","2014/04/01 18:03",88
"9","2014/04/01 18:08",86
"10","2014/04/01 18:13",98
"11","2014/04/01 18:18",94
"12","2014/04/01 18:23",96
"13","2014/04/01 18:28",81
"14","2014/04/01 18:33",77
"15","2014/04/01 18:38",52
"16","2014/04/01 18:43",60
"17","2014/04/01 18:48",53
"18","2014/04/01 18:53",47
"19","2014/04/01 18:58",78
"20","2014/04/01 19:03",83
"21","2014/04/01 19:08",54
"22","2014/04/01 19:13",63
"23","2014/04/01 19:18",38
"24","2014/04/01 19:23",46
"25","2014/04/01 19:28",93
"26","2014/04/01 19:33",95
"27","2014/04/01 19:38",88
"28","2014/04/01 19:43",25
"29","2014/04/01 19:48",29
"30","2014/04/01 19:53",29
"31","2014/04/01 19:58",45
"32","2014/04/01 20:03",80
"33","2014/04/01 20:08",72
"34","2014/04/01 20:13",75
"35","2014/04/01 20:18",46
"36","2014/04/01 20:23",39
"37","2014/04/01 20:28",61
"38","2014/04/01 20:33",45
"39","2014/04/01 20:38",36
"40","2014/04/01 20:43",42
"41","2014/04/01 20:48",36
"42","2014/04/01 20:53",40
"43","2014/04/01 20:58",39
"44","2014/04/01 21:03",22
"45","2014/04/01 21:08",37
"46","2014/04/01 21:13",59
"47","2014/04/01 21:18",71
"48","2014/04/01 21:23",45
"49","2014/04/01 21:28",9
"50","2014/04/01 21:33",14
"51","2014/04/01 21:38",30
"52","2014/04/01 21:43",77
"53","2014/04/01 21:48",32
"54","2014/04/01 21:53",38
"55","2014/04/01 21:58",53
"56","2014/04/01 22:03",95
"57","2014/04/01 22:08",65
"58","2014/04/01 22:13",92
"59","2014/04/01 22:18",63
"60","2014/04/01 22:23",86
"61","2014/04/01 22:28",83
"62","2014/04/01 22:33",74
"63","2014/04/01 22:38",81
"64","2014/04/01 22:43",67
"65","2014/04/01 22:48",66
"66","2014/04/01 22:53",79
"67","2014/04/01 22:58",82
"68","2014/04/01 23:03",76
"69","2014/04/01 23:08",73
"70","2014/04/01 23:13",75
"71","2014/04/01 23:18",81
"72","2014/04/01 23:23",80
"73","2014/04/01 23:28",83
"74","2014/04/01 23:33",81
"75","2014/04/01 23:38",78
"76","2014/04/01 23:43",85
"77","2014/04/01 23:48",75
"78","2014/04/01 23:53",76
"79","2014/04/01 23:58",79
"80","2014/04/02 00:03",74
"81","2014/04/02 00:08",79
"82","2014/04/02 00:13",86
"83","2014/04/02 00:18",80
"84","2014/04/02 00:23",77
"85","2014/04/02 00:28",79
"86","2014/04/02 00:33",78
"87","2014/04/02 00:38",79
"88","2014/04/02 00:43",76
"89","2014/04/02 00:48",77
"90","2014/04/02 00:53",80
"91","2014/04/02 00:58",48
"92","2014/04/02 01:03",49
"93","2014/04/02 01:08",44
"94","2014/04/02 01:13",41
"95","2014/04/02 01:18",37
"96","2014/04/02 01:23",86
