LDEV_Write_Hit_X721-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:1D X"
"1","2014/04/01 17:28",58
"2","2014/04/01 17:33",79
"3","2014/04/01 17:38",68
"4","2014/04/01 17:43",68
"5","2014/04/01 17:48",75
"6","2014/04/01 17:53",80
"7","2014/04/01 17:58",67
"8","2014/04/01 18:03",54
"9","2014/04/01 18:08",53
"10","2014/04/01 18:13",96
"11","2014/04/01 18:18",96
"12","2014/04/01 18:23",76
"13","2014/04/01 18:28",33
"14","2014/04/01 18:33",78
"15","2014/04/01 18:38",40
"16","2014/04/01 18:43",32
"17","2014/04/01 18:48",39
"18","2014/04/01 18:53",35
"19","2014/04/01 18:58",96
"20","2014/04/01 19:03",77
"21","2014/04/01 19:08",56
"22","2014/04/01 19:13",86
"23","2014/04/01 19:18",76
"24","2014/04/01 19:23",69
"25","2014/04/01 19:28",81
"26","2014/04/01 19:33",87
"27","2014/04/01 19:38",64
"28","2014/04/01 19:43",23
"29","2014/04/01 19:48",66
"30","2014/04/01 19:53",28
"31","2014/04/01 19:58",69
"32","2014/04/01 20:03",31
"33","2014/04/01 20:08",50
"34","2014/04/01 20:13",68
"35","2014/04/01 20:18",47
"36","2014/04/01 20:23",56
"37","2014/04/01 20:28",48
"38","2014/04/01 20:33",69
"39","2014/04/01 20:38",54
"40","2014/04/01 20:43",50
"41","2014/04/01 20:48",45
"42","2014/04/01 20:53",55
"43","2014/04/01 20:58",61
"44","2014/04/01 21:03",21
"45","2014/04/01 21:08",34
"46","2014/04/01 21:13",13
"47","2014/04/01 21:18",14
"48","2014/04/01 21:23",7
"49","2014/04/01 21:28",8
"50","2014/04/01 21:33",12
"51","2014/04/01 21:38",40
"52","2014/04/01 21:43",47
"53","2014/04/01 21:48",37
"54","2014/04/01 21:53",38
"55","2014/04/01 21:58",54
"56","2014/04/01 22:03",92
"57","2014/04/01 22:08",62
"58","2014/04/01 22:13",79
"59","2014/04/01 22:18",89
"60","2014/04/01 22:23",67
"61","2014/04/01 22:28",87
"62","2014/04/01 22:33",87
"63","2014/04/01 22:38",83
"64","2014/04/01 22:43",83
"65","2014/04/01 22:48",89
"66","2014/04/01 22:53",87
"67","2014/04/01 22:58",63
"68","2014/04/01 23:03",75
"69","2014/04/01 23:08",68
"70","2014/04/01 23:13",75
"71","2014/04/01 23:18",80
"72","2014/04/01 23:23",82
"73","2014/04/01 23:28",81
"74","2014/04/01 23:33",82
"75","2014/04/01 23:38",81
"76","2014/04/01 23:43",86
"77","2014/04/01 23:48",75
"78","2014/04/01 23:53",75
"79","2014/04/01 23:58",75
"80","2014/04/02 00:03",85
"81","2014/04/02 00:08",72
"82","2014/04/02 00:13",83
"83","2014/04/02 00:18",81
"84","2014/04/02 00:23",78
"85","2014/04/02 00:28",84
"86","2014/04/02 00:33",83
"87","2014/04/02 00:38",81
"88","2014/04/02 00:43",77
"89","2014/04/02 00:48",74
"90","2014/04/02 00:53",85
"91","2014/04/02 00:58",79
"92","2014/04/02 01:03",64
"93","2014/04/02 01:08",46
"94","2014/04/02 01:13",49
"95","2014/04/02 01:18",32
"96","2014/04/02 01:23",65
