LDEV_Write_Hit_X729-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:0F X"
"1","2014/04/01 17:28",47
"2","2014/04/01 17:33",47
"3","2014/04/01 17:38",83
"4","2014/04/01 17:43",83
"5","2014/04/01 17:48",43
"6","2014/04/01 17:53",57
"7","2014/04/01 17:58",61
"8","2014/04/01 18:03",91
"9","2014/04/01 18:08",46
"10","2014/04/01 18:13",67
"11","2014/04/01 18:18",60
"12","2014/04/01 18:23",47
"13","2014/04/01 18:28",53
"14","2014/04/01 18:33",83
"15","2014/04/01 18:38",45
"16","2014/04/01 18:43",54
"17","2014/04/01 18:48",89
"18","2014/04/01 18:53",44
"19","2014/04/01 18:58",73
"20","2014/04/01 19:03",95
"21","2014/04/01 19:08",75
"22","2014/04/01 19:13",60
"23","2014/04/01 19:18",90
"24","2014/04/01 19:23",92
"25","2014/04/01 19:28",57
"26","2014/04/01 19:33",81
"27","2014/04/01 19:38",55
"28","2014/04/01 19:43",20
"29","2014/04/01 19:48",32
"30","2014/04/01 19:53",24
"31","2014/04/01 19:58",63
"32","2014/04/01 20:03",68
"33","2014/04/01 20:08",44
"34","2014/04/01 20:13",56
"35","2014/04/01 20:18",59
"36","2014/04/01 20:23",36
"37","2014/04/01 20:28",47
"38","2014/04/01 20:33",38
"39","2014/04/01 20:38",37
"40","2014/04/01 20:43",34
"41","2014/04/01 20:48",38
"42","2014/04/01 20:53",35
"43","2014/04/01 20:58",42
"44","2014/04/01 21:03",23
"45","2014/04/01 21:08",33
"46","2014/04/01 21:13",19
"47","2014/04/01 21:18",41
"48","2014/04/01 21:23",14
"49","2014/04/01 21:28",14
"50","2014/04/01 21:33",53
"51","2014/04/01 21:38",97
"52","2014/04/01 21:43",95
"53","2014/04/01 21:48",65
"54","2014/04/01 21:53",74
"55","2014/04/01 21:58",57
"56","2014/04/01 22:03",95
"57","2014/04/01 22:08",49
"58","2014/04/01 22:13",65
"59","2014/04/01 22:18",51
"60","2014/04/01 22:23",48
"61","2014/04/01 22:28",81
"62","2014/04/01 22:33",65
"63","2014/04/01 22:38",31
"64","2014/04/01 22:43",45
"65","2014/04/01 22:48",23
"66","2014/04/01 22:53",69
"67","2014/04/01 22:58",34
"68","2014/04/01 23:03",81
"69","2014/04/01 23:08",69
"70","2014/04/01 23:13",72
"71","2014/04/01 23:18",76
"72","2014/04/01 23:23",82
"73","2014/04/01 23:28",80
"74","2014/04/01 23:33",81
"75","2014/04/01 23:38",82
"76","2014/04/01 23:43",84
"77","2014/04/01 23:48",75
"78","2014/04/01 23:53",78
"79","2014/04/01 23:58",80
"80","2014/04/02 00:03",76
"81","2014/04/02 00:08",75
"82","2014/04/02 00:13",86
"83","2014/04/02 00:18",81
"84","2014/04/02 00:23",81
"85","2014/04/02 00:28",80
"86","2014/04/02 00:33",80
"87","2014/04/02 00:38",78
"88","2014/04/02 00:43",72
"89","2014/04/02 00:48",76
"90","2014/04/02 00:53",85
"91","2014/04/02 00:58",84
"92","2014/04/02 01:03",54
"93","2014/04/02 01:08",41
"94","2014/04/02 01:13",44
"95","2014/04/02 01:18",41
"96","2014/04/02 01:23",46
