LDEV_Write_Hit_X824-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:21:0A X"
"1","2014/04/01 17:28",91
"2","2014/04/01 17:33",86
"3","2014/04/01 17:38",89
"4","2014/04/01 17:43",91
"5","2014/04/01 17:48",88
"6","2014/04/01 17:53",90
"7","2014/04/01 17:58",82
"8","2014/04/01 18:03",79
"9","2014/04/01 18:08",66
"10","2014/04/01 18:13",82
"11","2014/04/01 18:18",85
"12","2014/04/01 18:23",80
"13","2014/04/01 18:28",79
"14","2014/04/01 18:33",82
"15","2014/04/01 18:38",80
"16","2014/04/01 18:43",76
"17","2014/04/01 18:48",82
"18","2014/04/01 18:53",80
"19","2014/04/01 18:58",83
"20","2014/04/01 19:03",78
"21","2014/04/01 19:08",69
"22","2014/04/01 19:13",82
"23","2014/04/01 19:18",77
"24","2014/04/01 19:23",82
"25","2014/04/01 19:28",78
"26","2014/04/01 19:33",77
"27","2014/04/01 19:38",89
"28","2014/04/01 19:43",59
"29","2014/04/01 19:48",63
"30","2014/04/01 19:53",75
"31","2014/04/01 19:58",79
"32","2014/04/01 20:03",70
"33","2014/04/01 20:08",71
"34","2014/04/01 20:13",73
"35","2014/04/01 20:18",72
"36","2014/04/01 20:23",70
"37","2014/04/01 20:28",73
"38","2014/04/01 20:33",76
"39","2014/04/01 20:38",84
"40","2014/04/01 20:43",81
"41","2014/04/01 20:48",82
"42","2014/04/01 20:53",74
"43","2014/04/01 20:58",82
"44","2014/04/01 21:03",74
"45","2014/04/01 21:08",73
"46","2014/04/01 21:13",74
"47","2014/04/01 21:18",79
"48","2014/04/01 21:23",81
"49","2014/04/01 21:28",80
"50","2014/04/01 21:33",86
"51","2014/04/01 21:38",92
"52","2014/04/01 21:43",92
"53","2014/04/01 21:48",91
"54","2014/04/01 21:53",91
"55","2014/04/01 21:58",97
"56","2014/04/01 22:03",0
"57","2014/04/01 22:08",100
"58","2014/04/01 22:13",100
"59","2014/04/01 22:18",100
"60","2014/04/01 22:23",100
"61","2014/04/01 22:28",100
"62","2014/04/01 22:33",0
"63","2014/04/01 22:38",100
"64","2014/04/01 22:43",100
"65","2014/04/01 22:48",100
"66","2014/04/01 22:53",100
"67","2014/04/01 22:58",100
"68","2014/04/01 23:03",0
"69","2014/04/01 23:08",100
"70","2014/04/01 23:13",100
"71","2014/04/01 23:18",100
"72","2014/04/01 23:23",100
"73","2014/04/01 23:28",100
"74","2014/04/01 23:33",0
"75","2014/04/01 23:38",100
"76","2014/04/01 23:43",100
"77","2014/04/01 23:48",100
"78","2014/04/01 23:53",100
"79","2014/04/01 23:58",100
"80","2014/04/02 00:03",0
"81","2014/04/02 00:08",80
"82","2014/04/02 00:13",100
"83","2014/04/02 00:18",100
"84","2014/04/02 00:23",100
"85","2014/04/02 00:28",100
"86","2014/04/02 00:33",100
"87","2014/04/02 00:38",100
"88","2014/04/02 00:43",100
"89","2014/04/02 00:48",100
"90","2014/04/02 00:53",100
"91","2014/04/02 00:58",100
"92","2014/04/02 01:03",0
"93","2014/04/02 01:08",100
"94","2014/04/02 01:13",100
"95","2014/04/02 01:18",100
"96","2014/04/02 01:23",100
