LDEV_Write_Hit_X84-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:05:2D X"
"1","2014/04/01 17:28",95
"2","2014/04/01 17:33",97
"3","2014/04/01 17:38",95
"4","2014/04/01 17:43",92
"5","2014/04/01 17:48",91
"6","2014/04/01 17:53",93
"7","2014/04/01 17:58",92
"8","2014/04/01 18:03",96
"9","2014/04/01 18:08",79
"10","2014/04/01 18:13",90
"11","2014/04/01 18:18",97
"12","2014/04/01 18:23",82
"13","2014/04/01 18:28",80
"14","2014/04/01 18:33",87
"15","2014/04/01 18:38",85
"16","2014/04/01 18:43",82
"17","2014/04/01 18:48",83
"18","2014/04/01 18:53",78
"19","2014/04/01 18:58",85
"20","2014/04/01 19:03",97
"21","2014/04/01 19:08",60
"22","2014/04/01 19:13",69
"23","2014/04/01 19:18",71
"24","2014/04/01 19:23",71
"25","2014/04/01 19:28",60
"26","2014/04/01 19:33",77
"27","2014/04/01 19:38",84
"28","2014/04/01 19:43",73
"29","2014/04/01 19:48",83
"30","2014/04/01 19:53",81
"31","2014/04/01 19:58",90
"32","2014/04/01 20:03",95
"33","2014/04/01 20:08",71
"34","2014/04/01 20:13",92
"35","2014/04/01 20:18",86
"36","2014/04/01 20:23",88
"37","2014/04/01 20:28",92
"38","2014/04/01 20:33",88
"39","2014/04/01 20:38",93
"40","2014/04/01 20:43",92
"41","2014/04/01 20:48",92
"42","2014/04/01 20:53",93
"43","2014/04/01 20:58",89
"44","2014/04/01 21:03",98
"45","2014/04/01 21:08",80
"46","2014/04/01 21:13",92
"47","2014/04/01 21:18",90
"48","2014/04/01 21:23",90
"49","2014/04/01 21:28",94
"50","2014/04/01 21:33",93
"51","2014/04/01 21:38",95
"52","2014/04/01 21:43",97
"53","2014/04/01 21:48",97
"54","2014/04/01 21:53",91
"55","2014/04/01 21:58",96
"56","2014/04/01 22:03",99
"57","2014/04/01 22:08",83
"58","2014/04/01 22:13",95
"59","2014/04/01 22:18",94
"60","2014/04/01 22:23",90
"61","2014/04/01 22:28",98
"62","2014/04/01 22:33",95
"63","2014/04/01 22:38",91
"64","2014/04/01 22:43",99
"65","2014/04/01 22:48",92
"66","2014/04/01 22:53",96
"67","2014/04/01 22:58",94
"68","2014/04/01 23:03",97
"69","2014/04/01 23:08",87
"70","2014/04/01 23:13",99
"71","2014/04/01 23:18",96
"72","2014/04/01 23:23",94
"73","2014/04/01 23:28",72
"74","2014/04/01 23:33",80
"75","2014/04/01 23:38",76
"76","2014/04/01 23:43",75
"77","2014/04/01 23:48",82
"78","2014/04/01 23:53",89
"79","2014/04/01 23:58",83
"80","2014/04/02 00:03",95
"81","2014/04/02 00:08",61
"82","2014/04/02 00:13",85
"83","2014/04/02 00:18",68
"84","2014/04/02 00:23",87
"85","2014/04/02 00:28",82
"86","2014/04/02 00:33",51
"87","2014/04/02 00:38",82
"88","2014/04/02 00:43",71
"89","2014/04/02 00:48",91
"90","2014/04/02 00:53",82
"91","2014/04/02 00:58",88
"92","2014/04/02 01:03",95
"93","2014/04/02 01:08",66
"94","2014/04/02 01:13",70
"95","2014/04/02 01:18",79
"96","2014/04/02 01:23",91
