LDEV_Write_IOPS_X163-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:06:0D X"
"1","2014/04/01 17:28",17
"2","2014/04/01 17:33",17
"3","2014/04/01 17:38",17
"4","2014/04/01 17:43",16
"5","2014/04/01 17:48",16
"6","2014/04/01 17:53",15
"7","2014/04/01 17:58",17
"8","2014/04/01 18:03",21
"9","2014/04/01 18:08",19
"10","2014/04/01 18:13",18
"11","2014/04/01 18:18",18
"12","2014/04/01 18:23",18
"13","2014/04/01 18:28",18
"14","2014/04/01 18:33",17
"15","2014/04/01 18:38",17
"16","2014/04/01 18:43",16
"17","2014/04/01 18:48",15
"18","2014/04/01 18:53",15
"19","2014/04/01 18:58",17
"20","2014/04/01 19:03",22
"21","2014/04/01 19:08",19
"22","2014/04/01 19:13",18
"23","2014/04/01 19:18",18
"24","2014/04/01 19:23",17
"25","2014/04/01 19:28",17
"26","2014/04/01 19:33",17
"27","2014/04/01 19:38",17
"28","2014/04/01 19:43",15
"29","2014/04/01 19:48",15
"30","2014/04/01 19:53",15
"31","2014/04/01 19:58",16
"32","2014/04/01 20:03",21
"33","2014/04/01 20:08",18
"34","2014/04/01 20:13",18
"35","2014/04/01 20:18",18
"36","2014/04/01 20:23",18
"37","2014/04/01 20:28",17
"38","2014/04/01 20:33",17
"39","2014/04/01 20:38",16
"40","2014/04/01 20:43",16
"41","2014/04/01 20:48",15
"42","2014/04/01 20:53",15
"43","2014/04/01 20:58",17
"44","2014/04/01 21:03",21
"45","2014/04/01 21:08",19
"46","2014/04/01 21:13",18
"47","2014/04/01 21:18",18
"48","2014/04/01 21:23",17
"49","2014/04/01 21:28",17
"50","2014/04/01 21:33",17
"51","2014/04/01 21:38",16
"52","2014/04/01 21:43",15
"53","2014/04/01 21:48",15
"54","2014/04/01 21:53",14
"55","2014/04/01 21:58",16
"56","2014/04/01 22:03",21
"57","2014/04/01 22:08",18
"58","2014/04/01 22:13",18
"59","2014/04/01 22:18",17
"60","2014/04/01 22:23",17
"61","2014/04/01 22:28",17
"62","2014/04/01 22:33",16
"63","2014/04/01 22:38",16
"64","2014/04/01 22:43",15
"65","2014/04/01 22:48",15
"66","2014/04/01 22:53",14
"67","2014/04/01 22:58",16
"68","2014/04/01 23:03",21
"69","2014/04/01 23:08",18
"70","2014/04/01 23:13",18
"71","2014/04/01 23:18",17
"72","2014/04/01 23:23",17
"73","2014/04/01 23:28",17
"74","2014/04/01 23:33",16
"75","2014/04/01 23:38",17
"76","2014/04/01 23:43",15
"77","2014/04/01 23:48",15
"78","2014/04/01 23:53",14
"79","2014/04/01 23:58",16
"80","2014/04/02 00:03",21
"81","2014/04/02 00:08",18
"82","2014/04/02 00:13",17
"83","2014/04/02 00:18",17
"84","2014/04/02 00:23",17
"85","2014/04/02 00:28",16
"86","2014/04/02 00:33",16
"87","2014/04/02 00:38",16
"88","2014/04/02 00:43",15
"89","2014/04/02 00:48",15
"90","2014/04/02 00:53",14
"91","2014/04/02 00:58",16
"92","2014/04/02 01:03",21
"93","2014/04/02 01:08",18
"94","2014/04/02 01:13",18
"95","2014/04/02 01:18",17
"96","2014/04/02 01:23",17
